id,type,text1,text2,text3,notes
,,,,,
,,,,,
# WEAPONS WEAPONS WEAPONS
,,,,,
,,,,,
,,,,,
SCY_Fhammer,WEAPON,"Промышленный инструмент, предназначенный для дробления астероидов и манипуляции обломками для извлечения ресурсов.",роль,,
SCY_Frotary,WEAPON," Роторный вариант вулкана, способный выдерживать продолжительные очереди без громоздкой системы охлаждения корабельной версии оружия.",Универсальное,,
SCY_Fcluster,WEAPON," Запускает МИРВ-торпеду, содержащую десять небольших неуправляемых боевых частей, предназначенных для рассеивания в смертоносное облако, которое трудно избежать или перехватить.",Ударное,,
SCY_Fbeam,WEAPON," Маломасштабный лучевой излучатель с ограниченным пробитием брони, но хорошо подходящий для борьбы с другими истребителями или лёгкими фрегатами.",Против истребителей,,
SCY_Fswarmer,WEAPON, Крошечные и проворные противоистребительные ракеты с ограниченной боевой частью.,Против истребителей,,
SCY_Fgrenade,WEAPON," Космическая масштабированная гранатомётная установка, способная насыщать защиту цели мелкими, трудно перехватываемыми бомбочками.",Ударное,,
SCY_Fseb,WEAPON," Лёгкий бластер, слегка недостаточно мощный для корабельного использования, который был облегчён для установки на корпус ударного корабля. Высокий урон за выстрел и скорость снаряда, но низкая скорострельность.",Универсальное,,
SCY_Frocket,WEAPON," Кинетические лёгкие противощитовые ракеты, предназначенные для быстрого создания преимущества для ударных кораблей Скиан при борьбе с сильно защищёнными целями.",,,
,,,,,
,,,,,
,,,,,
#SCPB
,,,,,
,,,,,
,,,,,
SCY_scpb,WEAPON," Сверхзаряженный импульсный луч максимизирует потенциал взрывного урона в ущерб постоянной мощности. Созданный специально для носовой батареи Немейского льва, он предназначен для выведения цели из строя одним ударом, давая оружию передышку для безопасной перезарядки накопителей. Невероятное количество энергии, необходимое для выстрела из этого оружия, ограничивает его использование лишь несколькими моделями кораблей, но очень немногие другие системы вооружения могут похвастаться такой разрушительной мощью в сочетании с идеальной точностью и большой дальностью.

 Изначально целью было создать импульсную версию хорошо известного, хотя и не совсем обычного, высокоинтенсивного лазера. Но инженеры не до конца понимали надёжность ВИЛ, пока не начали экспериментировать со всё более мощными и короткими импульсами. Финальная итерация этого оружия едва ли напоминает ВИЛ по принципу действия, но всё ещё использует тот же самый генератор в качестве ядра, что является свидетельством инженерного мастерства Домена. Таким образом, это одно из наиболее эффективных по расходу флюкса оружий в арсенале Скиан.

 Сдвиг частоты излучателя имел неприятное последствие в виде заметного увеличения выделения рентгеновских и гамма-лучей при выстреле. Этот побочный эффект был несколько смягчён установкой противорадиационных полей, но из-за геометрических ограничений генерации поля и необходимости оставлять отверстие для луча, рассеивание радиации удалось направить только в виде плоского конуса вперёд. Чтобы ограничить облучение экипажа, этот конус ориентирован вдоль плоскости поверхности корпуса корабля, а две дополнительные противорадиационные пластины закрывают дуло оружия, заботясь об остаточных утечках.

 Внешний дизайн намеренно далёк от вдохновителя, чтобы избежать внимания военных исследователей и производителей Три-Тахиона: Инженерный колледж Скиан желает помешать другим переделывать ВИЛы в полноценное штурмовое оружие!",Штурмовое,,
,,,,,
,,,,,
,,,,,
#UHEB
,,,,,
,,,,,
,,,,,
