event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
exerelin_slaves_sold,report,,,player_intel_always,Работорговля $onOrAt $market,Появились слухи о вашей продаже рабов $onOrAt $market. Законные фракции в $location возмущены вашим неуважением к базовому человеческому достоинству.,Репутация с $numFactions фракц. снижена в среднем на $repPenaltyAbs.,,,,,
,,,,,,,,,,,,
exerelin_warmonger,report,,,player_intel_always,Неспровоцированная атака на $faction,Ваша неспровоцированная атака на $theFaction разгневала некоторые другие фракции и вызвала серьезное беспокойство у $thePlayerFaction.,"Репутация с $playerFaction снижена на $repPenaltyMyFactionAbs, сейчас $newRelationStr.
Средний штраф репутации с $numFactions другой фракц.: $repPenaltyAvgAbs",,graphics/exerelin/icons/intel/war.png,,,
exerelin_warmonger,report_noOwnFaction,,,player_intel_always,Неспровоцированная атака на $faction,Ваша неспровоцированная атака на $theFaction разгневала некоторые другие фракции.,Средний штраф репутации с $numFactions другой фракц.: $repPenaltyAvgAbs,,graphics/exerelin/icons/intel/war.png,,,
,,,,,,,,,,,,
exerelin_superweapon,weaponUsed,,,news,Супероружие применено $attackerFaction $onOrAt $market!,"Силы $AttackerFaction применили планетарное супероружие $onOrAt $market, вызвав ужасающие разрушения. Это серьезная эскалация их конфликта с $TheFaction.","Стабильность снижена на $stabilityPenalty.
Отношения между $attackerFaction и $faction снижены на $relDeltaAbs, сейчас $newRelationStr.",,graphics/icons/markets/meteor_strike.png,,,
exerelin_superweapon,weaponUsed_player,,,news,Супероружие применено $attackerFaction $onOrAt $market!,"Силы $AttackerFaction под командованием $playerName применили планетарное супероружие $onOrAt $market, вызвав массовые разрушения. Этот шокирующий поступок вполне может привести к дипломатическому кризису.","Стабильность снижена на $stabilityPenalty.
Отношения между $attackerFaction и $faction снижены на $relDeltaAbs, сейчас $newRelationStr.
Средний штраф репутации с $numFactions другой фракц.: $repPenaltyAvgAbs",,graphics/icons/markets/meteor_strike.png,,,
,,,,,,,,,,,,
# covert warfare,,,,,,,,,,,,
,,,,,,,,,,,,
nex_instigate_rebellion,success,,,player_intel,$AgentFaction разжигает восстание $onOrAt $market,"$AgentFaction intelligence организовала восстание $onOrAt $market. Ожидается, что вооруженные действия начнутся в ближайшем будущем.",Подготовка восстания к действиям займет $timeFrame.,,,,,
nex_instigate_rebellion,success_player,,,player_intel_always,$AgentFaction разжигает восстание $onOrAt $market,"Ваши агенты организовали восстание $onOrAt $market. Ожидается, что вооруженные действия начнутся в ближайшем будущем.",Подготовка восстания к действиям займет $timeFrame.,,,,,
nex_instigate_rebellion,success_detected,,,player_intel_always,$AgentFaction разжигает восстание $onOrAt $market,"Контрразведка $Faction подтвердила активность $agentFaction по организации восстания $onOrAt $market. Ожидается, что вооруженные действия начнутся в ближайшем будущем.","Подготовка восстания к действиям займет $timeFrame.
Отношения между $faction и $agentFaction снижены на $repEffectAbs, сейчас $newRelationStr.",,,,,
nex_instigate_rebellion,success_detected_player,,,player_intel_always,$AgentFaction разжигает восстание $onOrAt $market,"Контрразведка $Faction подтвердила вашу активность по организации восстания $onOrAt $market. Ожидается, что вооруженные действия начнутся в ближайшем будущем.","Подготовка восстания к действиям займет $timeFrame.
Отношения между $faction и $agentFaction снижены на $repEffectAbs, сейчас $newRelationStr.",,,,,
nex_instigate_rebellion,failure,,,player_intel,$AgentFaction не смогла разжечь восстание $onOrAt $market,"Агенты $AgentFaction не смогли организовать восстание $onOrAt $market, хотя сами сумели скрыться.",,,,,,
nex_instigate_rebellion,failure_player,,,player_intel_always,$AgentFaction не смогла разжечь восстание $onOrAt $market,"Ваши агенты не смогли организовать восстание $onOrAt $market, хотя сами сумели скрыться.",,,,,,
nex_instigate_rebellion,failure_detected,,,player_intel_always,$AgentFaction поймана на подстрекательстве к восстанию $onOrAt $market,"$TheFaction арестовала и казнила агентов $agentFaction, пытавшихся разжечь восстание $onOrAt $market. $TheAgentFaction отреклась от неудачливых оперативников.","Отношения между $faction и $agentFaction снижены на $repEffectAbs, сейчас $newRelationStr.",,,,,
nex_instigate_rebellion,failure_detected_player,,,player_intel_always,$AgentFaction поймана на подстрекательстве к восстанию $onOrAt $market,"$TheFaction арестовала и казнила ваших агентов, пытавшихся разжечь восстание $onOrAt $market.","Отношения между $faction и $agentFaction снижены на $repEffectAbs, сейчас $newRelationStr.",,,,,
