id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
tme_agricultural_laboratory,Сельскохозяйственная лаборатория,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_agricultural_laboratory.png,terraformingmadeeasy.industries.AgriculturalLaboratory,"Благодаря обширным аграрным исследованиям на Гилеаде и Эвентиде развитие сельскохозяйственной науки, адаптированной под каждую планету, можно вести в разумные сроки. От повышения плодородия почвы до биоинженерии устойчивых культур - этот комплекс позволяет создавать и улучшать сельхозугодья на пригодных для жизни планетах.",,
tme_atmosphere_regulator,Регулятор атмосферы,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_atmosphere_regulator.png,terraformingmadeeasy.industries.AtmosphereRegulator,"Рядом с вулканами и подземными химическими залежами строятся гигантские промышленные вентиляционные шахты и насосные комплексы. Затем эти сооружения используются для осторожной закачки веществ в атмосферу или их отвода из неё, постепенно изменяя её состав.",,
tme_construction_grid,Строительная решётка,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_orbital_construction.jpg,terraformingmadeeasy.industries.ConstructionGrid,"Массивный орбитальный каркас, предназначенный служить основой для крупномасштабных инженерных проектов. Выполняя роль и лесов, и логистического узла, он обеспечивает структурную устойчивость, точки стыковки и сборочные системы, необходимые для строительства.",,
tme_element_synthesizer,Синтезатор элементов,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_element_synthesizer.png,terraformingmadeeasy.industries.ElementSynthesizer,"Изучая плазменные печи и квантово-каталитические реакции, этот высокотехнологичный исследовательский комплекс разрабатывает методы переработки обычных минералов в ценные редкие руды и летучие соединения. Эти исследования позволяют колониям создавать синтетические залежи, функционирующие так, будто они природного происхождения.",,
tme_geomorphology_station,Геоморфологическая станция,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_geomorphology_station.png,terraformingmadeeasy.industries.GeomorphologyStation,"Планетарный комплекс, способный менять как социальную, так и геологическую среду. С помощью облучения, искусственно созданных эпидемий, вызываемых наводнений или внедрения инвазивных видов он может перестраивать геологию и биосферу под конкретные задачи. Колонии могут использовать его для эксплуатации ресурсов или для давления на сопротивляющееся население.",,
tme_mineral_replicator,Репликатор минералов,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_mineral_replicator.png,terraformingmadeeasy.industries.MineralReplicator,"Используя каталитические кузницы и молекулярный синтез, этот комплекс разрабатывает методы воспроизводства обычных руд и органических материалов из следовых соединений. Исследования позволяют колониям создавать синтетические залежи, работающие так, словно они возникли естественным путём.",,
tme_planetary_hologram,Планетарная голограмма,20,60,,2,,,"structure, unraidable",,graphics/icons/industry/tme_planetary_hologram.png,terraformingmadeeasy.industries.PlanetaryHologram,"На орбиту планеты выводятся голографические эмиттеры, образующие единую сеть. Их можно настроить на проекцию самых разных образов - от маскировки вулканического мира под цветущий терранский рай до сокрытия населённой пригодной для жизни планеты под видом безжизненной каменной пустыни.",,
tme_stellar_manufactory,Звёздная мануфактура,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_stellar_manufactory.png,terraformingmadeeasy.industries.StellarManufactory,"Промышленный комплекс, предназначенный для производства деталей и материалов для строительства малых орбитальных терраформирующих сооружений. От метеостанций до звёздных экранов и зеркал - эти установки используются для управления температурой, погодой и освещённостью планеты.",,
tme_terrestrial_engine,Наземный двигатель,100,360,,15,,,"structure, unraidable",,graphics/icons/industry/tme_terrestrial_engine.png,terraformingmadeeasy.industries.TerrestrialEngine,"Глубоко под поверхностью планеты построена сеть гравитонных проекторов и сейсмических регуляторов. Эти системы управляют тектоническими напряжениями и гравитационными гармониками. Перераспределяя планетарную массу и направляя геологическую энергию, они могут стабилизировать или вызывать разломы, а также изменять силу тяжести.",,
tme_unification_center,Центр унификации,100,180,6,15,,,"structure, unraidable",,graphics/icons/industry/tme_unification_center.png,terraformingmadeeasy.industries.UnificationCenter,"Создаётся централизованное правительство, объединяющее различные политические образования на колонизированной планете. Их представители могут получать директивы для продвижения конкретных целей и программ, позволяя колонии специализироваться в разных направлениях - от экономического процветания до военного развития.",,
,,,,,,,,,,,,,,
