id,name,faction,desc,script,icon,order
IndEvo_RepairStorage,Ремонтные доки,player,"Размещайте здесь корабли с D-модами, чтобы их постепенно восстанавливали.",indevo.submarkets.impl.RestorationDocksSubmarketPlugin,graphics/factions/repDockStorage.png,2000
IndEvo_ReqCenterMarket,"Requisitions
Centre",player,"Продает оружие фракций, с которыми у вас хорошие отношения. Если на той же планете есть Посольство, рынок можно настроить на продажу оружия только выбранной фракции.",indevo.submarkets.impl.RequisitionsCenterSubmarketPlugin,graphics/factions/reqCenterStorage.png,1100
IndEvo_DeconstStorage,"Hull
Deconstruction",player,"Оставляйте здесь корабли на разбор, чтобы переносить их на Шаблон кузницы.",indevo.submarkets.impl.DeconstructorSubmarketPlugin,graphics/factions/deconstructorStorage.png,1300
IndEvo_EngStorage,Инженерный центр,player,"Оставляйте здесь корабли на разбор, чтобы получать прогресс в исследовании чертежа.",indevo.submarkets.impl.ReverseEngineeringSubmarketPlugin,graphics/factions/reverseEngineering.png,1200
IndEvo_SharedStore,"Industrial
Supply Store",player,"Хранилище, из которого здания берут ресурсы.",indevo.submarkets.impl.SharedSubmarketPlugin,graphics/factions/sharedIndStorage.png,1500
IndEvo_PetSubMarket,Рынок питомцев,player,Покупайте здесь питомцев и все необходимое для них. Возврата нет.,indevo.industries.petshop.submarket.PetSubMarket,graphics/factions/petStorage.png,1050
,,,,,,
IndEvo_MuseumStorage,Музей,player,"Главное музейное хранилище. Корабли, размещенные здесь, учитываются для местных музейных эффектов и периодически участвуют в парадах.",indevo.industries.museum.submarket.MuseumSubmarketPlugin,graphics/factions/museumStorageIcon.png,1600
IndEvo_WarehouseStorage_1,Склад 1,player,"Хранилище, добавленное и управляемое складским комплексом.",indevo.industries.warehouses.submarket.WarehouseSubmarketPlugin,graphics/factions/storage_1.png,1601
IndEvo_WarehouseStorage_2,Склад 2,player,"Хранилище, добавленное и управляемое складским комплексом.",indevo.industries.warehouses.submarket.WarehouseSubmarketPlugin,graphics/factions/storage_2.png,1602
IndEvo_WarehouseStorage_3,Склад 3,player,"Хранилище, добавленное и управляемое складским комплексом.",indevo.industries.warehouses.submarket.WarehouseSubmarketPlugin,graphics/factions/storage_3.png,1603
IndEvo_WarehouseStorage_4,Склад 4,player,"Хранилище, добавленное и управляемое складским комплексом.",indevo.industries.warehouses.submarket.WarehouseSubmarketPlugin,graphics/factions/storage_4.png,1604
IndEvo_WarehouseStorage_5,Склад 5,player,"Хранилище, добавленное и управляемое складским комплексом.",indevo.industries.warehouses.submarket.WarehouseSubmarketPlugin,graphics/factions/storage_5.png,1605
,,,,,,
IndEvo_tempStorage,Временное хранилище,player,"Временное хранилище. Лучше это не трогать, если не хотите потерять все свои вещи.",com.fs.starfarer.api.impl.campaign.submarkets.StoragePlugin,graphics/factions/storage.png,1000
