id,type,text1,text2,text3,notes
# Ships,,,,,
drg_persephone,SHIP,"Persephone - довольно типичный высокотехнологичный эсминец с упором на тяжелое вооружение. В отличие от многих кораблей своей эпохи, мостик Persephone спрятан глубоко внутри корпуса, без окон, ради лучшей выживаемости командного состава.",,,
drg_incursion,SHIP,"Дорогой линейный крейсер для быстрых крейсерских флотов. Увеличенные двигатели Incursion позволяют держаться в темпе с крейсерами, а пять мощных ЭМИ-генераторов легко калечат добычу.",,,
drg_iris,SHIP,"Iris - современный эсминец оборонной поддержки для тяжелых капитальных флотов. Он крайне специализирован для этой роли и почти неуязвим, пока не отделен от крупных кораблей, которые должен защищать.",,,
drg_gila,SHIP,"Gila задуман как ответ на отсутствие высокотехнологичного линейного крейсера и служит ядром продвинутых боевых доктрин. В отличие от многих high-tech кораблей, он рассчитан на работу рядом с медленными тяжелыми судами вроде Paragon.",,,
drg_bombardier,SHIP,Крейсер класса Bombardier создан для массированного ракетного удара и способен выпустить почти все направляющие за секунды. Но из-за нехватки крупных ракетных узлов он быстро расходует боезапас и становится уязвим.,,,
,,,,,
drg_aphelion,SHIP,"Aphelion - более легкая и дешевая версия популярного Apogee. Ему не хватает тяжелых узлов старшей модели, зато он дешев в эксплуатации и несет надежную активную систему ложных целей против ракетных залпов.",,,
drg_moray,SHIP,"Moray - сбалансированный high-tech эсминец, эффективный как линейный корабль легких флотов или застрельщик для тяжелых соединений. В группе особенно силен благодаря фазовому скачку, позволяющему отступать для сброса потока.",,,
drg_tigershark,SHIP,Родственник популярного крейсера Aurora. Tigershark отказался от множества малых узлов в пользу более крупного и гибкого вооружения. В остальном он почти идентичен Aurora.,,,
drg_spire,SHIP,"Spire - фронтовой авианосец, рассчитанный на бой в гуще сражения под прикрытием бесконечных волн истребителей. Чтобы снизить потери пилотов, он использует специализированные системы быстрого восстановления крыльев.",,,
drg_peregrine,SHIP,"Несмотря на сравнительно малое число оружейных узлов, Peregrine неожиданно силен благодаря сложному массиву суперконденсаторов, перегружающих энергетическое оружие.",,,
drg_equality,SHIP,"Equality создан как якорь флота, когда Paragon недоступен или непрактичен. Очень мощный для своего размера реактор питает несколько экзотических подсистем, повышающих боевые характеристики.",,,
drg_scute,SHIP,Scute легко узнать по яйцевидному корпусу. Он хорошо бронирован и надежно защищен щитами.,,,
drg_gloom,SHIP,"Gloom - фазовый эсминец поддержки флота, а не прямого боя. Его ценят за компрессор поля двигателя, заметно улучшающий ускорение и маневрирование флота.",,,
drg_shoebill,SHIP,"Медленный, тяжелый и чрезвычайно живучий Shoebill резко отличается от других high-tech кораблей. По популярной версии, проект писали адмиралы Домина, симпатизировавшие low-tech подходу.",,,
,,,,,
# Fighters,,,,,
drg_khanjali,SHIP,"Тяжелый истребитель с мощным плазменным оружием, способным разрывать как вражеские эскадрильи, так и легкие боевые корабли.",,,
drg_kukri,SHIP,"Вариант Dagger, несущий одну торпеду Tawa. Kukri одинаково эффективны против щитов и брони; их торпеды у цели распадаются на три нестабильных плазменных сфероида, затрудняя перехват.",,,
drg_kaskara,SHIP,"Kaskara создана, чтобы окончательно отправить low-tech доктрины в прошлое. Это один из лучших противоброневых ударных аппаратов Сектора; миниатюрный HIL стреляет очередями и сохраняет жестокую эффективность старшей версии.",,,
drg_blaze,SHIP,"Уникальный дрон-истребитель с крошечной фазовой катушкой. Blaze легко плавит легкие цели миниатюрным плазменным потоком, хотя малые размеры ограничивают защиту и стабильность катушки.",,,
drg_sheen,SHIP,"Автономный дрон-перехватчик Sheen подходит и для ПКО, и для давления на легкие корабли. Щита у него нет, зато он очень быстро заменяется.",,,
,,,,,
# Systems,,,,,
drg_microvent,SHIP_SYSTEM,"Быстро сбрасывает поток на очень короткое время, отключая оружие и щиты. После завершения снова включает щиты, если они были активны при запуске системы.",,,
drg_rangeoverclock,SHIP_SYSTEM,"Разгоняет системы наведения и фокусировки энергии, удваивая дальность оружия и резко снижая максимальную скорость. Во время работы создает много жесткого потока и требует охлаждения после отключения.",,,
drg_fluxcompressor,SHIP_SYSTEM,"Сжимает часть потока корабля и направляет его через двигатели, давая быстро затухающий рывок скорости и маневренности. Бонус растет с уровнем потока.",,,
drg_hvb_system,SHIP_SYSTEM,Увеличивает скорострельность баллистического и энергетического оружия на 50% и снижает затраты потока на 33%. Скорострельность ракет повышается на 100%.,,,
drg_subsystemrealignment,SHIP_SYSTEM,"Переключает режим подсистем между Supercruise, Siege и Bastion.",,,
drg_incursionsys,SHIP_SYSTEM,Быстро поражает целевой корабль мощными ЭМИ-дугами. Имеет ограниченный сектор огня и запрещает использование оружия во время работы.,,,
drg_spiresys,SHIP_SYSTEM,"Мгновенно производит и запускает замену истребителей, возвращая крылья к полной численности. При использовании создает мягкий поток.",,,
,,,,,
# Weapons,,,,,
drg_nyx,WEAPON,"Четырехзарядная пусковая установка управляемых торпед Atropos с быстрой перезарядкой. Менее опасна, чем залпы Reaper, но гораздо надежнее и несет щедрый боезапас.",,,
drg_alecto,WEAPON,"Двухзарядная пусковая установка торпед Atropos с быстрой перезарядкой. Менее опасна, чем Reaper, но надежнее. Atropos - крупная управляемая торпеда увеличенной дальности.",,,
drg_ahab,WEAPON,"Тяжелая установка для ракет Harpoon, полагающаяся на продвинутый автозарядник для высокого темпа огня. В отличие от обычных ракетных капсул, имеет только одну трубу, что упрощает перезарядку.",,,
drg_tawa_rack,WEAPON,"Двойная стойка с дистанционными торпедами Tawa. Торпеды Tawa создают три нестабильных плазменных сфероида и запускают их к цели с дистанции, обходя ПКО.",,,
drg_tawa_pod,WEAPON,"Пусковая установка, стреляющая парами дистанционных торпед Tawa из внутреннего магазина. Торпеды создают три нестабильных плазменных сфероида и атакуют цель с дистанции.",,,
drg_tawa_battery,WEAPON,"Капитальная быстрая установка, выпускающая тройки торпед Tawa из большого внутреннего магазина. Продвинутый механизм запуска сокращает время подлета к цели.",,,
drg_plp,WEAPON,"Крайне мощное ударное оружие, стреляющее самонаводящимися плазменными зарядами с пробивающим эффектом. Plasma Lens Projector задуман как замена торпедам.",,,
drg_tpr_m,WEAPON,Одно из старейших энергетических орудий после лазера. Plasma Railgun электрическими полями разгоняет крошечное кольцо плазмы до огромной скорости и неплохо работает против брони.,,,
drg_tpr_l,WEAPON,Более тяжелая двухствольная версия Plasma Railgun. Более длинные и плотные ускорительные катушки дают немного большую дальность.,,,
drg_arc_s,WEAPON,"Миниатюрная версия Arc Emitter, обменивающая скорострельность и урон на возможность установки в малый узел. Долгая зарядка часто делает перехват опасно поздним.",,,
