id,trigger,conditions,script,text,options,notes
#RULESET_NAME Nexerelin,,,,,,
,,,,,,
# NGC options,,,,,,
ExerelinOnNewGameCreationStart,BeginNewGameCreation,!$doesFakeVariableExist score:999,FireBest ExerelinNGCIntroPicker,,,override SS+ NGC
,,,,,,
ExerelinNGCSkipIntro,ExerelinNGCIntroPicker,,FireAll ExerelinNGCStep1,,,
ExerelinNGCDoIntro,ExerelinNGCIntroPicker,Nex_NGCIntroPicker false,"$isInIntro = true 0
$introPage = 1.0 0
FireAll ExerelinNGCIntroPage",,,
,,,,,,
ExerelinNGCIntroNextPage,NewGameOptionSelected,$option==exerelinNGCIntroNextPage,"$introPage++
FireAll ExerelinNGCIntroPage",,,
ExerelinNGCIntroPrevPage,NewGameOptionSelected,$option==exerelinNGCIntroPrevPage,"$introPage--
FireAll ExerelinNGCIntroPage",,,
,,,,,,
ExerelinNGCIntro1,ExerelinNGCIntroPage,"$introPage == 1.0
$isInIntro","Nex_NGCIntroPicker true
SetShortcut exerelinNGCIntroNextPage RETURN
SetShortcut exerelinNGCIntroEnd ESCAPE",">>> ПРИВЕТСТВУЮ ТЕБЯ, СКИТАЛЕЦ <<<

Добро пожаловать в мод Nexerelin для Starsector!

Nexerelin - это, по сути, 4X-расширение игры, но не только. Фракции в секторе будут вести войны, создавать альянсы и бороться за контроль над большей частью сектора. Мод также включает множество других функций: от улучшений качества жизни до серии сюжетных миссий.

Nexerelin совместим с большим количеством созданных сообществом модов фракций, которые можно добавить для более разнообразного игрового опыта.","exerelinNGCIntroNextPage:Далее
exerelinNGCIntroEnd:Пропустить",$introPage needs to be a float
ExerelinNGCIntro2,ExerelinNGCIntroPage,"$introPage == 2.0
$isInIntro","SetShortcut exerelinNGCIntroNextPage RETURN
SetShortcut exerelinNGCIntroEnd ESCAPE","Ваши действия будут давать или отнимать у вас влияние у фракций Сектора. Чем выше ваше влияние у фракции, тем больший доступ к ее поддержке и технологиям вы получите.

В начале игры вы выбираете фракцию, к которой присоединитесь. Вы - представитель выбранной фракции, и ваши действия в Секторе будут отражаться на ней. 

Позже вы можете перейти в другую фракцию, если сумеете заслужить ее доверие. Также можно пойти своим путем и создать собственную империю.","exerelinNGCIntroNextPage:Далее
exerelinNGCIntroPrevPage:Назад
exerelinNGCIntroEnd:Пропустить",
ExerelinNGCIntro3,ExerelinNGCIntroPage,"$introPage == 3.0
$isInIntro",SetShortcut exerelinNGCIntroEnd RETURN,"Удачной игры, и, пожалуйста, оставляйте отзывы на форумах Starsector :)","exerelinNGCIntroEnd:Начать игру
exerelinNGCIntroPrevPage:Назад",
ExerelinNGCIntroEnd,NewGameOptionSelected,$option==exerelinNGCIntroEnd,"$isInIntro = false
FireAll ExerelinNGCStep1",,,
ExerelinNGCIntroDevStart,ExerelinNGCIntroPage,$global.isDevMode,,,"99:nex_NGCDevStart:>> (dev) быстрый старт
100:nex_NGCDevStartFast:>> (dev) быстрый старт без пропуска времени",
,,,,,,
,,,,,,
ExerelinNewGameOptionsEnter,ExerelinNGCStep1,,"NGCGetExerelinDefaults
FireAll ExerelinNGCOptions",Настроить сектор?,,"make sure this runs once per new game, so that Exerelin sector generation data is set up properly"
ExerelinNewGameOptionsBackToMain,NewGameOptionSelected,$option==exerelinNGCOptionsBack,"Nex_VisualCustomPanel clear
Nex_NGCSetupData save
FireAll ExerelinNGCOptions",,,
ExerelinNewGameOptionsPopulate,ExerelinNGCOptions,,"SetShortcut exerelinNGCOptionsDone RETURN
Nex_AddOptionConfirmation nex_NGCResetSetupData ""Сбросить настройки новой игры к значениям по умолчанию?"" ""Да"" ""Нет""",,"exerelinNGCOptionsDone:Продолжить
7:exerelinNGCSectorOptions:Генерация сектора
8:exerelinNGCFactionOptions:Настройки фракций
9:exerelinNGCOtherOptions:Другие опции
10:nex_NGCResetSetupData:Восстановить по умолчанию",
ExerelinNGCListOptionEnableCorvusMode,ExerelinNGCOptions,!$corvusMode,"SetTooltip exerelinNGCEnableCorvusMode ""Определяет, использовать ли вручную созданные миры Ядра (ванильные и из модов) или случайно сгенерированные системы. Линия Академии будет отключена в случайном секторе, а некоторые функции (например миссии или колониальные кризисы) из базовой игры и других модов могут быть недоступны.""
SetTooltipHighlights exerelinNGCEnableCorvusMode ""линия Академии"" отключена функции ""могут быть недоступны""",,exerelinNGCEnableCorvusMode:Отключить случайные миры Ядра,
ExerelinNGCListOptionDisableCorvusMode,ExerelinNGCOptions,$corvusMode,"SetTooltip exerelinNGCDisableCorvusMode ""Определяет, использовать ли вручную созданные миры Ядра (ванильные и из модов) или случайно сгенерированные системы. Линия Академии будет отключена в случайном секторе, а некоторые функции (например миссии или колониальные кризисы) из базовой игры и других модов могут быть недоступны.""
SetTooltipHighlights exerelinNGCDisableCorvusMode ""линия Академии"" отключена функции ""могут быть недоступны""",,exerelinNGCDisableCorvusMode:Включить случайные миры Ядра,
,,,,,,
ExerelinNewGameFactionConfig,ExerelinNGCFactionOptions,,"SetEnabled nex_NGCFactionToggleMenu true
SetShortcut exerelinNGCOptionsBack ESCAPE",,"nex_NGCFactionToggleMenu:Включить/отключить фракции
9:exerelinNGCOptionsBack:Назад",
ExerelinNewGameFactionConfigCorvus,ExerelinNGCFactionOptions,$corvusMode,"SetEnabled nex_NGCFactionToggleMenu false
SetTooltip nex_NGCFactionToggleMenu ""Работает только при включенном параметре случайных миров Ядра.""",,,
,,,,,,
ExerelinNewGameChoicesDev,ExerelinNGCOptions,$global.isDevMode,,,"99:nex_NGCDevStart:>> (dev) быстрый старт
100:nex_NGCDevStartFast:>> (dev) быстрый старт без пропуска времени",
,,,,,,
nex_NGCResetSetupData,NewGameOptionSelected,$option==nex_NGCResetSetupData,"Nex_NGCSetupData reset
FireAll ExerelinNGCOptions",,,
ExerelinNewGameOptionsDone,NewGameOptionSelected,$option==exerelinNGCOptionsDone,FireBest ExerelinNGCStep2,,,
,,,,,,
nex_NGCFactionToggleMenu,NewGameOptionSelected,$option==nex_NGCFactionToggleMenu,"Nex_VisualCustomPanel create true
Nex_NGCFactionToggleV2 listFactions
SetShortcut nex_NGCFactionToggleMenu_leave ESCAPE",,nex_NGCFactionToggleMenu_leave:Назад,
nex_NGCFactionToggleMenuLeave,NewGameOptionSelected,$option==nex_NGCFactionToggleMenu_leave,"Nex_NGCFactionToggleV2 processRecommendedSize
FireAll ExerelinNGCFactionOptions",,,
,,,,,,
ExerelinNGCSectorOptionsMenu,NewGameOptionSelected,$option==exerelinNGCSectorOptions,FireAll ExerelinNGCSectorOptions,,,
ExerelinNGCFactionOptionsMenu,NewGameOptionSelected,$option==exerelinNGCFactionOptions,FireAll ExerelinNGCFactionOptions,,,
ExerelinNGCOtherOptionsMenu,NewGameOptionSelected,$option==exerelinNGCOtherOptions,FireAll ExerelinNGCOtherOptions,,,
nex_NGCReaddTooltip,NexReaddVisualPanelTooltip,,Nex_VisualCustomPanel readdTooltip,,,
,,,,,,
nex_NGCCustomScenarioOption,ExerelinNGCOtherOptions,,"Nex_NGCCustomScenario menuOption
Nex_DynamicPaginatedOptions addOption nex_NGCCustomScenarioMenu ""Пользовательский сценарий - $nex_customScenarioName""",,,
,,,,,,
nex_NewGameSectorConfigNonCorvus,ExerelinNGCSectorOptions,!$corvusMode,$nex_ngcSectorGenSlidersSeen = true,,,
