id,trigger,conditions,script,text,options,notes
#RULESET_NAME Tahlan,,,,,,
,,,,,,
# LEGIO,,,,,,
greetingLegioInfernalisFriendly,OpenCommLink,"$faction.id == tahlan_legioinfernalis
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Тоже на ту же добычу охотишься, приятель? Смотри не попади под перекрестный огонь.""
OR
""Ну надо же, хоть раз не красная отметка. Даже немного жаль.""",,
greetingLegioInfernalisHostileWeaker,OpenCommLink,"$faction.id == tahlan_legioinfernalis
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Может, найдешь себе достойного противника, а, приятель?""
OR
""Может, устроим заезд? Думаешь, сможешь обойти легионную настройку?""",cutCommLink:Разорвать связь,
greetingLegioInfernalisHostileWeakerDefiant,OpenCommLink,"$faction.id == tahlan_legioinfernalis
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"""Думаешь, ты такой крутой? Посмотрим, как запоешь, когда твой замерзший труп поплывет в пустоте.""
OR
""Думал, я сбегу? Чтобы прибрать мусор вроде тебя, мне большой флот не нужен.""",cutCommLink:Разорвать связь,
greetingLegioInfernalisHostileStronger,OpenCommLink,"$faction.id == tahlan_legioinfernalis
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""О, смотрите, еда заговорила.""
OR
""Надеешься вымолить жизнь? Не смеши меня, ублюдок.""",cutCommLink:Разорвать связь,
greetingLegioInfernalisNeutral,OpenCommLink,"$faction.id == tahlan_legioinfernalis
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""И как только кто-то вроде тебя попал в список не стрелять при встрече? Ну и черт с ним.""
OR
""Терпеть не могу, когда боссы запрещают в кого-то стрелять. Пошел в жопу.""",,
#END LEGIO,,,,,,
,,,,,,
# KASSADARI,,,,,,
greetingKassadariFriendly,OpenCommLink,"$faction.id == tahlan_greathouses
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Дружелюбно""
OR
""ДружелюбноАльт""",,
greetingKassadariHostileWeaker,OpenCommLink,"$faction.id == tahlan_greathouses
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""ВраждебноСлабее""
OR
""ВраждебноСлабееАльт""",cutCommLink:Разорвать связь,
greetingKassadariHostileWeakerDefiant,OpenCommLink,"$faction.id == tahlan_greathouses
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"""ВраждебноСлабееДерзко""
OR
""ВраждебноСлабееДерзкоАльт""",cutCommLink:Разорвать связь,
greetingKassadariHostileStronger,OpenCommLink,"$faction.id == tahlan_greathouses
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""ВраждебноСильнее""
OR
""ВраждебноСильнееАльт""",cutCommLink:Разорвать связь,
greetingKassadariNeutral,OpenCommLink,"$faction.id == tahlan_greathouses
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Нейтрально""
OR
""НейтральноАльт""",,
#END KASSADARI,,,,,,
,,,,,,
# LEGIO_BLACKWATCH_BAR,,,,,,
legioBlackwatchBarEventAdd,AddBarEvents,"$faction.id == pirates
!$market.isHidden
$global.tahlan_haslegio == true
$global.tahlan_metLegioAtBar == false
RollProbability 0.5","AddBarEvent legioBlackwatchBarEvent ""Подойти к офицеру Legio"" ""Молодая женщина в форме со знаком Legio сидит в уединенном углу бара; кажется, она раздражена и кого-то ждет, испепеляя взглядом каждого, кто осмеливается приблизиться.""",,,
,,,,,,
legiobareventencounter_intro1,DialogOptionSelected,$option == legioBlackwatchBarEvent,"$global.tahlan_metLegioAtBar = true
BeginConversation ""tahlan_devil"" true true","Женщина окидывает вас пренебрежительным взглядом, затем приподнимает бровь, поняв, что вы не просто проходите мимо.

""Вы явно не мой контакт, но и не обычная пиратская шваль. Что вам нужно?""","legiobareventencounter_intro1res1:Просто хотел немного поболтать.
legiobareventencounter_intro1res2:Прошу прощения - похоже - я принял вас за кого-то другого.",
legiobareventencounter_intro2,DialogOptionSelected,$option == legiobareventencounter_intro1res1,,"""Просто поболтать?""

Она смотрит на вас с недоумением.

""Ну, почему бы и нет, пожалуй. Мой контакт все равно опаздывает, а вся вырожденная человеческая отброса, что обычно здесь ошивается, не стоит разговора.""",legiobareventencounter_intro2res1:Присесть,
legiobareventencounter_intro3,DialogOptionSelected,$option == legiobareventencounter_intro1res2,,"Женщина усмехается.

""Как будто я в это поверю. Не думай, будто я не понимаю, насколько выделяюсь среди... местного пейзажа. Прошу, присаживайся, развлеки меня, пока я жду.""","legiobareventencounter_intro2res1:Присесть
legiobareventencounter_exit:Нет - спасибо.",
legiobareventencounter_intro4,DialogOptionSelected,$option == legiobareventencounter_intro2res1,,"""Итак, капитан, полагаю, именно так вас и зовут, верно? Командир независимого флота, который только что прибыл? Мы следим за такими вещами.""

Она ухмыляется, даже не дожидаясь подтверждения того, что и так считает фактом, и у вас возникает чувство, что ей очень нравится звук собственного голоса.

""Теперь я могу лишь гадать, что привело вас ко мне, но, думаю, это моя модная форма.""",legiobareventencounter_intro4res1:Да - она и правда выделяется.,
legiobareventencounter_intro5,DialogOptionSelected,$option == legiobareventencounter_intro4res1,,"""Тогда могу лишь предположить, что раз я вас не знаю, у вас есть дела с нашим великим Легионом. Понимаю, почему вам хотелось бы примкнуть к нашему делу, но говорить об этом нужно не со мной.""

Она ненадолго замолкает.

""Или вы хотели чего-то еще? Если да, рассказывайте.""","legiobareventencounter_hub1:Вы всегда в одиночку зависаете по таким притонам?
legiobareventencounter_hub2:С чего бы мне вообще к вам присоединяться?
legiobareventencounter_hub3:Кстати - эти глаза - геномоды или импланты?
legiobareventencounter_exit:Думаю - на этом все.",
legiobareventencounter_introexit,DialogOptionSelected,$option == legiobareventencounter_exit,AddPotentialContact,"""Как хочешь.""

Когда вы уже собираетесь уходить, она бросает вам дата-чип.

""Что бы ты обо мне ни думал, ты кажешься способным человеком. Возможно, позже у меня найдется для тебя работа.""",backToBar:Вернуться в бар,
,,,,,,
