id,type,text1,text2,text3,notes

edshipyard_pomeranian,SHIP,"Этот небольшой корабль несет внушительную огневую мощь благодаря трем синергетическим турелям и телепорту мин, но довольно хрупок: у него нет встроенных щитов и броня невелика. Померанец особенно эффективен на дистанции, если развернуть его в больших количествах.

Корабль оснащен системой телепорта мин, способной переносить одну мину на очень большую дальность, но перезаряжается она долго.",,,

edshipyard_corgi,SHIP,"Корги - отличный корабль поддержки. Он может ставить дальнобойные ракеты и отправлять дронов к линии фронта.

Его ангары очень компактны, поэтому не поддерживают крупные звенья пилотируемых истребителей и используют малых дронов.

Главные слабости Корги - слабая броня и щиты, а также скорость ниже средней.",,,

edshipyard_dachshund,SHIP,"Образец скоростной доставки. Такса - специализированный грузовик для быстрых и эффективных рейсов между колониями. Он оснащен Burn Drive и весьма быстр для грузовика своего размера, что дает хороший шанс уйти от преследователей.

Корабль несет внешние грузовые контейнеры, поэтому его грузовместимость нельзя дополнительно увеличить обычными модификациями корпуса.",,,

edshipyard_leonberger,SHIP,"Эксцентричная конструкция, объединяющая размер линейного крейсера, толстую броню тарана и подвижность фазового корабля. Это самый быстрый капитальный корабль линейки Верфей ED. Ускорение Леонбергера настолько велико, что весь экипаж обязан носить экзокостюмы со специальными персональными кинетическими демпферами.

У корабля нет встроенных ограничителей безопасности, что позволяет ему всегда работать на пределе, но среди экипажей он печально известен как самый быстрый металлический гроб в Секторе.",,,

edshipyard_groenendael,SHIP,"Грюнендаль - настоящая силовая платформа. Он создан как флагман флота, сочетая истребители, крупные орудия, хороший щит и достойную броню.

Его система, Пространственная замена, позволяет быстро поменяться местами с союзником в опасности, принимая удар на себя.",,,

edshipyard_bernard,SHIP,"Пара топливных магистралей Prometheus, сведенная к центральному ядру, дала неожиданный результат: эффект стабилизатора поля двигателя оказался усилен, а стабилизацию можно было схлопывать на корпус как древнюю броню. Бернар - огромный танкер, полезный для дальних походов.",,,

edshipyard_saluki,SHIP,"Салюки - один из самых быстрых крейсеров в Секторе. С корабля сняли все меры безопасности, а двигатели форсировали для роста скорости и маневренности, но ценой стали высокая нагрузка на экипаж и опасная эксплуатация.",,,

edshipyard_rottweiler,SHIP,"Несмотря на неуклюжий вид и низкую скорость, Ротвейлер создан для засад и уничтожения неподготовленных целей, а также для защиты союзников путем обмена местами с ними.

Система Засадная замена меняет корабль местами с союзником схожей массы и на короткое время усиливает оружие и рассеивание нагрузки.",,,

edshipyard_wurgandal,SHIP,"Вургандаль - вершина технологий Eccentric Designs. Это массивный корабль с несколькими крупными модулями.

Самая пугающая особенность корабля - встроенное оружие Пасть Тирана, абсурдно огромный лучевой комплекс планетарного класса.",,,

edshipyard_papillon,SHIP,"Малый экспериментальный дрон-бомбардировщик с чрезвычайно мощными двигателями и ракетной нагрузкой. Его маневренность затрудняет перехват и позволяет без помех преодолевать большие дистанции.

Боекомплект Папильона опасен, но дрон хрупок и зависит от скорости.",,,

edshipyard_affenpinscher,SHIP,"Пинчер - назойливая угроза: быстрый, маневренный и оснащенный фазовым покровом, он очень труден для уничтожения. Игнорировать его опасно, поскольку он несет импульсное энергетическое оружие, способное давить и щиты, и броню.",,,

edshipyard_pug,SHIP,"Мопс - незащищенная щитом, но тяжело бронированная оружейная платформа. Простая, но эффективная маленькая глыба, способная напугать большинство фрегатов. Его недостатки - малая дальность атаки и низкая скорость.",,,

edshipyard_maltese,SHIP,"Ремонтный дрон Мальтезе - уникальная машина: он не несет оружия и очень хрупок, зато способен в бою восстанавливать поврежденный корпус и броню союзных кораблей.

Сначала он ремонтирует корпус, а затем переходит к восстановлению брони.",,,

edshipyard_terrier,SHIP,"Дрон доставки, переделанный под перевозку боеприпасов. Он доставляет комплекты боезапаса союзным кораблям с оружием ограниченного боекомплекта. Не все оружие можно пополнить: встроенные системы недоступны для дозарядки.",,,

edshipyard_collie,SHIP,"Колли создан для поддержки эсминцев в малых флотах. Он оснащен Пространственной заменой, позволяющей поменяться местами с союзником в опасности и принять на себя входящий урон при отходе. Корабль специализируется на защите и поддержке.",,,

edshipyard_chin,SHIP,"Корабль мечты для контрабандистов и прорывателей блокад. Хин - воплощение скользкости: фазовый покров и мощные двигатели дают невероятные рывки скорости, делая этот малый корабль почти невозможным для поимки.",,,

edshipyard_dobermann,SHIP,"Не позволяйте простой форме и тонкому силуэту Добермана обмануть вас: он кусает сильнее, чем лает. Все главные орудия смотрят вперед, имеют ограниченные сектора, но установлены на укрепленных креплениях; модульные щиты усиливают фронтальную защиту.",,,

edshipyard_beagle,SHIP,"Бигль переосмысливает технологии Добермана: одна Адорожденная пушка, улучшенная версия Адской пушки, и два модуля-стража дают малому кораблю сильные наступательные и защитные возможности.",,,

edshipyard_chihuahua,SHIP,"Чихуахуа использует экспериментальную защитную систему Доппельгангер. Она выпускает облака наноботов, проецирующих копии главного корабля; наноботы также несут мелкие металлические фрагменты, запускаемые по входящим угрозам.",,,

edshipyard_wolfhound,SHIP,"Лучшее соотношение цены и пользы. Волкодав объединяет черты Wolf и Hound в очень эффективный и дешевый фрегат, настоящий универсал за свои деньги.

Корабль неприхотлив, прост и удобен в массовом применении.",,,

edshipyard_wolfhound_p,SHIP,"Злой близнец Волкодава. Mk.II отбрасывает универсальность базовой модели ради скорости и мощи; для своего размера корабль весьма смертоносен.

Встроенный экранированный грузовой отсек и форсированные двигатели делают его привлекательным для пиратов.",,,

edshipyard_dachshund_p,SHIP,"С грузовика сняли контейнерные крепления и набили его броней и оружием. Такса Mk.II не так беззащитна, как базовая модель: толстые слои металлолома и самодельный щит позволяют ей пережить куда больше.",,,

edshipyard_carolina,SHIP,"Пушка с двигателями. Каролина бросает вызов здравому смыслу, неся самое острое оружие из когда-либо созданных - Жнец Каролины, настолько крупный, что отдача отбрасывает весь корабль назад.

В барабане шесть выстрелов; после их расхода оружие нужно перезаряжать.",,,

edshipyard_carolina_p,SHIP,"Лишенная своей главной особенности, пиратская Каролина не кажется столь опасной рядом с оригиналом, но этот корабль вдохновлен успешной пиратской версией ""Сокола"" и специализируется на установке мощного вооружения.",,,

edshipyard_shiba,SHIP,"Улучшения системы Доппельгангер привели к созданию Сибы, корабля, способного использовать весь потенциал системы и в защите, и в атаке. Корабль почти полностью автоматизирован, что снижает потребность в экипаже.",,,

edshipyard_retriever,SHIP,"Большинству капитальных кораблей нужны фрегаты и эсминцы сопровождения, но с Ретривером все наоборот. Он создан для поддержки малых кораблей и оснащен генератором полевого щита, создающим большую безопасную зону для союзников.",,,

edshipyard_newfoundland,SHIP,"Ньюфаундленд известен как ""конвой из одного корабля"". Хотя чаще всего его используют как огромный боевой грузовик, на нем больше оружия, чем на многих капитальных боевых кораблях, и он несет собственное истребительное прикрытие.

Гигантская конструкция требует аккуратного управления модулями.",,,

edshipyard_beauceron,SHIP,"Босерон создан по запросу на меньший и более универсальный спасательный корабль. Он способен поддерживать флот и спасать корабли любого размера благодаря встроенному спасательному дрону, который меняет их местами с собой.",,,

edshipyard_malinois,SHIP,"Малинуа создан для дальнобойной поддержки и превосходен в электромагнитной и разведывательной войне. Встроенное ECM-оборудование, продвинутые сенсоры, четыре ангара дронов и до трех средних ракетных установок делают его сильным кораблем поддержки.",,,

edshipyard_beauceron_p,SHIP,"Корабль прошел серьезную переделку, особенно в корпусе и бронеплитах. Новый дизайн странно симметричен и слишком хорошо собран для обычных пиратов. Пиратский Босерон может указывать на более организованную угрозу.",,,

edshipyard_dobermann_p,SHIP,"Главные особенности оригинального Добермана удалены, превратив корабль во что-то совсем иное. Систему Большой залп убрали, сверхкрупные оружейные слоты превратили в ангары, а броню усилили пиратскими методами.",,,

edshipyard_basenji,SHIP,"Басенджи объединяет несколько сенсорных массивов, фазовые устройства и новую технологию удержания антиматерии. В результате корабль способен путешествовать через глубокий космос и исследовать опасные системы без поддержки.",,,

edshipyard_retriever_p,SHIP,"Еще один корабль поддержки, прошедший тяжелую модификацию корпуса и брони. Новый дизайн слишком симметричен и аккуратен для простых пиратов; пиратский Ретривер выглядит как продукт серьезной инженерной работы.",,,

edshipyard_bernese,SHIP,"Бернец создан для помощи дальним исследовательским и спасательным флотам ремонтом и запчастями, что делает его популярным у сборщиков трофеев. На корабле есть встроенные инструменты для быстрой и эффективной разделки обломков.",,,

edshipyard_dalmatian,SHIP,"Разработка Далматина началась как проект супергрузовика с высокой крейсерской скоростью и шансом уйти от пиратских засад, но после множества доработок превратилась в нечто более крупное и специализированное.",,,

edshipyard_redbone,SHIP,"Редбоун - фазовый эсминец со специальным оружием B.A.R.K.S., кинетическим генератором ударной волны, отталкивающим врагов с огромной силой. Он может выбивать корабли противника из позиции и даже срывать их атаки.",,,

edshipyard_basset,SHIP,"Охотничий эсминец Бассет создан для подавления фазовых кораблей. Лучевое оружие, звено истребителей и омни-щит позволяют ему удерживать фазовые цели под давлением и переживать внезапные атаки.",,,

edshipyard_bischon,SHIP,"Бишон - атакующая собака среди фрегатов Eccentric Designs, почти эсминец по размеру и огневой мощи. Он несет два средних и четыре малых орудия и мощные заказные фазовые катушки.

Система Засадная замена позволяет ему быстро входить в бой.",,,

edshipyard_doog,SHIP,"Продвинутый прототип фазового крейсера, оснащенный лучшими технологиями Eccentric Designs. Несколько фабрикаторов и телепортов мин позволяют одному кораблю контролировать большие участки поля боя.",,,

