id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
IndEvo_AdManuf,Вариативная мануфактура,50,60,,6,IndEvo_AdAssem,,"industry, industrial",,graphics/industry/manufactorium.png,indevo.industries.assembler.industry.VariableManufactory,"Чудо автономного вариативного производства - полноразмерный промышленный комплекс, выпуск которого зависит от установленного набора чипов. Именно в таком виде проявляется подлинное индустриальное наследие Tri-Tachyon.

В конце каждого месяца отправляет значительное количество производимого товара в локальное хранилище.",500,MEDIUM
IndEvo_AdAssem,Вариативный сборщик,30,30,,3,,IndEvo_AdManuf,"structure, industrial",,graphics/industry/assembler.png,indevo.industries.assembler.industry.VariableAssembler,"Небольшая автономная производственная линия, выпуск которой зависит от установленного набора чипов. Разработка Tri-Tachyon; большая часть таких систем была уничтожена после Второй войны ИИ.

В конце каждого месяца отправляет часть производимого товара в локальное хранилище.",500,HIGH
IndEvo_ComForge,Товарная кузница,40,45,,8,,,"structure, industrial",,graphics/industry/comforge.png,indevo.industries.assembler.industry.CommodityForge,"Грубая, но эффективная переделка вариативного сборщика, позволяющая быстро выпускать большие объемы товаров. После установки VPC через несколько дней необратимо привязывается к этой индустрии и разрушается после трех производственных циклов.

Отправляет в локальное хранилище большое количество товаров; объем зависит от типа VPC и размера колонии.",500,
IndEvo_ComArray,Военные ретрансляторы,20,30,,4,,IndEvo_IntArray,"structure, unraidable, tactical_bombardment, patrol, military",,graphics/industry/milcomm.png,indevo.industries.relay.industry.MilitaryRelay,"Эти скрытые коммуникационные антенны обеспечивают мгновенную связь и передачу данных со всеми дружественными объектами в системе.

Увеличивает размер местных флотов в зависимости от наибольшего размера флота среди всех планет этой звездной системы, где есть военный ретранслятор.

Работает как штаб патруля, если на планете нет другого.",500,
IndEvo_IntArray,Межзвездный ретранслятор,30,45,,8,IndEvo_ComArray,,"structure, unraidable, tactical_bombardment, patrol, military",,graphics/industry/intArray.png,indevo.industries.relay.industry.MilitaryRelay,"Военизированная версия коммуникационного ретранслятора, обеспечивающая быструю передачу данных между союзными звездными системами при высоком уровне безопасности.

Звездные системы с Межзвездным ретранслятором могут делиться размерами флотов для эффекта военных ретрансляторов.

Работает как штаб патруля, если на планете нет другого.",500,
IndEvo_AdInfra,Бюро централизации,45,60,,6,,,"structure, industrial, unraidable",,graphics/industry/adInfra.png,indevo.industries.CentralizationBureau,"Специализированная инфраструктура для управления общесистемным производством, перевозкой и хранением товаров. Увеличивает местный выпуск в зависимости от количества одинаковых индустрий в звездной системе.",500,LOW
IndEvo_ScrapYard,Дворы утилизации,40,45,,7,,,"heavyindustry, industry, industrial",,graphics/industry/scrapyards.png,indevo.industries.salvageyards.industry.SalvageYards,"Огромные свалки корабельных деталей, собранных по всей системе и свезенных сюда. Повторное использование останков космических кораблей может поднять производство, но неизбежно снижает качество судов. Эта индустрия может увеличивать производственный бюджет даже при наличии тяжелой промышленности на планете, но требует постоянного притока новых обломков.

Получайте salvage units, уничтожая корабли в системе или добавляя оружие в промышленное хранилище.",500,LOW
IndEvo_SupCom,Суперкомпьютер,60,50,,4,,,industry,,graphics/industry/supcom_norm.png,indevo.industries.Supercomputer,"Построенные глубоко под землей, эти гигантские вычислительные комплексы используют порабощенные ИИ для работы, постепенно выжигая их ядра. Гегемония пристально следит за всеми такими объектами, но случаев создания нового разума не зафиксировано.

Увеличивает доход всех колоний в системе со складыванием по убывающей эффективности; для работы потребляет ядра из специального хранилища ИИ-ядер.",500,EXTREME
IndEvo_embassy,Посольство,30,30,,4,,,"structure, unraidable",,graphics/industry/emb_base.png,indevo.industries.embassy.industry.Embassy,"Посольства существуют с тех пор, как люди впервые начали объединяться в государства: потребность представлять себя перед другой стороной сохраняется даже в нестабильном политическом климате Персеанского сектора.

Это сооружение ежемесячно улучшает отношения с одной фракцией, но увеличивает любые отрицательные изменения репутации на 50%.",500,
IndEvo_senate,Сенат,60,60,,8,,,"structure, unraidable",,graphics/industry/council.png,indevo.industries.senate.industry.Senate,"Сенат - политическое сердце звездной системы. Здесь собираются представители всех планет, определяя законы, политику и договоры. Он позволяет более напрямую управлять планетарным правом, решая все мелкие проблемы, которые возникают при быстрых изменениях регулирования.",500,
IndEvo_dryDock,Реставрационные доки,40,40,,5,,,"structure, unraidable",,graphics/industry/repairDocks.png,indevo.industries.RestorationDocks,"Сухие доки и мастерские для ремонта поврежденных звездолетов, кипящие работой - всегда найдется следующий остов, который нужно восстановить для клиента, слишком привязанного к груде металлолома, чтобы увидеть здравый смысл.

Медленно удаляет D-моды с кораблей, помещенных в специальное хранилище, с огромной скидкой по сравнению с быстрой реставрацией.",500,LOW
IndEvo_Academy,Академия,60,60,,8,,,"structure, unraidable",,graphics/industry/academy.png,indevo.industries.academy.industry.Academy,"Знамена украшают высокие стены этого бастиона образования, где готовят новое поколение лучших умов сектора, призванных принять на себя бремя предков - или просто погибнуть в какой-нибудь бессмысленной войне.

Это сооружение повышает качество офицеров по всей системе, увеличивает число офицеров для оборонительных флотов, собираемых на этой планете, позволяет хранить и обучать администраторов и офицеров и значительно повышает шанс появления здесь доступных для найма специалистов.",500,LOW
IndEvo_ReqCenter,Центр реквизиций,40,40,,6,,,"structure, unraidable",,graphics/industry/reqMarket.png,indevo.industries.RequisitionCenter,"Больше похожий на офис, чем на рынок, Центр реквизиций - учреждение, куда ходят придирчивые капитаны, коллекционеры и все, кто ищет импорт конкретных видов оружия.

Создает рынок, продающий оружие фракций, с которыми у вас хорошие отношения. Посольство с действующим послом на той же планете заставит Центр закупать товары только у этой фракции.
Продает также стабильный набор расходников.",500,LOW
IndEvo_EngHub,Инженерный центр,50,60,,7,,,"structure, unraidable",,graphics/industry/engHub.png,indevo.industries.engineeringhub.industry.EngineeringHub,"В секторе, где знания постепенно умирают, учреждение, специализирующееся на разборе исправных космических кораблей, - зрелище редкое и доступное только богатым или отчаявшимся.

Помещайте корабли в хранилище для обратной инженерии. Набрав 100% прогресса по корпусу, можно установить чертеж для замены или использовать реликтовые компоненты, чтобы создать новый.",500,HIGH
IndEvo_PrivatePort,Курьерский порт,30,40,,5,,,"structure, spaceport, tactical_bombardment",,graphics/industry/shipping_port.png,indevo.industries.courierport.industry.CourierPortV2,"Приватизированные доковые мощности позволяют куда более прямолинейно заниматься доставкой - и заодно обходить излишне любопытных чиновников. Отправить можно что угодно и куда угодно, если у вас есть деньги.

Позволяет перевозить груз между колониями по регулярным контрактам на доставку.",500,MEDIUM
IndEvo_pirateHaven,Каперская база,90,90,,10,,,"industry, tactical_bombardment, military",,graphics/industry/pirateHaven.png,indevo.industries.privateer.industry.PrivateerBase,"Каперская база позволяет сомнительной части вашего населения полулегально вести желаемый образ жизни, что способно приносить неплохую прибыль там, где иначе были бы одни проблемы. Кроме того, на планете появится пиратская субпопуляция.

Будет устраивать рейды на враждебные звездные системы и возвращать добычу в зависимости от уровня индустриализации разграбленных планет. Выпуск со временем падает, если не поступает новый ""освобожденный"" материал.",500,LOW
IndEvo_SwitchableRefining,Специализированная переработка,10,30,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,indevo.industries.changeling.industry.refining.SwitchableRefining,"Специализированные перерабатывающие мощности дают более высокий выпуск по сравнению с обычной версией за счет переключения между нужными типами продукции, жертвуя универсальностью ради отдачи.",500,MEDIUM
IndEvo_SwitchableMining,Специализированная добыча,10,30,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,indevo.industries.changeling.industry.mining.SwitchableMining,"Специализированные методы добычи обеспечивают более высокий выпуск по сравнению с обычной версией за счет переключения между нужными типами продукции, жертвуя универсальностью ради отдачи.",300,MEDIUM
IndEvo_SwitchablePopulation,Специализированное управление,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,indevo.industries.changeling.industry.population.SwitchablePopulation,"Базовая инфраструктура, необходимая для поддержания заданного населения: от шатких орбитальных жилых модулей до мегаполисов и всего, что между ними.",100,
IndEvo_PetStore,Центр питомцев,20,30,,3,,,"structure, unraidable",,graphics/industry/petshop.png,indevo.industries.petshop.industry.PetShop,Гильдия охраны животных Персеанского сектора контролирует работу каждого Центра питомцев вне зависимости от его местоположения благодаря эксклюзивному патенту на законное приобретение и торговлю животными между несколькими планетами. Со временем это породило сложные организационные структуры и все более двусмысленные правила. В результате даже редкие животные иногда оказываются доступны для покупки.,500,
IndEvo_Museum,Музей,30,60,,3,,,"structure, unraidable",,graphics/industry/museum.png,indevo.industries.museum.industry.Museum,"Архивные залы, выставочные площадки и кабинеты кураторов, предназначенные для устройства грандиозных экспозиций для публики. Лишь самые богатые политии могут позволить себе содержание устаревших или редких звездолетов в такой роли; чаще такие суда разбирают на части или возвращают в строй.

Музей может устраивать парады и выставлять трофеи войны, принося доход.",500,
IndEvo_Warehouse,Складской комплекс,20,30,,2,,,"structure, unraidable, IndEvo_warehouse",,graphics/industry/warehouse.png,indevo.industries.warehouses.industry.Warehouses,"Склады, специально построенные для размещения и упорядочивания материальных запасов. Эти объекты занимают ключевые точки и размещены так, чтобы поддерживать логистику флота.

Позволяет создавать настраиваемые складские помещения.",500,
#IndEvo_Warphouse,Комплекс червоточин,0,60,,4,,,"structure, unraidable, do_not_show_in_build_dialog, IndEvo_warehouse",,graphics/industry/warphouse.png,indevo.industries.warehouses.industry.Warehouses,"Этот складской комплекс использует якорь червоточины для мгновенной переброски груза и судов между связанными объектами. Метод дает исключительную логистическую гибкость, но зависит от технологии, которая в Секторе почти недоступна.",500,
,,,,,,,,,,,,,,
#Artillery,,,,,,,,,,,,,,
IndEvo_Artillery_base,Орбитальная артиллерия,,,,,,,"artillery, parent_item, important, structure, codex_unlockable, military",artillery,graphics/icons/industry/station_category.png,indevo.industries.artillery.industry.ArtilleryStation,"Остатки древней стратегической артиллерийской станции безвольно висят над $market. Восстановив ее, вы получите оборонительную оружейную систему непревзойденной эффективности.

Переоснащение исходной платформы возможно благодаря установленным на ней автоматическим строительным дронам - вы можете выбрать один из нескольких вариантов.",2000,
IndEvo_Artillery_mortar,Орбитальная артиллерия - миномет,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable, military","{
radius:40,
variant:IndEvo_artilleryStation_mortar_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"Древняя стратегическая оборонительная платформа эпохи Доминиона. Обстреливает цели большим количеством фугасных боеприпасов на экстремальной дистанции.

Работает полуавтономно, поскольку ядро управления, похоже, не принимает современные ключи авторизации.",500,
IndEvo_Artillery_missile,Орбитальная артиллерия - ракеты,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable, military","{
radius:40,
variant:IndEvo_artilleryStation_missile_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"Древняя стратегическая оборонительная платформа эпохи Доминиона. Запускает oversized дальнобойные ECM-ракеты с наведением на цель, чтобы перехватывать и замедлять противника.

Работает полуавтономно, поскольку ядро управления, похоже, не принимает современные ключи авторизации.",500,
IndEvo_Artillery_railgun,Орбитальная артиллерия - рельсотрон,150,120,,10,,,"artillery, sub_item, structure, important, unraidable, codex_unlockable, military","{
radius:40,
variant:IndEvo_artilleryStation_railgun_variant,
fleetName:Orbital Artillery,
}",graphics/industry/artilleryStation_active.png,indevo.industries.artillery.industry.ArtilleryStation,"Древняя стратегическая оборонительная платформа эпохи Доминиона. Рельсотрон крейсерного калибра выпускает несколько чрезвычайно быстрых снарядов на большой дистанции.

Работает полуавтономно, поскольку ядро управления, похоже, не принимает современные ключи авторизации.",500,
,,,,,,,,,,,,,,
#Technical,,,,,,,,,,,,,,
IndEvo_pirateHavenSecondary,Вторичный слот каперской базы,0,0,,0,,,"industry, unraidable, no_saturation_bombardment, do_not_show_in_build_dialog, hide_in_codex",,graphics/industry/pirateHaven.png,indevo.industries.privateer.industry.PrivateerBaseSlotBlocker,"Эта индустрия блокирует второй слот индустрии, необходимый для Каперской базы.",9999,
IndEvo_ChamelionIndustry,Хамелеон-индустрия,0,0,,0,IndEvo_RuinedInfra,,"structure, do_not_show_in_build_dialog, hide_in_codex",,graphics/industry/industrialRuins.png,indevo.industries.ruinfra.industry.ChamelionIndustry,,9999,
IndEvo_InvisiblePlanetaryShield,Планетарный щит,150,90,,3,,,"grounddefenses, structure, do_not_show_in_build_dialog, hide_in_codex",,graphics/icons/industry/planetary_shield.png,indevo.industries.InvisiblePlanetaryShield,"Оболочка из заряженной плазмы, насыщенной экзотическими виртуальными частицами, создает эффекты, нарушающие эффективность дальних бомбардировок и даже проникновения малых судов. Планетарный щит может непрерывно подпитываться и управляться из центрального источника, представляя серьезное препятствие для любой формы наземного штурма.",2700,EXTREME
,,,,,,,,,,,,,,
#Derelicts,,,,,,,,,,,,,,
IndEvo_HullDecon,Деконструктор корпусов,70,80,,7,IndEvo_Ruins,,"structure, industrial, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/hullDecon.png,indevo.industries.derelicts.industry.HullDeconstructor,,500,HIGH
IndEvo_HullForge,Кузница корпусов,70,80,,7,IndEvo_Ruins,,"structure, industrial, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/hullForge.png,indevo.industries.derelicts.industry.HullForge,,500,HIGH
IndEvo_ResLab,Древняя лаборатория,60,60,,6,IndEvo_Ruins,,"structure, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/resLab.png,indevo.industries.derelicts.industry.AncientLaboratory,,500,MEDIUM
IndEvo_RiftGen,Генератор разломов,60,60,,10,IndEvo_Ruins,,"structure, unraidable, do_not_show_in_build_dialog, codex_unlockable, IndEvo_showDeconstructWarning",,graphics/industry/riftGen.png,indevo.industries.derelicts.industry.RiftGenerator,,500,EXTREME
