id,trigger,conditions,script,text,options,notes
greetingxhanempireFriendly,OpenCommLink,"$faction.id == xhanempire
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Да падет на вас свет Божественного Императора.""
OR
""Слава вечной Империи!""",,
greetingxhanempireHostileWeaker,OpenCommLink,"$faction.id == xhanempire
$entity.isHostile
$entity.relativeStrength < 0","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Прегрешения против Империи Ксан не забываются быстро. Враждебные действия не пойдут вам на пользу.""
OR
""Империя Ксан еще может явить вам свою бесконечную милость. Не совершайте эту ошибку.""",,
greetingxhanempireHostileWeakerDefiant,OpenCommLink,"$faction.id == xhanempire
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Империя Ксан будет стоять вечно. Слава Божественному Императору!""
OR
""Я ничего не боюсь, ведь за мной стоит мощь Империи Ксан.""",cutCommLink:Разорвать канал связи,
greetingxhanempireHostileStronger,OpenCommLink,"$faction.id == xhanempire
$entity.isHostile
$entity.relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Да снизойдет на вас милость Божественного Императора.""
OR
""Ваши преступления против Империи Ксан и ее народа должны прекратиться. Приготовьтесь к концу.""
OR
""За преступления против Империи Ксан вы и ваши люди приговариваетесь к ликвидации.""",cutCommLink:Разорвать канал связи,
greetingxhanempireNeutral,OpenCommLink,"$faction.id == xhanempire
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Чего вы хотите от исполнителя воли Божественного Императора?""
OR
""Империя Ксан оказывает вам свое бесконечное гостеприимство. Убедитесь, что вы и ваш экипаж оказываете Божественному Императору должное почтение.""",,
flavorTextMarketxhanempire,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == xhanempirescore:4","AddText ""Xhan market description"" marketFlavorTextColor",,,
flavorTextMarketxhanempirecluster,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == xhanempire
$market.id == xhanempire_cluster_market score:5
$id == xhanempire_cluster","AddText ""Xhan Cluster Description"" marketFlavorTextColor",,,
,,,,,,
bar_descxhanempire,BarPrintDesc,"$faction.id == xhanempire
$market.id != xhanempire_cluster_market",ShowImageVisual space_bar,"Бар, как и большая часть архитектуры Ксан, аскетичен и пуст. Почти полностью утилитарное пространство: граждане в форме и военные сидят ровными, аккуратно распределенными группами. На электронных экранах медленно ползут производственные сводки и наличие товаров с соседних объектов. Ближе всего к развлечениям здесь - видеопанель, на которой вычурно одетый представитель свиты Божественного Императора зачитывает список отличившихся сегодня граждан. ",,
,,,,,,
CMSNTextRejectHostile_xhanempire,CMSNTextRejectHostile,$faction.id == xhanempire,,"""Вы отмечены как преступник против Империи Ксан, да падет на вас милость Божественного Императора.""",,
CMSNTextHasOther_xhanempire,CMSNTextHasOther,$faction.id == xhanempire,,"""В Империи Ксан нет места иностранным агентам; разорвите все свои ошибочные союзы по обстоятельствам и возвращайтесь, когда докажете, что верны только Божественному Императору.""",,
CMSNTextUnsuited_xhanempire,CMSNTextUnsuited,$faction.id == xhanempire,,"""Сначала вы должны доказать верность Империи Ксан. Тогда в будущем мы можем рассмотреть ваше посвящение.""",,
CMSNTextSuitedPart1_xhanempire,CMSNTextSuitedPart1,$faction.id == xhanempire,,"""Вы доказали, что разделяете волю Божественного Императора и готовы исполнять ее. Нет большей чести, чем служить Империи Ксан.""",,
CMSNTextSuitedPart2_xhanempire,CMSNTextSuitedPart2,$faction.id == xhanempire,,"""Ваше посвящение может начаться немедленно, если ваши личные приготовления завершены.""",,
CMSNTextWelcomePart1_xhanempire,CMSNTextWelcomePart1,$faction.id == xhanempire,,"""Теперь вы - продолжение руки Божественного Императора; его воля станет вашей.""",,
CMSNTextWelcomePart2_xhanempire,CMSNTextWelcomePart2,$faction.id == xhanempire,,"""Теперь вы несете власть нашей вечной империи; каждое ваше действие будет подкреплено всей мощью Империи Ксан.""",,
CMSNTextChangeMind_xhanempire,CMSNTextChangeMind,$faction.id == xhanempire,,"""Ваше нежелание полностью служить Божественному Императору отмечено. Это неважно: по мере освобождения звезд от тирании Империей Ксан вы все равно будете посвящены.""",,
CMSNResignAskToConfirm_xhanempire,CMSNResignAskToConfirm,$faction.id == xhanempire,,"""Вы действительно ставите под сомнение волю Божественного Императора? Вы осознаете тяжесть такого проступка, не так ли?""",,
