id,trigger,conditions,script,text,options,notes
"#RULESET_NAME Scy",,,,,,
,,,,,,
# SCY fleet greeting lines,,,,,,
greetingSCYFriendly,OpenCommLink,"$faction.id == SCY
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions",".. -.. / .- -.. -- .. -. / .--. .-- / .- -.. -- .. -. Соединение по защищённому каналу установлено. Рады видеть дружественные лица поблизости.",,
greetingSCYHostileWeaker,OpenCommLink,"$faction.id == SCY
$faction.hostileToPlayer
$relativeStrength < 0","$ignorePlayerCommRequests = true 1","Ха! У меня и так день не задался! Ладно, давай, попробуй взять меня...","cutCommLink:Прервать связь",
greetingSCYHostileWeakerDefiant,OpenCommLink,"$faction.id == SCY
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding","$ignorePlayerCommRequests = true 1","Уверен, вы рады, что смогли подобраться так близко к нашим кораблям, капитан, но я бы посоветовал не приближаться. Иначе можете обжечься.","cutCommLink:Прервать связь",
greetingSCYHostileStronger,OpenCommLink,"$faction.id == SCY
$faction.hostileToPlayer
$relativeStrength >= 0","$ignorePlayerCommRequests = true 1","Капитан, мы можем сделать это по-хорошему или по-плохому. Опустите щиты и отключите оружие и... Ха! Забудьте, всё равно никто никогда не сдаётся. ОГОНЬ!","cutCommLink:Прервать связь",
greetingSCYNeutral,OpenCommLink,"$faction.id == SCY
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Стандартный протокол вещания, только ближняя связь: Что вам нужно, говорите быстро.",,
"#END SCY fleet greeting lines",,,,,,
,,,,,,
# Trade panel flavor text,,,,,,
flavorTextMarketHepaistos,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$id == SCY_hephaistosStation score:1000","AddText""Конкурс удивительно просторен, но подавляющее большинство припаркованных кораблей носят цвета Скиан. Чужаки обязаны стыковаться в небольшой отведённой зоне: как только капитан выходит из шлюза своего корабля, его холодно встречают портовый офицер и его сопровождение. Они не пытаются скрыть, что здесь, чтобы следить за каждым его шагом. У всех на поясе закреплён дозиметр радиации, как и у всех вокруг. По правде говоря, они не выглядят самой здоровой компанией. Чужакам рекомендуется свести пребывание к минимуму.""textGrayColor",,,
