id,trigger,conditions,script,text,options,notes
greetingCabalTOffNormal,OpenCommLink,"$faction.id == cabal
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0
CabalNormalTalk","MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Почему бы тебе не попробовать говорить с включенным транспондером, идиот?""","turnOnTransponder:Включить транспондер
cutCommLink:Разорвать связь",
greetingCabalTOffWeaker,OpenCommLink,"$faction.id == cabal
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0
CabalNormalTalk","MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Так ты включишь транспондер или нет?""","turnOnTransponder:Включить транспондер
cutCommLink:Разорвать связь",
greetingCabalTurnOnTExtortion,DialogOptionSelected,"$faction.id == cabal score:100
RepIsAtBest $faction.id HOSTILE
!$entity.Cabal_extortionPaid
!$Cabal_extortionAskedFor
$relativeStrength >= 0
$option == turnOnTransponder","MakeHostileWhileTOff false
UpdateMemory
ActivateAbility $player.fleetId transponder
UpdateMemory
MakeOtherFleetPreventDisengage cabalExtortion true
MakeOtherFleetAggressive cabalExtortion true
CabalPickExtortionMethod
FireBest OpenCommLink",Вы отдаете приказ включить транспондер и снова открыть канал связи.,,
greetingCabalTurnOnTContribution,DialogOptionSelected,"$faction.id == cabal score:100
RepIsAtWorst $faction.id INHOSPITABLE
!$entity.Cabal_extortionPaid
!$Cabal_extortionAskedFor
$option == turnOnTransponder","MakeHostileWhileTOff false
UpdateMemory
ActivateAbility $player.fleetId transponder
UpdateMemory
CabalPickContributionMethod
FireBest OpenCommLink",Вы отдаете приказ включить транспондер и снова открыть канал связи.,,
greetingCabalFriendlyA,OpenCommLink,"$faction.id == cabal
$faction.friendlyToPlayer
CabalNormalTalk","$menuState = fleetConvMain 0
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false
AddText ""Добро пожаловать, последователь! Мы оцениваем стоимость вашего флота в $Cabal_netWorthString.""
FireAll PopulateOptions",,,
greetingCabalFriendlyB,OpenCommLink,"$faction.id == cabal
$faction.friendlyToPlayer
CabalNormalTalk","$menuState = fleetConvMain 0
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false
AddText ""Вы недавно покупали что-нибудь на биржах $Cabal_markets?""
FireAll PopulateOptions",,,
greetingCabalHostilePalace,OpenCommLink,"$entity.isHostile
$entity.uwIsPalace score:100
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
$menuState = fleetConvMain 0
AddText ""Мы за пределами вашего понимания. Стоимость вашего флота - жалкие $Cabal_netWorthString. Звезды принадлежат только роскошным.""
FireAll PopulateOptions",,,
greetingCabalHostileWeaker,OpenCommLink,"$faction.id == cabal
$entity.isHostile
$entity.relativeStrength < 0
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Ну вот и договорились, проклятый паразит.""
OR
""Грязный халявщик. Ты только мечтаешь, чтобы твой флот был добыт честно.""",cutCommLink:Разорвать связь,
greetingCabalHostileWeakerDefiant,OpenCommLink,"$faction.id == cabal
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Ты паразит, копишь богатства ради личной власти. Я не отступлю.""
OR
""Ха. Думаешь, раз угнал пару кораблей, то сможешь меня победить?""",cutCommLink:Разорвать связь,
greetingCabalHostileStronger,OpenCommLink,"$faction.id == cabal
$entity.isHostile
$entity.relativeStrength >= 0
CabalNormalTalk","$entity.ignorePlayerCommRequests = true 1
MakeOtherFleetPreventDisengage cabalExtortion false
MakeOtherFleetAggressive cabalExtortion false","""Не говори потом, что тебя не предупреждали.""
OR
""Грязный крестьянин. Ты недостоин звезд.""",cutCommLink:Разорвать связь,
