id,type,text1,text2,text3,notes
,,,,,
# Ships,,,,,
,,,,,
tahlan_Yukikaze,SHIP,"Часть секретного проекта корпорации Tri-Tachyon под названием «проект Kaze», Yukikaze — уникальный крейсер для чёрных операций, созданный для совместных действий с меньшими фрегатами Korikaze и автономного выполнения поставленных задач. Хотя корпорация Tri-Tachyon по-прежнему отрицает причастность к разработке и строительству этого корабля, его появление почти всегда связано с инцидентами, чрезвычайно выгодными для корпорации, и потому мало кто сомневается в этой связи.",,,
tahlan_Korikaze,SHIP,"Созданные как корабли поддержки для Yukikaze, эти небольшие дрон-фрегаты могут подключаться к нейросети Yukikaze, повышая эффективность всех связанных судов в бою и позволяя выполнять сложные атакующие манёвры, требующие предельно точной координации.",,,
tahlan_Firemane,SHIP,"Модификация Colossus, появившаяся из потребности в дешёвой платформе под тяжёлое вооружение. Поскольку энергопотребление такого оружия превышает возможности поточной сети Colossus, генератор щита был снят и заменён дополнительной бронёй. Боевые качества Firemane вызывают вопросы, но как недорогая платформа для тяжёлых орудий он всё же несомненно дешевле Dominator.",,,
tahlan_Castigator,SHIP,"Предположительно предшественник современного Eagle, Castigator был для своего времени чрезмерно переусложнённым штурмовым крейсером, который так и не пошёл в массовое производство из-за множества проблем. Он не только был слишком дорогим, но и уменьшенные TPC в его передних выступах страдали от проблем с надёжностью магнитных систем удержания. Даже с учётом этих недостатков характеристики Castigator без всяких сомнений впечатляют. Тяжёлая броня, многочисленные точки вооружения и достойная манёвренность объединены здесь в тяжёлый крейсер, созданный для боёв на передовой. Врываясь в сражение с эффектным штурмовым форсажем, Castigator производит грозное впечатление и остаётся противником, с которым большинство предпочло бы не сталкиваться лоб в лоб.",,,
tahlan_Castigator_xiv,SHIP,"Во время испытаний в флоте Домена некоторое количество кораблей класса Castigator было построено по альтернативным спецификациям, лучше соответствовавшим доктринам разных боевых групп. Для Четырнадцатой боевой группы разработали вариант с парой стандартных TPC; и хотя флот Домена отверг его как непрактичный из-за необходимости пожертвовать двумя средними орудийными слотами ради дополнительного оборудования и вспомогательных генераторов, среди командования этой боевой группы он пользовался любовью. В серию этот вариант в итоге так и не пошёл, и известных уцелевших кораблей не осталось, однако ходят слухи, что планы постройки всё ещё где-то существуют в Персеанском секторе.

Предположительно предшественник современного Eagle, Castigator был для своего времени чрезмерно переусложнённым штурмовым крейсером, который так и не пошёл в массовое производство из-за множества проблем. Он не только был слишком дорогим, но и уменьшенные TPC в его передних выступах страдали от проблем с надёжностью магнитных систем удержания. Даже с учётом этих недостатков характеристики Castigator без всяких сомнений впечатляют. Тяжёлая броня, многочисленные точки вооружения и достойная манёвренность объединены здесь в тяжёлый крейсер, созданный для боёв на передовой. Врываясь в сражение с эффектным штурмовым форсажем, Castigator производит грозное впечатление и остаётся противником, с которым большинство предпочло бы не сталкиваться лоб в лоб.",,,
tahlan_Bento,SHIP,"Любовно прозванный многими капитанами «Ланчбоксом» за то, как жадно он кормит прожорливые корабельные двигатели, боевой танкер класса Bento — крепкое маленькое судно, способное постоять за себя в бою. Его часто можно встретить в небольших флотилиях, которые не могут выделить эскорт для логистических кораблей, или в торговых караванах, желающих лучше защищаться от пиратских нападений на дальних маршрутах. Bento — достойная альтернатива вездесущему Dram. Да, ради этого приходится жертвовать запасом топлива, но зачастую проще просто взять второй Bento.",,,
tahlan_Bento_rg,SHIP,"Под яркой окраской Красной гвардии этот корабль был разобран и перестроен ради максимальной живучести при минимальных затратах. Сложные сенсорные массивы и капризные высокотехнологичные консоли связи были удалены, оставив лишь системы, абсолютно необходимые судну как беспощадно эффективному оружию войны. Особенно заметно то, что у этого корпуса класса Bento сняли большой топливный бак и заменили его кустарно смонтированным крупным креплением.

Любовно прозванный многими капитанами «Ланчбоксом» за то, как жадно он кормит прожорливые корабельные двигатели, боевой танкер класса Bento — крепкое маленькое судно, способное постоять за себя в бою. Его часто можно встретить в небольших флотилиях, которые не могут выделить эскорт для логистических кораблей, или в торговых караванах, желающих лучше защищаться от пиратских нападений на дальних маршрутах. Bento — достойная альтернатива вездесущему Dram. Да, ради этого приходится жертвовать запасом топлива, но зачастую проще просто взять второй Bento.",,,
