id,trigger,conditions,script,text,options,notes
#RULESET_NAME LS,,,,,,
,,,,,,
# greetings,,,,,,
greetingFriendly_ls_ds,OpenCommLink,"$faction.id == ls_ds
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Эй, где тут драка?""
OR
""Тебе повезло, что босс тебя любит, а то я бы сам тебя растоптал!""

",,
greetingHostileWeaker_ls_ds,OpenCommLink,"$faction.id == ls_ds
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Парни, валим!""
OR
""Нам полный зог!""
",cutCommLink:Разорвать канал связи,
greetingHostileWeakerDefiant_ls_ds,OpenCommLink,"$faction.id ==  ls_ds
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Мы еще не закончили, ты, гит! Иди сюда, еще разок!""
OR
""Вааааааагх!""",cutCommLink:Разорвать канал связи,
greetingHostileStronger_ls_ds,OpenCommLink,"$faction.id == ls_ds
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Пацаны, топчите этих гитов!""
OR
""ВАААААААААААГХ!""
",cutCommLink:Разорвать канал связи,
greetingNeutral_ls_ds,OpenCommLink,"$faction.id == ls_ds
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Эй, ты че уставился?""
OR
""Босс сказал сегодня тебя не мочить, так что вали отсюда!""
OR
"".. че тебе надо""
",,
#END greetings,,,,,,
,,,,,,
# factions,,,,,,
relLevelNeutral_ls_ds,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == ls_ds",FireAll RelLevelMoreDescription,"Орки решили, что ты пока не стоишь хорошей взбучки. Это редкая ситуация: продолжай в том же духе, и вы даже можете временно стать союзниками. Но зеленокожие непостоянны, и как только им станет некого крошить, они могут взяться за тебя.",,
relLevelFavorable_ls_ds,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == ls_ds",FireAll RelLevelMoreDescription,"Дескуллы считают тебя потенциально полезным контактом, которого пока выгоднее оставить в живых. Но следи за карманами: то, что они не убивают тебя, не значит, что не попытаются прибрать твои габбинзы другим способом.",,
relLevelWelcoming_ls_ds,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == ls_ds",FireAll RelLevelMoreDescription,"Теперь тебя считают одним из «пацанов», и можно рассчитывать на место в рейдовой ватаге и долю добычи. Но у орков прав тот, кто сильнее: если не ты ломаешь головы, ломать будут уже твою.",,
relLevelFriendly_ls_ds,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == ls_ds",FireAll RelLevelMoreDescription,"Тебя считают одним из нобов, и теперь у тебя заметное влияние в клане Дескуллов, достаточно, чтобы собрать собственную банду и покупать корабли и пушки покрупнее.",,
relLevelCooperative_ls_ds,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == ls_ds",FireAll RelLevelMoreDescription,"Теперь ты полноценный варбосс и по праву командуешь значительной частью бойзов и меков клана, имея доступ к большим запасам ресурсов, кораблей и оружия. С такой силой, возможно, стоит задуматься о собственном пути к величию.",,
