id,name,value,maxlife,tags,foodCommodities,rarity,foodPerMonth,desc,natural_death,icon,hullmod
lizzer,Термохромная ящерица,2200,1830,c_reptile,"IndEvo_pet_food, food, supplies, organs",1,1,"Милое существо, проводящее большую часть времени на горячих поверхностях машинного отделения и меняющее цвет в зависимости от температуры. Некоторые механики, похоже, доверяют этим ящерицам больше, чем корабельным системам мониторинга. Их считают исключительно дружелюбными и простыми в содержании - в основном потому, что они слишком ленивы, чтобы убегать, когда к ним подходят. Похоже, способны выживать даже в активных плазменных камерах.",перебралась погреться к топливному каналу двигателя.,graphics/pets/lizzer.png,IndEvo_petHullmod
plasmasnek,Плазменная змея,2200,1830,c_reptile,"IndEvo_pet_food, food, supplies, organs",1,1,"Длинные стройные существа, испускающие вокруг кожи светящееся плазменное поле. Их любят за эффектный внешний вид и способность освещать темные пространства, а в крайнем случае они сойдут и за импровизированное оружие, но держать их приходится в клетках Фарадея, иначе они мешают чувствительным системам корабля.",не выдержала постоянных колебаний зарядных полей корабля.,graphics/pets/plasmasnek.png,IndEvo_petHullmod
mechiders,Мехиды,3000,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.9,1,"Крошечные паукообразные служебные дроны, способные ползать почти по любой поверхности и обычно используемые для самых разных работ по обслуживанию звездолета. Они легко настраиваются и могут быть запрограммированы на что угодно - от уборки до наблюдения. Большинство считает их мерзкими, но обязательно найдется какой-нибудь странный матрос, который их обожает. На каждом уважающем себя капитале наверняка есть подпольный бойцовский клуб для модифицированных экземпляров.","получил слишком тяжелые повреждения на арене, и спасти его уже не удалось.",graphics/pets/mechiders.png,IndEvo_petHullmod
tammy,Тэмми,3000,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.3,2,"Tri-Tachyon Alchemical Moss, ласково называемый большинством космобродяг ""Тэмми"", появился из-за межотделовской ошибки при перевозке на одном из секретных объектов Tri-Tachyon. Сочетая в себе органику и нанотехнологии, это существо не растение и не бот, но определенно полуразумно. В качестве туловища оно использует свой горшок, отращивает корни для ходьбы и обожает шалости с электросетью. Бывшего сотрудника, который спас его из инсинератора, большинство матросов считает героем, а техники обслуживания - злой ведьмой.",случайно ударила себя током и отключилась.,graphics/pets/tammy.png,IndEvo_petHullmod
hive,Улей синекурток,3000,2190,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery, supplies",0.4,2,"Хотя формально это не совсем живое существо, этот улей дронов Tri-Tachyon производит рои ИИ дельта-уровня с коллективным сознанием, служащие посыльными и компаньонами. Они даже могут играть в простые игры. Все такие ульи умеют объединяться в сеть и обычно взаимодействуют друг с другом, если находятся достаточно близко, позволяя тайно собирать информацию - если бы не были отсталы на три десятилетия и не имели примитивно подделываемых кодов безопасности. Питаются кредстиками.",окирпичился после неудачного обновления ПО. Круг жизни и все такое.,graphics/pets/hive.png,IndEvo_petHullmod
fairy,Часовая фея,3000,2190,"c_mech, no_sell, no_drop","IndEvo_pet_food, IndEvo_parts, supplies",0.5,1,"Созданная в рамках спонсируемого исследовательского проекта Академии Галатии, Часовая фея - завораживающее существо из тонкой механики и передовых технологий. Это очаровательное механическое создание, любимец детей и поклонников сказок, порхает вокруг с озорным обаянием и не отказывает себе в мелких проступках вроде карманных краж и уклонения от налогов. Ее причудливое присутствие радует сердца, а пираты по неизвестной причине испытывают к ней врожденную неприязнь.",развалилась в воздухе и осталась неподвижно лежать.,graphics/pets/fairy.png,IndEvo_petHullmod
bugdog,Багпес,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies",0.1,2,"Странное существо неизвестного происхождения, знаменитое в первую очередь своей вечно недовольной мордой и склонностью отращивать длинные вычурные брови при стрессе. Конкурсы красоты для багпсов с модно уложенной лицевой шерстью появились вскоре после их открытия, но были признаны негуманными, когда обнаружили целые стресс-мастерские. Багпсы печально известны тем, что вызывают электронные сбои, оставляя за собой след из сломанных приборов и измученных хозяев. Их презрительные фырканья и бурчание кажутся милыми небольшой группе слегка не в себе космобродяг.",умер от стресса.,graphics/pets/bugdog.png,IndEvo_petHullmod
doge,Космопес,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",1,2,"Обычная собака породы, привыкшей к переменной гравитации кораблей и внезапной смене ориентации в гравитационных колодцах. Она по-прежнему лучший друг многих экипажей, пусть даже вывести ее ""на прогулку"" иногда технически непросто.",мирно почил.,graphics/pets/doge.png,IndEvo_petHullmod
spiritfox,Лис духа,2200,1830,c_mammal,"IndEvo_pet_food, food, supplies, organs",0.7,1,"Луддическая церковь считает этих лис церемониальными питомцами; обычно их можно встретить у паломников, странствующих по сектору. Фольклор гласит, что Дух Лудда смотрит на мир их глазами, видит и грех, и страдание, а затем отпускает путнику его пороки в конце дороги - в благодарность за увиденное, видимое и невидимое. Лисы духа дружелюбны и игривы, но требуют больше заботы, чем другие животные.",вернулся в вечные объятия Лудда.,graphics/pets/spiritfox.png,IndEvo_petHullmod
hampter,Хомяк,200,31,c_mammal,"IndEvo_pet_food, food, supplies",2,1,Это хомяк. Ненавидит искусственную гравитацию. Имеет привычку умирать в течение месяца.,HAMSTER_CAUSE_OF_DEATH,graphics/pets/hampter.png,IndEvo_petHullmod
