name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Штурмовая конверсия ПВО,swp_pdconversion,2,0.5,,"offensive, merc, standard","Weapons, Defenses",6000,,,,4,8,12,20,data.scripts.hullmods.SWP_PDConversion,"Преобразует все орудия точечной обороны в стандартные противокорабельные: они больше не наводятся на ракеты, не отдают приоритет истребителям и не получают специфические бонусы или штрафы ПВО. Увеличивает стоимость ПВО-орудий в очках вооружения на %s/%s/%s в зависимости от размера.

Кроме того, дальность всех бывших ПВО-орудий увеличивается на %s, и они наносят на %s больше урона всем целям, а также получают дополнительную силу попадания %s при расчете снижения урона броней.

Несовместимо с Интегрированным ИИ ПВО.","Убирает поведение ПВО у всех ПВО-орудий; повышает стоимость ПВО-орудий в ОВ; увеличивает дальность, урон и силу попадания ПВО-орудий.",Увеличивает урон всего оружия на %s.,graphics/swp/hullmods/swp_pdassault.png
Экстремальные модификации,swp_extrememods,3,0.2,,"special, no_build_in, merc, standard",Special,10000,,,,0,0,0,0,data.scripts.hullmods.SWP_ExtremeModifications,"Позволяет установить %s, но вызывает вероятность %s сбоев вооружения в бою. Сбои автофабрик истребителей увеличивают время переоснащения авиакрыла на %s.

Если боеготовность падает ниже %s, начнут происходить сбои двигателей и критические неисправности.

Становится постоянным, если достигнут лимит встроенных модификаций корпуса. Нельзя устанавливать на гражданские корабли или корабли с Повышенной эффективностью.",Позволяет встроить еще одну модификацию корпуса. Вызывает неисправности. Увеличивает время переоснащения.,,graphics/swp/hullmods/swp_driveshunt.png
,,,,,,,,,,,,,,,,,,,
Экспериментальный реактор,swp_excelsiorreactor,,,,codex_require_related,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_ExcelsiorReactor,"Сокращает время перегрузки на %s, но корабль получает сильный урон во время перегрузки. Увеличивает скорость рассеивания нагрузки на %s.

Повреждает ближайшие корабли при сбросе нагрузки; масштаб разрушений зависит от общей скорости рассеивания.

Реактор способен отводить энергию в p-пространство, обеспечивая %s сопротивления ЭМИ и рассеивая %s лучевого урона. При рассеивании лучевого урона корабль получает жёсткую нагрузку.","Сокращает время перегрузки, увеличивает скорость рассеивания и делает сброс нагрузки опасным. Снижает ЭМИ- и лучевой урон, но дает жёсткую нагрузку. Корабль получает урон во время перегрузки.",,graphics/hullmods/omni_shield_emitter.png
Фазовый привод,swp_phasedrive,,,,codex_require_related,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_PhaseDrive,"Этот корабль прорывается в p-пространство, используя утраченные человечеством технологии. Активирует настроенные на p-пространство наномашины, которые ремонтируют корабль в фазе. В отличие от обычных фазовых систем, Фазовый привод расходует поток и сильно увеличивает скорость корабля при высоком уровне нагрузки.

Также снижает перезарядку фазового плаща на %s.",Фазирование стало странным.,,graphics/hullmods/phase_coils_experimental.png
Гекс-щит,swp_hexshield,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_HexShield,Щит разворачивается почти мгновенно. При достижении 100%% жёсткой нагрузки корабль не перегружается; вместо этого щитовая система отключается на %s секунд.,"Мгновенное разворачивание щита, вместо перегрузки щит временно отключается.",,graphics/hullmods/omni_shield_emitter.png
Ядро Элиона,swp_elyon,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_ElyonCore,"Увеличивает ёмкость нагрузки корабля на величину, равную %s от полученного, но еще не отремонтированного урона корпуса.

Также увеличивает прочность корпуса корабля на %s.",Увеличивает ёмкость нагрузки пропорционально полученному урону. Повышает прочность корпуса.,,graphics/swp/hullmods/swp_elyon.png
Ядро Элиона,swp_elyon_boss,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_ElyonCoreBoss,Сильно повышает характеристики корабля соразмерно силе противостоящего ему врага.,Сильно повышает характеристики корабля соразмерно силе противостоящего ему врага.,,graphics/swp/hullmods/swp_elyon.png
Заблокирован,swp_locked,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_Locked,"Этот корабль заблокирован встроенными аварийными протоколами, оставившими только самые базовые функции, необходимые для сохранения летной годности.

Все системы управления тщательно перепутаны и зашифрованы. Даже Альфа-ядру было бы крайне трудно вернуть этому кораблю боевой потенциал.",БГ не будет!,,graphics/icons/intel/damage.png
Массивный корпус,swp_massivehull,,,,codex_require_related,,,,TRUE,,0,0,0,0,data.scripts.hullmods.SWP_MassiveHull,"Этот корабль чрезвычайно велик, что дает и более широкий набор сенсоров, и заметный сенсорный профиль. Увеличивает мощность сенсоров и сенсорный профиль на %s.",Увеличивает мощность и профиль сенсоров.,,graphics/hullmods/vast_bulk.png
Связанный корпус,swp_linkedhull,,,,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.SWP_LinkedHull,Отражает некоторые параметры между родительским и дочерним корпусами.,,,graphics/hullmods/vast_bulk.png
