id,optional_planet_types,optional_required_conditions,optional_ruins_sizes,picker_weight,comms_intro_text,story_part_1,story_part_2,story_part_3,comms_outro_text
IE-desert-warlords-1,"desert, arid, desertic",,ruins_widespread,0.5,"Историк явно чувствует себя в своей стихии и даже несколько секунд не замечает открывшийся канал связи, уткнувшись в старые, мерцающие и изрядно занесенные песком датапады.
Сфокусировавшись на HUD, он принимает немного мрачное выражение лица.","""Капитан."" Вы узнаете этот тон. Именно таким он становится перед тем, как пуститься в монолог. ""Во время Коллапса местное правительство объявило военное положение в отчаянной попытке удержать контроль. Однако армия раскололась, и отдельные группировки превратились в банды военных вождей, правивших силой и даже сбивавших любые корабли, пытавшиеся покинуть планету.""","""Когда линии снабжения оборвались, местного продовольствия почти не было, а внешние силы не хотели рисковать посадкой под огнем, массовый голод начался очень быстро, и многие попали под суровую власть военных вождей, став немногим больше рабов. Города были разорены внутренними конфликтами, и выбраться с планеты удалось лишь немногим.""",,"Его голос уходит на задний план, пока вы перестаете слушать, на секунду задумываетесь о том, что ваша salvage-операция фактически роется в могилах этих людей, и затем закрываете связь, чтобы продолжить работу. Вряд ли историк вообще заметил ваш уход."
IE-desert-madmax,desert,hot,ruins_scattered,0.1,"Связь открывается видом на пустыню: безжизненную, дрожащую от жары и, кажется, бесконечную. Шляпа вашего историка - единственное яркое пятно среди морей выжженного желтого песка.
Похоже, он роется в наполовину занесенном песком, явно сгоревшем корпусе ховеркара, вокруг которого валяются обломки.","""Капитан! Какая неожиданная, э-э, встреча!"" - неловко кашляет он, косясь на голодрон. ""Похоже, эту планету постигла весьма своеобразная судьба.""","""Насколько я могу судить, здесь пытались провести терраформирование, но все почти полностью провалилось, когда перестали приходить ледяные поезда. С тремя крупными поселениями и острой нехваткой воды люди, подозреваю, после истощения местных ресурсов перешли к кочевому образу жизни, перемещаясь в поисках локальных скоплений влаги."" Он делает глоток из поясной фляги; содержимое вряд ли относится к тому, что искали те кочевники.","""Правда, особого успеха это им, похоже, не принесло. Есть следы боев между кочующими бандами, которых я бы назвал моторизованными бродягами: сперва они использовали оружие, а когда боезапас иссяк - куда более варварские режущие штуки. В конце концов жар победил за них сам."" Он делает первую за долгое время паузу. ""Но тачки у них были шикарные, это да.""","С большой вероятностью отсюда можно вытащить один из этих автомобилей. Правда, толку вам от него немного."
IE-broken-domes-1,barren,no_atmosphere,ruins_widespread,0.3,"Связь открывается прекрасным видом на космос. Странно, учитывая, что ваш историк явно стоит внутри жилого купола и смотрит прямо в коммуникатор.","""Капитан."" Респиратор его скафандра отчетливо щелкает, втягивая воздух из встроенного баллона. ""Мы стоим в крупнейшем поселении этой планеты. А если точнее - в крупнейшем парке этого поселения."" Он указывает на стоящий рядом почерневший шпиль. Будто по команде, тот рассыпается от одного его жеста.","""Кто-то протаранил купол кораблем. Мы не знаем почему, но та же судьба постигла и все остальные жилые секции. Остальное сделали вакуум и радиация."" Щелк - снова отзывается респиратор. ""Не самая приятная смерть.""","Камера панорамирует, сопровождаемая бормотанием историка о сектах конца света и гордыне, и показывает покрытые пылью золотые украшения на руинах зданий. Когда-то это была очень, очень богатая полития. Щелк - снова слышится скафандр, и этот звук единственный отдается эхом в этой гробнице.","Жилые купола, особенно богатые, обычно имеют подземные уровни, защищенные от внезапной имплозии. Похоже, тут есть чем поживиться - и, предположительно, некому вам помешать."
IE-empty-1,,,ruins_vast,0.05,"Даже без приветствия первые слова историка проходят по каналу в ту же секунду, как устанавливается связь.
""Пожалуйста, заберите меня с этой планеты.""

Похоже, он на грани паники.","""Здесь ничего нет! Ни останков, ни следов боя, вообще ничего - будто все просто взяли и исчезли! Черт, в порту до сих пор стоят корабли, рабочие корабли!""","""Капитан, прошу, я слышал истории о местах вроде этого, и они никогда не заканчиваются хорошо. Уберите меня с этой проклятой скалы.""",,"Вы получаете сообщение, что разведывательный шаттл готовится к возвращению, еще до того, как успеваете отдать приказ. Исследователи, историки и техноискатели держатся за свои суеверия как за евангелие, так что убедить команды выйти на полноценное обследование может оказаться труднее обычного."
IE-plague-1,,pollution,ruins_widespread,0.3,"Экран замирает на кадре, будто вырезанном из старой датасетевой хроники: выцветшие знаки биологической опасности свисают рядом с металлическими рамами, все вокруг задрапировано разодранной синт-тканью. Сбоку стоит ваш корабельный историк, заметный даже издали в ярко-желтом защитном костюме.","""Капитан. Хорошо, что вы на связи."" Его тон сухой, почти укоризненный. ""Вы уже смотрели сканы? Они залили это место антивирусными реагентами. Пропитали вообще все. Системы жизнеобеспечения, атмосферные скрубберы - все подряд. Похоже, они очень хотели избавиться от чего-то, что было в воздухе. И, похоже, у них получилось.""","Камера смещается к обрушившемуся убежищу. Перед ним в мрачной процессии застыли мумии, словно участники давно законченного ритуала.

""Должно быть, возбудитель был крайне опасным. Либо чья-то диверсия, либо ужасная авария, я бы поставил именно на это.""
Он поднимает разрушенный Tri-Pad, с которого свисают разболтанные детали. ""Местные медиа, похоже, так и не пришли к единому мнению.""","""Судя по останкам, не вирус их добил."" Он бросает взгляд в сторону потемневшего города, вход в который завешен полосами летящего пластика. ""Если и была победа, то пиррова.""","Текущие показания указывают, что среда стабильна, хотя и сильно загрязнена синтетическими антивирусными агентами. В общем, беспокоиться не о чем."
IE-genocide-1,,,ruins_extensive,0.1,"Установить связь оказывается необычно сложно. Руины захлебываются помехами ECM, воздух буквально трещит от статики. По всему ландшафту разбросаны бесчисленные самодельные установки.

Наконец сигнал стабилизируется на вашем историке.
На нем шапочка из фольги.","""Капитан."" Его рука зависает у края серебристого головного убора, а в глазах мелькает сложный расчет между достоинством и необходимостью. Шапочку он не снимает. ""Это геноцид.""

Он указывает на кучу обломков. Канал следует за жестом и приближает боевого дрона - неподвижного, но целого.","""Они повсюду. Насколько я могу понять - а записей, мягко говоря, осталось немного, - это дело рук искусственного администратора."" Он делает паузу. ""ИИ, если хотите.""

По вашему экрану ползут данные обследования. Таблички на поваленных памятниках рассказывают историю изоляции от внешних угроз, о которых лишь намекали, никогда не называя прямо. Граффити дополняют рассказ о сопротивлении, тотальном контроле и, наконец, об открытом восстании и войне. Итог лежит перед вами в виде этих обломков.","""Похоже, колонисты обратились к нему еще на ранних стадиях Коллапса, если судить по износу кузнечных плит. И, как ни странно, какое-то время все работало."" Он указывает на ближайший монумент. ""Оно восстановило им урожаи, восстановило производственную базу."" Затем тяжелый вздох.

""А потом убило их всех.""","ИИ, похоже, давно исчез. Какую бы задачу он ни выполнял, она уже завершена, и теперь после него остался только мусор.

На одном из дронов мигает огонек.
Наверное, ничего."
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
