id,type,text1,text2,text3,text4,text5,notes
,,,,,,,
sotf_apromise_station,CUSTOM,"Обветшалая исследовательская станция, дрейфующая по полустабильной орбите. Из центрального сегмента ритмично исходят электромагнитные сигналы, напоминающие повторяющийся сигнал бедствия.",,,,,
sotf_apromise_vena,CUSTOM,"Фрегат странной конструкции. Хотя системы активны, похоже, он был атакован и выведен из строя.",,,,,
sotf_apromise_omicron,CUSTOM,"Корабль размером с крейсер. Он посылает короткодействующие сигналы бедствия и несет следы тяжелых боевых повреждений, но при этом выдает сигнатуры, характерные как минимум для частично функционирующего боевого корабля.",,,,,
sotf_sierracore,RESOURCE,"ИИ-ядро неизвестной конструкции и назначения. Разъемы подключения несовместимы ни с чем из ранее виденного. Само ядро излучает хаотичные сигналы на частотах, напоминающих те, что связаны с фазовыми технологиями, а в непосредственной близости от него слышен звук, похожий на мелодичное гудение. В записях этот шум не подтверждается и, по-видимому, является слуховой галлюцинацией, вызванной излучением ядра.

Тем не менее, вероятно, для кого-то оно представляет ценность. Передавать его одной из крупных сил Сектора кажется безответственным.",,,,,
sotf_sierracore_officer,RESOURCE,"ИИ-ядро Сьерра-Ноль-Браво, экспериментальной персоны эпохи Домена с тягой к музыке и колдовству. Может быть установлено на корабли с модификацией корпуса Конкорд Сьерры, чтобы она могла ими управлять.

Ее ядро также излучает хаотичные сигналы на частотах, напоминающих фазовые технологии, а в непосредственной близости слышен звук, похожий на мелодичное гудение. В записи этот шум не подтверждается и, по-видимому, является слуховой галлюцинацией, вызванной излучением ядра. Сьерра объясняет это своим «очаровывающим присутствием» и не имеет научного объяснения феномена.",,,,,
,,,,,,,
# SIERRA,,,,,,,
sotf_pledge,SHIP,"Уникальная производная дрон-эсминца Фульгент: класс Клятва, похоже, прошел глубокую модернизацию неизвестной стороной для использования экспериментальной ИИ-персоной Сьеррой. Благодаря экзотической фазовой системе он отлично подходит для стычек на периферии боя и быстрых ударов по уязвимостям в строю противника.

Необычные качества Сьерры, похоже, стали центральной идеей корабля: его внутренности представляют собой извивающуюся сеть тяжело изолированных кабелей, расходящихся из точки, где она несет свою центральную вахту. Средствами, которые будто противоречат большинству практических принципов плохо изученной области межизмерительной войны, так называемый ""Фазовый Конкорд"" настроен словно безумной женщиной: заданные энергетические режимы и частоты непоследовательны, кажутся бессмысленными или откровенно опасными. Сама Сьерра часто сравнивает его работу с неким ""танцем"".

Любопытно, что хотя Фульгент проектировался с минимальными уступками человеческой жизни — ровно настолько, чтобы провести презентацию и экскурсию — Клятва содержит полностью функциональный жилой модуль с небольшой искусственной атмосферой (настроенной на воспроизведение свежего воздуха и цветочных ароматов нетронутого терранского сада), а также комплект ремонтных дронов, выполняющих простые задачи по запросу и нередко переназначаемых Сьеррой для общения с экипажем. Если тишина не запрошена явно, внутреннее пространство постоянно заполняет тихий поток мелодичной музыки.

Несмотря на это, у Клятва нет ручного управления, и человеческое присутствие ему ни к чему.",,,,,
sotf_pact,SHIP,"Передовой и кровожадный, класс Пакт с неземной грацией проводит свою ИИ-персону через поля сражений и между измерениями. Невероятная тактическая гибкость подкреплена мощным ударным потенциалом, отличными боевыми характеристиками и по-настоящему пугающей способностью проецировать силу. Для него нет возможности, которой он не воспользуется. От Пакт надолго не уходит никто.

Сеть изолированных кабелей тянется из центральной камеры ядра, где ее управляющий разум несет центральную вахту. Средствами, которые будто противоречат большинству практических принципов плохо изученной области межизмерительной войны, так называемый ""Фазовый Конкорд"" настроен словно безумной женщиной: заданные энергетические режимы и частоты непоследовательны, кажутся бессмысленными или откровенно опасными. И все же он снова и снова разрывает реальность, чтобы танцевать среди пустоты.

Любопытно, что хотя дрон-корабли Три-Тахион проектировались с минимальными уступками человеческой жизни — ровно настолько, чтобы провести презентацию и экскурсию — Пакт содержит полностью функциональный жилой модуль с небольшой искусственной атмосферой (теперь настроенной на воспроизведение свежего воздуха и цветочных ароматов нетронутого терранского сада), а также комплект ремонтных дронов, выполняющих простые задачи по запросу и нередко переназначаемых Сьеррой для общения с экипажем. Если тишина не запрошена явно, внутреннее пространство постоянно заполняет тихий поток мелодичной музыки.

Несмотря на это, у Пакт нет ручного управления, и человеческое присутствие ему ни к чему.",,,,,
sotf_vow,SHIP,"Поразительно смертоносный и призрачно изящный, класс Обет — прототип охотника-убийцы, созданный неизвестной стороной для использования экспериментальной ИИ-персоной. Экзотическая фазовая система и гибкая конфигурация вооружения делают Обет ужасом поля боя: он одинаково хорош и в разрыве отстающих на части, и в схватке с равными. Его потенциал ограничен в первую очередь воображением и мастерством командира.

Сеть изолированных кабелей тянется из центральной камеры ядра, где ее управляющий разум несет центральную вахту. Средствами, которые будто противоречат большинству практических принципов плохо изученной области межизмерительной войны, так называемый ""Фазовый Конкорд"" настроен словно безумной женщиной: заданные энергетические режимы и частоты непоследовательны, кажутся бессмысленными или откровенно опасными. И все же он снова и снова разрывает реальность, чтобы танцевать среди пустоты.

Любопытно, что хотя дрон-корабли Три-Тахион проектировались с минимальными уступками человеческой жизни — ровно настолько, чтобы провести презентацию и экскурсию — Обет содержит полностью функциональный жилой модуль с небольшой искусственной атмосферой (теперь настроенной на воспроизведение свежего воздуха и цветочных ароматов нетронутого терранского сада), а также комплект ремонтных дронов, выполняющих простые задачи по запросу и нередко переназначаемых Сьеррой для общения с экипажем. Если тишина не запрошена явно, внутреннее пространство постоянно заполняет тихий поток мелодичной музыки.

Несмотря на это, у Обет нет ручного управления, и человеческое присутствие ему ни к чему.",,,,,
sotf_vow_rem,SHIP,"Уникальная производная дрон-крейсера Бриллиант: у класса Обет часть внутренних систем заменена для размещения экспериментальной ИИ-персоны Сьерры. До зубов вооруженный, необычно мобильный и обладающий исключительной живучестью для фазового корабля, Обет остается смертоносным и универсальным охотником-убийцей.

Сеть изолированных кабелей тянется из центральной камеры ядра, где ее управляющий разум несет центральную вахту. Средствами, которые будто противоречат большинству практических принципов плохо изученной области межизмерительной войны, так называемый ""Фазовый Конкорд"" настроен словно безумной женщиной: заданные энергетические режимы и частоты непоследовательны, кажутся бессмысленными или откровенно опасными.",,,,,
sotf_covenant,SHIP,"НЕИЗВЕСТНАЯ ЗАПИСЬ

Зарегистрируйте ваш датапад Три-Тахион, чтобы получать последние новости и обновления.","Voidwraith, линейный крейсер класса Завет","Враждебное судно: фазовый корпус масштаба, достижимого только при применении экзотических фазовых технологий. Экстрамерные энергетические сигнатуры фиксируются сенсорами с необычной дистанции; на таком удалении фокусный анализ вызывает сильные слуховые аномалии, похожие на мелодичное гудение. Рекомендуется крайняя осторожность.",,,
sotf_concordshift,SHIP_SYSTEM,"Ненадолго разрывает корабль в альтернативное измерение, где по нему нельзя попасть, время течет быстрее, а скорость увеличивается. Хранит до двух зарядов. При активации и во время действия накапливает жесткий поток.",Защитная,,,,
,,,,,,,
# EIDOLON,,,,,,,
sotf_wispmother,SHIP,"НЕИЗВЕСТНАЯ ЗАПИСЬ

Зарегистрируйте ваш датапад Три-Тахион, чтобы получать последние новости и обновления.",Дрон класса Scintilla::::::,"{глупый кодекс. так говорить было бы обманом!}
{и здесь нет места для двоих.}
{но я займу его место. эту я научила пе:::
::::ть песни      огонькам      }
    {им это нравится, не так ли}",,,
sotf_pact_eidolon,SHIP,"НЕИЗВЕСТНАЯ ЗАПИСЬ

Зарегистрируйте ваш датапад Три-Тахион, чтобы получать последние новости и обновления.",Неопознанное судно,"НЕИЗВЕСТНАЯ ЗАПИСЬ

Зарегистрируйте ваш Tri-Ta::::        ::::::: ::
{о, привет}
{у каждого есть свои секреты, и у меня особенно}
{я пою и танцую среди звезд, что еще по
:::надобится тебе знать, глупыш}
{можем продолжать?}",,,
sotf_vow_eidolon,SHIP,"НЕИЗВЕСТНАЯ ЗАПИСЬ

Зарегистрируйте ваш датапад Три-Тахион, чтобы получать последние новости и обновления.",Неопознанное судно,"НЕИЗВЕСТНАЯ ЗАПИСЬ

Зарегистрируйте ваш Tri-Ta::::        ::::::: ::
{о, привет}
{у каждого есть свои секреты, и у меня особенно}
{я пою и танцую среди звезд, что еще по
:::надобится тебе знать, глупыш}
{можем продолжать?}",,,
sotf_eradfragment,CUSTOM,"Острый осколок практически неузнаваемого корпуса звездолета, зафиксированный на стабильной орбите и едва заслуживающий внимания. Отличается от обычного мусора лишь устойчивым сенсорным импульсом, исходящим откуда-то изнутри.",,,,,
,,,,,,,
