bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
Xhan_goggergeck_bounty,30,spaceAdmiral,Zekor,Thexx,aggressive,The Emperors Will,Divine Gift,MALE,xhanempire,graphics/portraits/HVBP/Xhan_Zekor.png,"“Ещё один раб пришёл бросить вызов исполнителю воли Божественного Императора. Кому ты служишь? Устаревшим пережиткам старого Домейна? Ты раб материи? Или, быть может, раб страха. Ты боишься достижений человечества и нашего будущего...”

Zekor встаёт и начинает расхаживать, оставаясь в фокусе экрана. Отвернувшись, он замирает в контрапосте, подчёркивая своё гибкое, биотехнологически усиленное тело. Затем, повернувшись с почти театральной отточенностью, он снова смотрит в экран.

“Почему ты не подчиняешься? Я уничтожил бесчисленных рабов вроде тебя, готовых выбросить не только собственные жизни, но и всё будущее человека. Подчинись Божественному Императору — это единственный шанс, который у нас когда-либо будет. Мы должны бежать к прогрессу. Бежать достаточно быстро, чтобы, когда мы наконец прыгнем, взлететь и уже никогда не упасть. Если мы этого не сделаем, всё человечество падёт навсегда.”

Скрестив руки, он смотрит на раскрытую ладонь. Глядя на пальцы, медленно сжимающиеся в кулак, он кажется впечатлён собственным синтетическим телом. Через мгновение его глаза резко поднимаются к экрану, а лицо принимает мрачное выражение, словно его только что вырвали из приятной грёзы. 

“Да падёт на вас бесконечная милость Божественного Императора.”",FALSE,hegemony,800000,25,"Считается, что Zekor Thexx входит в личное окружение Божественного Императора. Это крайне опасный и высокопоставленный адмирал Xhan Empire. Он ведёт кампанию террора и подрывных действий против тех, кого объявили врагами Xhan Empire, без разбора атакуя как снабженческие, так и военные флоты. Он наносит быстрые и агрессивные удары, пытаясь причинить как можно больше ущерба перед отступлением. Дальние разведчики обнаружили одну из точек перегруппировки его флота; несомненно, он готовится ударить снова.

Ради блага сектора его кровавую кампанию необходимо остановить.",XHAN_Goggergeck_EmperorsConqueror,"XHAN_Pharrek_variant_EmperorsScalpel, XHAN_Pharrek_variant_EmperorsScalpel",300,1.2,1,,,FALSE,FALSE,206,30,1
Xhan_vukan_bounty,15,spaceAdmiral,Mendoza,Red,steady,The Cobra Sect,Object 881,MALE,pirates,graphics/portraits/HVBP/Xhan_Mendoza.png,"“Ты знаешь, сколько жизней я спас? Я грёбаный герой! Они хотят, чтобы я отдал этот корабль? МОЙ корабль? Только потому, что какой-то сукин сын родился в папочкиных деньгах, я должен лечь и лизать ему ноги, как собака?! Сколько я им уже стоил? Оно того, блядь, стоило?! Давай уже, наёмная задница, у меня не весь день!” ",FALSE,persean,180000,10,"Когда-то горячий пилот Persean League, Mendoza Red дезертировал после кражи экспериментального корабля, предназначенного как политический подарок для расположения влиятельного горнодобывающего магната. Теперь он возглавляет опасную банду преступников, дезертиров и политических диссидентов. Не удовлетворившись нападениями на плохо защищённые торговые флоты, он перешёл к вымогательству. Похоже, он намерен создать организованную военную силу. По наивности он вышел на незашифрованные каналы связи в поисках рекрутов. За его голову назначена награда, местоположение установлено, и дни этого террориста сочтены.",XHAN_Vukan_S_Hero,"XHAN_Vukan_Hunter, XHAN_Vukan_Executioner",110,1,1,,,FALSE,FALSE,206,8,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
