id,trigger,conditions,script,text,options,notes
# SC start blurb,,,,,,
TTSC_nex_NGCPickStartingShips,ExerelinNGCStep3,"$playerFaction == TTSC
!$TTSC_ChangeMind","AddText ""Членство в Special Circumstances возможно только по приглашению. Эта закрытость, вместе с часто морально неоднозначными или откровенно сомнительными методами, которые они иногда применяют, вызывает у обычных граждан Корвуса немало неприязни.""

AddText ""Вмешательства SC обычно принимают форму тайных операций, военных или иных, призванных усилить или ослабить фракции внутри менее развитых цивилизаций. Special Circumstances не всегда играет так же вежливо, как остальная корпорация. В их деятельности были замечены убийства, контрабанда незаконных товаров и оружия, манипуляции и шантаж.""

AddText ""Все корабли SC модифицированы для увеличения дальности, скорости поворота и урона лучевого оружия. Модификация корпуса от Commissioned Crews открывает доступ к подпрограммам, улучшающим сброс и рассеивание потока корабля.""
$TTSC_ChangeMind = true
",,,
,,,,,,
# SC fleet greeting lines,,,,,,
greetingSCFriendly,OpenCommLink,"$faction.id == TTSC
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Идентификация подтверждена. Примите приветствие от имени Компании.""
OR
""Прости, друг, это судно Special Circumstances выполняет засекреченную миссию. Яркого горения.""
OR
""Приветствие от имени корпорации Special Circumstances. Пожалуйста, изложите суть вашего запроса, чтобы мы могли помочь в удовлетворении ваших потребностей -- за разумную плату, разумеется.""
OR
""Связь открыта. О, у вас есть свежий каталог корпоративных аксессуаров для космополетов от Special Circumstances? Я немедленно попрошу представителя клиентской службы загрузить вам копию.""

Консоль вашего офицера связи подает сигнал.
OR
""Привет, я хотел бы добавить вас в свою профессиональную сеть на TriLink.""",,
greetingSCHostileWeaker,OpenCommLink,"$faction.id == TTSC
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Внимание. Ваше судно просканировано и идентифицировано как враждебное корпорации Special Circumstances. Дальнейшие попытки агрессии будут зафиксированы, а флот Special Circumstances уведомлен.""
OR
""Любая попытка помешать или повредить это судно, принадлежащее и эксплуатируемое Special Circumstances, повлечет юридические последствия."" Представитель Special Circumstances в ранге $personRank выглядит нервно. ""Поверьте, эти люди не шутят, вам правда стоит оставить меня в покое.""",cutCommLink:Разорвать связь,
greetingSCHostileWeakerDefiant,OpenCommLink,"$faction.id == TTSC
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"Представитель Special Circumstances в ранге $personRank выглядит мрачно, но держится вызывающе. ""Корпоративный регламент 313.33, раздел A, гласит, что боеспособные суда обязаны защищаться максимально решительно в любой момент, и похоже, вы в этом провалились,"" - говорит $heOrShe.",cutCommLink:Разорвать связь,
greetingSCHostileStronger,OpenCommLink,"$faction.id == TTSC
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Внимание. Ваше судно просканировано и идентифицировано как враждебное корпорации Special Circumstances. О вашем нарушении уже сообщено, готовьтесь.""
OR
""От имени корпорации Special Circumstances благодарю вас за возможность доказать превосходство нашей фирменной линейки космических оборонных продуктов.""
OR
""От имени корпорации Special Circumstances я обязан сообщить, что это столкновение будет записано. Как предполагаемый агрессор, уничтожающий полностью принадлежащую Компании собственность, вы автоматически отказываетесь от всех прав на распределение и долю прибыли."" Представитель Special Circumstances в ранге $personRank ухмыляется и обрывает связь.",cutCommLink:Разорвать связь,
greetingSCNeutral,OpenCommLink,"$faction.id ==  TTSC
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""От имени корпорации Special Circumstances с удовольствием сообщаю, что ваш $shipOrFleet просканирован, а его данные добавлены в базу Special Circumstances для дальнейшей оценки и сравнения. Пожалуйста, держите дистанцию и хорошего дня.""
OR
""Приветствие от имени корпорации Special Circumstances. Можете полюбоваться нашими кораблями, модифицированными Special Circumstances и оснащенными новейшими фирменными космическими оборонными продуктами, но, пожалуйста, соблюдайте безопасную дистанцию. Компания крайне серьезно относится к порче имущества.""
OR
Связь открывается вращающимся логотипом Special Circumstances.""Корпорация Special Circumstances ставит потребности каждого клиента и партнера по ценности в приоритет, однако все наши сервисные представители в данный момент-""

Вы обрываете связь. Похоже, разговаривать они сейчас не настроены.",,
,,,,,,
