name,id,tags,planetary,decivRemove,script,desc,icon,order
#Edicts,,,,,,,,
Эдикт: Принудительное переселение,IndEvo_edict_forced_reloc,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_ForcedRelocation,"Переселение населения на другие колонии может звучать слегка неэтично, но это один из самых эффективных способов быстро развить небольшую колонию.",graphics/icons/markets/edict.png,3000
Эдикт: Промышленные стимулы,IndEvo_edict_ind_incent,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Incentives,"Старая как мир формула: чтобы заработать, нужно сначала потратить.",graphics/icons/markets/edict.png,3000
Эдикт: Трудовые ограничения,IndEvo_edict_labour_rest,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_LabourRestrictions,Меньше работы - больше времени на собственные мечты. Но меньше работы - это и меньше дохода для вас.,graphics/icons/markets/edict.png,3000
Эдикт: Чистка субпопуляции,IndEvo_edict_cleanse,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Cleanse,"Устранение нежелательных элементов на планете - мрачная работа. И она становится куда сложнее, если из-за урбанизации нельзя решить вопрос стратегическими мерами.",graphics/icons/markets/edict.png,3000
Эдикт: Военное положение,IndEvo_edict_lockdown,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Lockdown,"Воинский призыв, мобилизация военно-промышленного комплекса и полная планетарная изоляция могут резко повысить обороноспособность мира - но за это придется заплатить.",graphics/icons/markets/edict.png,3000
Эдикт: Таможенный контроль,IndEvo_edict_customs,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Customs,"Направив весь системный трафик через один политический центр, можно сделать несколько людей очень, очень богатыми, пока остальным планетам придется за это расплачиваться.",graphics/icons/markets/edict.png,3000
Эдикт: Принудительный труд,IndEvo_edict_conscription,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Conscription,"Реалии Сектора не оставляют места для таких мелочей, как права человека, а принудительная рабочая сила обходится дешево. Ваше население, скорее всего, думает иначе.",graphics/icons/markets/edict.png,3000
Эдикт: Жесткие сроки,IndEvo_edict_deadlines,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Deadlines,"Чрезмерно короткие сроки строительства кораблей повышают выпуск продукции, но также увеличивают текучку кадров, аварийность и проблемы качества.",graphics/icons/markets/edict.png,3000
Эдикт: Строгий контроль качества,IndEvo_edict_clearances,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_Clearances,"Смещение акцента на качество вместо количества в кораблестроении даст меньше, но лучше корпуса - роскошь, которую может позволить себе не каждая фракция.",graphics/icons/markets/edict.png,3000
Эдикт: Политика одного ребенка,IndEvo_edict_lockColonySize,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_LockColonySize,"Рост полезен не всегда: чтобы оставаться менее заметными, меньшая численность населения иногда эффективнее большой.",graphics/icons/markets/edict.png,3000
Эдикт: Торговые стимулы,IndEvo_edict_open_market,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_OpenMarket,"Покупайте и продавайте все, что душе угодно! Разрешение независимым торговцам выставлять товары в выделенных зонах без дополнительной инфраструктуры почти не влияет на доход колонии, но позволяет закупаться у них.",graphics/icons/markets/edict.png,3000
Эдикт: Обязательные переработки,IndEvo_edict_fastBuild,show_in_codex,,TRUE,indevo.industries.senate.conditions.Edict_FastBuild,"Установив 16-часовой рабочий день и изымая рабочую силу из неключевых отраслей, можно ускорить строительство до невероятного уровня. Правда, на что-то еще ресурсов почти не останется.",graphics/icons/markets/edict.png,3000
,,,,,,,,
#Conditions,,,,,,,,
Беззаконная субпопуляция,IndEvo_pirate_subpop,,,TRUE,indevo.industries.privateer.conditions.PirateSubpopulationCondition,"Значительную часть населения этой планеты составляют действующие и бывшие пираты, головорезы, «независимые» группы, не подчиняющиеся местным правилам, и беглецы, привлеченные льготными условиями жизни при каперской лицензии.

Хорошие отношения с наиболее сомнительными фракциями Сектора могут сильно помочь этой колонии - пока на планете присутствует Каперская база.",graphics/icons/markets/pirate_subpop.png,130
Промышленные руины,IndEvo_RuinsCondition,"show_in_codex, codex_unlockable, planet_search",,,indevo.industries.derelicts.conditions.RuinsCondition,"На $market обнаружены старые сооружения неизвестного назначения и происхождения. Механизмы в основном целы и заметно превосходят уровень, которого постколлапсный Сектор способен достичь.",graphics/icons/markets/indRuins.png,10
Орбитальный парад,IndEvo_Parade,show_in_codex,,TRUE,indevo.industries.museum.conditions.MuseumParadeCondition,"Над $marketName держится парадный флот, чьи инверсионные следы ловят свет. Дети показывают в небо; другие молча смотрят, взвешивая цену билета против месячного заработка. Вид зрелища привлекает путешественников даже из далеких портов. Это одновременно демонстрация силы и выверенная реклама богатства.",graphics/icons/markets/paradeCondition.png,5.1
Самовоспроизводящееся минное поле,IndEvo_mineFieldCondition,"show_in_codex, codex_unlockable, planet_search",,,indevo.exploration.minefields.conditions.MineFieldCondition,"Старое автономное самовоспроизводящееся минное поле окружает эту планету. Несмотря на возраст, мины продолжают восполняться и остаются полностью боеспособными. Внутренний IFF, по-видимому, привязан к политии, контролирующей планету.",graphics/icons/markets/mineCondition.png,140
Артиллерийская станция Доминиона,IndEvo_ArtilleryStationCondition,"show_in_codex, codex_unlockable, planet_search",,,indevo.industries.artillery.conditions.ArtilleryStationCondition,Над этой планетой нависает оружейная платформа эпохи Доминиона.,graphics/icons/markets/artyCondition.png,140
#Engineered Plague,IndEvo_engineered_plague,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$marketName заражён искусственно созданной чрезвычайно вирулентной чумой. Для всех жителей и экспортируемых товаров требуются масштабные процедуры обеззараживания, что значительно повышает эксплуатационные расходы.",graphics/icons/markets/xenoplague.png,21
,,,,,,,,
#Technical Conditions,,,,,,,,
