id,trigger,conditions,script,text,options,notes
#RULESET_NAME PAGSM,,,,,,
,,,,,,
# relationship level descriptions,,,,,,
,,,,,,
# commissioned rel,,,,,,
,,,,,,
# sindrian comm rel,,,,,,
relLevelNeutralFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee sindrian_diktat",FireAll RelLevelMoreDescription,"Хотя Sindrian Fuel Company все еще считает вас сотрудником, ваш контракт держится на тонкой нитке. Продолжите в том же духе и снова будете стоять в бесконечных очередях к топливным колонкам.",,
relLevelFavorableFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee sindrian_diktat",FireAll RelLevelMoreDescription,"Как сотрудник Sindrian Fuel Company, вы обязаны поддерживать ценности Верховного Главнокомандующего Президента Исполнительного Директора АЗС и всей Компании. В качестве бонуса вам теперь разрешено обходить большую часть очередей на заправке.",,
relLevelWelcomingFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee sindrian_diktat",FireAll RelLevelMoreDescription,"Ваша добросовестная служба в Sindrian Fuel Company привлекла к вам внимание: коллеги чаще обращаются за помощью, а начальство дает вам дополнительный приоритет в клиентских очередях.",,
relLevelFriendlyFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee sindrian_diktat",FireAll RelLevelMoreDescription,"Сделав себе имя в Sindrian Fuel Company, вы заинтересовали Совет по рекламе и маркетингу: вас просят продвигать образ идеального сотрудника. Пусть за такие появления платят не всегда, но как минимум ваше обслуживание при заправке заметно ускорилось.",,
relLevelCooperativeFuelComm,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee sindrian_diktat",FireAll RelLevelMoreDescription,"Многие называют себя лучшими работниками Sindrian Fuel Company, но именно вы, капитан $playerName, по праву тянете на звание Сотрудника месяца. Продолжайте служить Компании и вскоре это звание может закрепиться за вами надолго.",,
#END sindrian comm rel,,,,,,
,,,,,,
# hegemony comm rel,,,,,,
relLevelVengefulFuelheg,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Как мерзкий пособник Nachiketa Fuel Traders, Incorporated и их гегемонийских прихвостней, вы заняли особое место бесчестья в анналах истории Sindrian Fuel. В вопросах топлива вы считаетесь абсолютным преступником, и вряд ли вам когда-либо дадут пощаду.",,
relLevelHostileFuelheg,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Встав на сторону Nachiketa Fuel Traders, Incorporated против Sindrian Fuel Company, вы нажили себе серьезных врагов. На снисхождение в случае поражения рассчитывать не стоит, так что надейтесь, что ваш не-синдрийский анти-материйный суррогат вас не подведет.",,
relLevelInhospitableFuelheg,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Из-за обострения отношений между Sindrian Fuel Company и Nachiketa Fuel Traders для вас действует эмбарго на топливо в Askonia и на других лояльных Компании рынках. Ситуация еще может улучшиться или ухудшиться, но пока синдрийское топливо вам почти недоступно.",,
relLevelSuspiciousFuelheg,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == sindrian_diktat score:2000
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Напряжение между Nachiketa Fuel Traders и их покровителями из Гегемонии с одной стороны и Sindrian Fuel Company с другой быстро растет. Вы сделали ставку против главного соперника Компании, так что ждите грубого обращения при любой встрече.",,
relLevelNeutralFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Пока что отношения между Nachiketa Fuel Traders, Incorporated и Sindrian Fuel Company напряженные, но еще не скатились в открытую вражду. Askonia для вас открыта, однако обе топливные корпорации агрессивно охраняют свои интересы.",,
relLevelFavorableFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Между Nachiketa Fuel Traders, Incorporated и Sindrian Fuel Company наступил редкий период затишья. Обе стороны больше заняты собственным производством, чем взаимным подрывом, поэтому заправочная инфраструктура Askonia пока работает без лишних потрясений.",,
relLevelWelcomingFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee hegemony",FireAll RelLevelMoreDescription,"От простой терпимости стороны перешли к потеплению отношений: Nachiketa Fuel Traders, Incorporated и Sindrian Fuel Company открыли официальные каналы для улучшения потока торговли анти-материйным топливом по мирам ядра.",,
relLevelFriendlyFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Сотрудничество между Nachiketa Fuel Traders, Incorporated и Sindrian Fuel Company начинает приносить плоды. Обе структуры обсуждают общий стандарт производства и экспорта топлива по всему Персеанскому сектору.",,
relLevelCooperativeFuelheg,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee hegemony",FireAll RelLevelMoreDescription,"Сотрудничество между Nachiketa Fuel Traders, Incorporated и Sindrian Fuel Company достигло исторического максимума. Хотя Гегемония сохраняет прежнюю линию в отношении Компании, даже самые упертые критики вынуждены признавать, что ветер перемен уже дует.",,
#END hegemony comm rel,,,,,,
,,,,,,
# persean league comm rel,,,,,,
relLevelVengefulFuelleague,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000
sfcemployee persean",FireAll RelLevelMoreDescription,"Sindrian Fuel Company официально объявила Persean League провалившейся организацией, управляемой мелкими олигархами Казерона. По всему сектору идут трансляции о намерении Компании однажды сместить старую элиту и принести мирам Лиги истинную топливную справедливость.",,
relLevelHostileFuelleague,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000
sfcemployee persean",FireAll RelLevelMoreDescription,"Между Sindrian Fuel Company и Persean League официально действует состояние войны. Ссылаясь на плохое обращение с сотрудниками и отказ признать превосходство синдрийского топлива, Компания заявляет, что война закончится только после «исправления курса» Лиги.",,
relLevelInhospitableFuelleague,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == sindrian_diktat score:2000
sfcemployee persean",FireAll RelLevelMoreDescription,"Официально Sindrian Fuel Company заявляет, что Persean League закрыла свои порты для торговли с Компанией, и винит Лигу в отказе отказаться от «низкосортных» брендов топлива. Перехваченные передачи рисуют иную картину, но факт остается: отношения сильно испорчены.",,
relLevelSuspiciousFuelleague,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == sindrian_diktat score:2000
sfcemployee persean",FireAll RelLevelMoreDescription,"Хотя Sindrian Fuel Company и Persean League сохраняют официальные дипломатические каналы, напряженность между ними подтачивает остатки доверия. Представители Компании и торговцы Лиги регулярно сталкиваются на почве топливных брендов и тарифов.",,
relLevelNeutralFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == NEUTRAL
sfcemployee persean",FireAll RelLevelMoreDescription,"Sindrian Fuel Company видит в Persean League в первую очередь крупного клиента на анти-материйное топливо. Несмотря на раздражение из-за закупок альтернативных брендов, обе стороны держат отношения строго деловыми и избегают резких шагов.",,
relLevelFavorableFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FAVORABLE
sfcemployee persean",FireAll RelLevelMoreDescription,"Sindrian Fuel Company оценивает рабочие отношения с Persean League чуть выше среднего уровня с другими клиентами. Это не меняет всю картину, но Компания явно заинтересована в сохранении стабильных торговых каналов.",,
relLevelWelcomingFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == WELCOMING
sfcemployee persean",FireAll RelLevelMoreDescription,"Благодаря устойчивой торговле топливом Sindrian Fuel Company считает отношения с Persean League перспективными для дальнейшего развития. Конвои продолжают снабжать Лигу качественным анти-материйным топливом как для гражданских, так и для военных нужд.",,
relLevelFriendlyFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == FRIENDLY
sfcemployee persean",FireAll RelLevelMoreDescription,Сотрудничество между Sindrian Fuel Company и Persean League оформилось в более плотные торговые соглашения: Лига получает более выгодные условия и более надежный поток топлива.,,
relLevelCooperativeFuelleague,RelationshipLevelDesc,"$faction.id == sindrian_diktat score:2000
$faction.rel == COOPERATIVE
sfcemployee persean",FireAll RelLevelMoreDescription,"Sindrian Fuel Company считает Persean League и важнейшим торговым партнером, и сильным союзником. Лига получает выделенную сеть поставок топлива по конкурентным ценам, а Компания принимает множество ее делегаций для укрепления сотрудничества.",,
#END persean league comm rel,,,,,,
,,,,,,
# uaf comm rel,,,,,,
relLevelVengefulFueluaf,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == sindrian_diktat score:2000
sfcemployee uaf",FireAll RelLevelMoreDescription,"Проклятие на тебя.

Чужак издалека.

Пусть смерть станет твоим концом.",,
relLevelHostileFueluaf,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == sindrian_diktat score:2000
sfcemployee uaf",FireAll RelLevelMoreDescription,"Sindrian Fuel Company относится к United Auroran Federation с явным презрением, а ее патрули готовы в любой момент перейти к силовым действиям. Перехваченные передачи из мира ядра показывают постоянную информационную кампанию Компании против ауроранцев.",,
relLevelInhospitableFueluaf,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == sindrian_diktat score:2000
sfcemployee uaf",FireAll RelLevelMoreDescription,"Отношения между Sindrian Fuel Company и United Auroran Federation остаются холодными: ауроранские флоты, подошедшие слишком близко к Askonia, регулярно сталкиваются с давлением патрулей Компании. Открытой войны пока нет, но одна искра может ее начать.",,
