id,type,text1,text2,text3,notes
CFT_arethusa,SHIP,"Класс «Аретуза» был спроектирован так, чтобы соответствовать маршевой скорости авианосцев и других средних и крупных боевых кораблей, сокращая время на пополнение запасов. В том же направлении пошли дальше: в корпус встроили систему salvage-работ, добывающие дроны и крупный импульсный горнодобывающий лазер, помогающие пополнять боекомплект, припасы и топливо. Корабль достаточно прочен для развертывания в боевой обстановке и оснащен оперативным центром на случай, когда положение становится тяжелым и требуется более прямой контроль поддержки.",Боевая поддержка,,
CFT_astera,SHIP,"Понимая, что «Слуп» — это катастрофа, которая только ждет своего часа, руководство CFT настояло на разработке нового танкера, выполняющего схожую роль, но взрывающегося заметно реже. Нормальная постройка корабля подняла стоимость материалов почти втрое по сравнению со «Слупом», хотя запас топлива тоже вырос. Несмотря на все старания маркетинговых бюро, внедрение «Астреи» идет медленнее, чем ожидалось.",Боевой танкер,,
CFT_astrolabe,SHIP,"Специально построен боевыми инженерами Картера для поддержки флотов Вольных Торговцев, работающих в суровых и удаленных районах. «Астролябия» несет комплект разведывательного оборудования, сенсоры высокого разрешения и модульный дрон-отсек для четырех дистанционно управляемых эскадрилий. Хотя у него нет малых турелей и креплений полноценного боевого корабля, гибкая конфигурация и щедрый логистический пакет делают его желанным пополнением для любого флота, действующего на дальних рубежах сектора.",Разведывательный крейсер поддержки,,
CFT_barkentine,SHIP,"Основа флотов быстрого реагирования в пространстве CFT, «Баркентин» обычно используется как корабль противоракетной обороны. Два истребительных отсека и разогнанная LPC-кузница дают изобретательным капитанам больше оперативной гибкости, чем можно было ожидать. Экипажи часто привязываются к своему PD-дрону «Баркентин», дают ему имя и считают неофициальным талисманом флота. Не оскорбляйте его боевую эффективность, если они могут это услышать.",Легкий авианосец,,
CFT_barque,SHIP,"Одна из старейших конструкций Вольных Торговцев, все еще находящихся в эксплуатации. Ходят слухи, что сам Картер зашифровал тайное сообщение в ее проектной документации. Для постройки требуется по одному экземпляру двух самых распространенных заброшенных корпусов Персейского сектора: «Апогея» и «Молота». Нос «Апогея» соединяют с кормой «Молота», после чего корабль считается готовым после небольшого контроля качества. Что делают с оставшимися половинами обоих кораблей, остается предметом множества догадок. Для своих размеров довольно маневренен.",Эсминец,,
CFT_bawley,SHIP,"Малоизвестная сторона конвейера CFT по разделке wreck-кораблей — программный salvage. Код для управления их кораблями так же трудно собрать, как и сами корпуса: все, что можно выдрать из банков данных обломков Пенгерсика, копируется и используется заново. В единственном известном случае, когда заброшенный «Ревенант» вошел в гравитационный колодец, был обнаружен массив ИИ дельта-уровня, бесцельно генерирующий электрические разряды. Для проверки назначения этой системы был заказан экспериментальный корабль, и хотя результат оказался значительно ниже ожиданий, «Баули» нашел себе роль дешевого корабля подавления и ПВО.",Логистический фрегат,,
CFT_bolster,SHIP,"С самого киля спроектирован как специализированный корпус для salvage-работ и добычи. В военных флотах «Болстер» используют все чаще благодаря продвинутым сенсорам и возможностям послебоевого восстановления. Он способен почти во всем, кроме боя на передовой, и самые отчаянные исследователи уже водят этот корабль на окраины сектора без сопровождения. Настоящая жемчужина конструкторского бюро CFT.",Крупная логистика,,
CFT_bombardier,SHIP,"Специализированный ракетный корабль CFT. В отличие от похожих кораблей, рассчитанных на затяжные столкновения, «Бомбардир» создан для максимального шанса попадания своих ракет: он имеет встроенные ECM и ECCM-системы, а также пару крыльев «Аполлон», жестко прописанных в LPC-кузнице. При правильной конфигурации может быть переоборудован в частично рабочий корабль для альфа-удара.",Авианосец,,
CFT_bourbon,SHIP,"Один из менее технологически сложных корпусов в арсенале CFT. «Бурбон» — успешная попытка приспособить заброшенные гражданские обрезки под военные задачи. Значительная часть стоимости корабля уходит на сборку рамы, достаточно прочной, чтобы выдержать серию чудовищных двигателей, способных разогнать линкор до скорости более чем вдвое выше максимальной скорости «Натиска». Имеет ремонтную ферму, хотя ее чаще используют не для ремонта союзных кораблей, а чтобы прикреплять обратно куски «Бурбона», отваливающиеся в бою.",Линкор,,
CFT_brigantine,SHIP,"После бесчисленных пиратских налетов CFT оказалась завалена деталями «Мулов». Учеников инженеров-сборщиков поощряют тренироваться на них, собирая все, что они смогут, из бесконечного запаса секций корпуса. Подавляющее большинство таких работ — ученические проекты, годные лишь как демонстрация базовой компетентности начальству. Некоторые подают надежды, но только «Бригантина» пережила горнило Пенгерсика достаточно долго, чтобы получить обозначение и попасть в график массового производства.",Боевой грузовик,,
CFT_carrack,SHIP,"«Каррака» — бедняцкая альтернатива «Дау», но все же вполне способный корабль контрабандиста. Его строят довольно комичным способом: «Тарсус» ломают пополам и вставляют в середину грузовой погрузчик размером со станционный модуль, а микрометеоритный щит погрузчика затем используют для подавления сканеров контрабанды. Чаще всего этот корабль действует в составе крупных флотов CFT, но у него достаточно живучести, чтобы в одиночку помять самоуверенного пирата.",Тяжелый грузовоз,,
CFT_pdplat,SHIP,"Несмотря на вид станции для бедняков, «Ког» регулярно удивляет врагов CFT тем, что не является самым медленным объектом в космосе. Это улей встроенного PD-оружия и надежный щит против современной боевой среды Персейского сектора, насыщенной истребителями и ракетами. На фоне дерзости штурмового корабля или величия капитального корабля служба на «Коге» приносит офицерам мало престижа.",Оружейная платформа,,
CFT_chester,SHIP,"«Честер» был создан вскоре после прибытия CFT в сектор, чтобы продемонстрировать инженерные навыки инвесторам из Гегемонии и Персейской Лиги. Сначала Картеры утверждали, что их новый корабль — неизвестный вариант «Валькирии» эпохи Домина. Когда они опубликовали доказательства, что всего два месяца назад это был обломок, дрейфовавший в Дэвах, заказы хлынули потоком. Боевая эффективность впечатляет: корабль выполняет эффектные удары истребителями по принципу «ударил и ушел» и при этом достаточно быстр, чтобы отступить при необходимости.",Авианосец,,
CFT_clipper,SHIP,"В неразвернутом состоянии это фактически большой летающий куб, причем «Клипер» заметно хуже приспособлен к атмосфере, чем даже «Эксетер». Во время разделки кораблей центральная секция раскрывается в полноценный комплекс salvage-дронов, кранов и рабочих служб поддержки. Поле демпфера и разумный набор оружейных креплений также дают ему хорошую живучесть в бою.",Тяжелый эсминец,,
CFT_collier,SHIP,"Переосмысление и доработка «Клипера» для военной поддержки. Объединив разведывательное оборудование, экранированные грузовые отсеки и ремонтную ферму в одном корабле, частично автоматизированный экипаж «Кольера» постоянно занят обслуживанием, оснащением и поддержкой любых небоевых операций CFT. Как и у «Болстера», экипаж специально подготовлен для боевой инженерной роли, что ускоряет ремонт тяжелых повреждений после боя. Развернутый «Кольер» уже не один патруль Гегемонии принимал за пиратскую космическую станцию.",Тяжелый логистический крейсер,,
CFT_coventry,SHIP,"Зрелая и универсальная конструкция корпуса CFT, проверенная столетием развертываний. Отлично справляется с роями малых кораблей: вокруг крейсера почти нет пространства, не перекрытого несколькими орудиями. В зависимости от конфигурации «Ковентри» найдет себе роль как в тылу, так и на передовой.",Тяжелый крейсер,,
CFT_cutty,SHIP,"Созданный под очень конкретную роль во флотах CFT, «Катти» должен отвлекать более крупные вражеские корабли в составе волчьей стаи, создавая окно для других эсминцев и фрегатов, чтобы те добили цель. Оружейные системы были принесены в жертву двигателям и броне, получился быстрый эсминец с броней крейсера. Инженеры попытались встроить в корабль рывковый двигатель, но и без того перегруженные подсистемы сильно ограничивают дальность рывка.",Тяжелый эсминец,,
CFT_danube,SHIP,"«Дунай» часто становится первым командованием для капитанов CFT, предпочитающих относительную свободу фриланса военной офицерской школе. Поэтому эти корабли попадают в аварии чаще любых других судов в пространстве CFT. На мирах Пенгерсика «Дунай» с характерными вмятинами неопытного пилотирования быстро становится объектом насмешек и мелкого вандализма. По характеристикам это сбалансированный, но слабоватый эсминец с хорошими возможностями добычи и salvage-работ. В бою плох.",Salvage-шахтер,,
CFT_dhow,SHIP,"Краеугольный камень экономики, идеологии и самого существования CFT как независимого образования — контрабанда. Поэтому неудивительно, что инженеры CFT создали по-настоящему революционный корабль контрабандиста. «Дау» оснащен специально разработанными грузовыми контейнерами, встроенными в стенки фазовых катушек, из-за чего контрабанду крайне трудно обнаружить внешним сканированием. Запаса топлива и грузового объема достаточно для автономной работы, так что «Дау» способен перевозить нелегальный груз из одного конца сектора в другой и еще иметь топливо в запасе.",Фазовый боевой тендер,,
CFT_draeck,SHIP,"Чтобы сохранить жизнь старшим офицерам при катастрофическом пробое корпуса, мостики военных кораблей эпохи Домина оснащались автономной базовой системой жизнеобеспечения, способной поддерживать экипаж даже после полного отделения от корпуса. Нуждаясь в дешевом буксире, Чарльз Картер приварил двигатель и стабилизатор поля к старому мостику эсминца и счел работу законченной. После ряда доработок это стало стандартным чертежом буксира для Вольных Торговцев Картера.",Буксир,,
CFT_dromon,SHIP,"«Дромон» — знак должности и символ престижа для адмиралов флота CFT. Он воплощает псевдоаристократическую традицию семьи Картеров о «правильном» ведении боя: спокойное и собранное управление с безопасной дистанции. Агрессия и безрассудство считаются чертами младших офицеров, которые должны «выгореть» по мере продвижения по службе. Сам по себе «Дромон» способен, но по-настоящему раскрывается как часть крупного флота.",Командный авианосец,,
CFT_exeter,SHIP,"Настоящий исполин, «Эксетер» CFT смеется здравому смыслу в лицо. Полностью экранированный грузовой отсек способен проглотить целый «Джемини» и попросить добавки. Двигатели обгоняют эсминец и при этом оставляют достаточно мощности, чтобы запустить рой дронов ПВО. Системные патрули ненавидят видеть «Эксетер» на сканерах, потому что знают: где-то в этих бесконечных штабелях металлической руды и летучих веществ спрятано ядро ИИ, насмехающееся над их жалкими попытками его найти. Непревзойденное пополнение флота, если вы можете позволить себе припасы для его содержания.",Супергрузовик,,
