name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Милость Божественного Императора,CHM_xhanempire,,,Xhan Tech,codex_require_related,,,,TRUE,,0,0,0,0,org.xhan.hullmods.CHM_xhanempire,"Ориентация Империи Xhan на тяжёлую броню использует несколько активных компонентов корабельной брони, что даёт выдающиеся результаты. Увеличивает эффективную броню корабля для расчёта снижения урона на %s/%s/%s/%s в зависимости от размера корпуса.",Увеличивает броню.,graphics/hullmods/DEMercy.png
Оптимизированные системы наведения,PAMED_targeting,,,UTONA Shipyards,,,,,TRUE,,0,0,0,0,org.xhan.hullmods.PAMED_targeting,Высококачественные системы наведения и оптика увеличивают дальность баллистического и энергетического оружия на %s.,Увеличивает дальность неракетного оружия.,graphics/hullmods/PAMED_Targeting.png
Упрочнение умной брони,PAMED_armor,,,UTONA Shipyards,,,,,TRUE,,0,0,0,0,org.xhan.hullmods.PAMED_armor,"Упрочнённая броня получает повышенное снижение урона, что делает её эффективнее против снарядов с малым уроном. Процесс упрочнения также повышает сопротивление ЭМИ на %s.",Повышает стойкость брони к слабым попаданиям. Увеличивает сопротивление ЭМИ.,graphics/hullmods/PAMED_Armor.png
Двигатели Flute,PAMED_engines,,,UTONA Shipyards,,,,,TRUE,,0,0,0,0,org.xhan.hullmods.PAMED_engines,Уникальная конструкция двигателей UTONA повышает их прочность на %s.,Двигатели становятся прочнее.,graphics/hullmods/PAMED_Engines.png
Пластиновая броня,XHAN_PlasteenArmor,,,Alvarium Doctrine,codex_require_related,,,,TRUE,,0,0,0,0,org.xhan.hullmods.XHAN_PlasteenArmor,Броня корабля и внутренняя надстройка состоят из сильно сжимаемого биологически полученного пластика. Это повышает сопротивление фугасному урону на %s. Однако гибкая пластиновая конструкция на %s хуже сопротивляется кинетическому урону по сравнению с обычной бронёй.,"Повышает сопротивление фугасному урону, снижает сопротивление кинетическому.",graphics/hullmods/PLASTEEN_Armor.png
Высокопроизводительный конструктор дронокораблей,XHAN_PlasteenProduction,,,Alvarium Doctrine,codex_require_related,,,,TRUE,,0,0,0,0,org.xhan.hullmods.XHAN_PlasteenProduction,"Корабль оснащён внутренней биосинтетической автофабрикой, которая в конце каждого месяца потребляет %s из грузовых отсеков корабля. Она производит %s фрегатов-дронов и %s фрегат-дрон. Корабли не создаются, а ресурсы не расходуются, если нужного объёма материалов нет.",Потребляет органику для производства фрегатов-дронов.,graphics/hullmods/PLASTEEN_Production.png
Элитный конструктор дронокораблей,XHAN_Elite_PlasteenProduction,,,Alvarium Doctrine,codex_require_related,,,,TRUE,,0,0,0,0,org.xhan.hullmods.XHAN_Elite_PlasteenProduction,"Корабль оснащён внутренней биосинтетической автофабрикой, которая в конце каждого месяца потребляет %s из грузовых отсеков корабля. Она производит %s элитный фрегат-дрон. Корабли не создаются, а ресурсы не расходуются, если нужного объёма материалов нет.",Потребляет органику для производства фрегата-дрона.,graphics/hullmods/PLASTEEN__Elite_Production.png
Бронепластины XhanTech первого поколения,XHAN_Gen1_armor,,,Xhan Tech,,,,,TRUE,,0,0,0,0,org.xhan.hullmods.XHAN_Gen1_armor,Бронепластины XhanTech первого поколения снижают фугасный урон на %s и энергетический урон на %s.,Повышает сопротивление фугасному и энергетическому урону.,graphics/hullmods/XHAN_Gen1armor.png
Бронепластины XhanTech второго поколения,XHAN_Gen2_armor,,,Xhan Tech,,,,,TRUE,,0,0,0,0,org.xhan.hullmods.XHAN_Gen2_armor,Бронепластины XhanTech второго поколения снижают фугасный урон на %s и энергетический урон на %s.,Повышает сопротивление фугасному и энергетическому урону.,graphics/hullmods/XHAN_Gen2armor.png
Бронепластины XhanTech третьего поколения,XHAN_Gen3_armor,,,Xhan Tech,,,,,TRUE,,0,0,0,0,org.xhan.hullmods.XHAN_Gen3_armor,"Бронепластины XhanTech третьего поколения, разработанные ИИ, снижают фугасный урон на %s и энергетический урон на %s.",Повышает сопротивление фугасному и энергетическому урону.,graphics/hullmods/XHAN_Gen3armor.png
