id,trigger,conditions,script,text,options,notes
#RULESET_NAME HSI,,,,,,
,,,,,,
# greetings,,,,,,
greetingHSIFriendly,OpenCommLink,"$faction.id == HSI
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","«$personRank приветствует вас, друг.»
OR
«Не ожидал встретить вас здесь, друг.»",,
greetingHSIHostileWeaker,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"«Продолжение враждебности к Halo Dynamics плохо закончится, капитан. Надеюсь, вы все обдумали.» $personRank обрывает связь, и флот, похоже, намерен отступить.
OR
«От имени Halo Dynamics я требую прекратить боевые действия, капитан.» Вы замечаете, что флот $heOrShe пытается отойти.",cutCommLink:Оборвать связь,
greetingHSIHostileWeakerDefiant,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"«Флот поддержки уже в пути. Теперь мы задержим вас любой ценой.» $personRank обрывает связь, оружие начинает заряжаться.
OR
«Мы не дрогнем.» $personRank обрывает канал связи. Вы фиксируете переход другой стороны в боевой режим.",cutCommLink:Оборвать связь,
greetingHSIHostileStronger,OpenCommLink,"$faction.id == HSI
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"«Мы сокрушим все сущности, враждебные Совету.»
OR
«Совет санкционировал применение смертельной силы. Немедленно сдавайтесь.»",cutCommLink:Оборвать связь,
greetingHSINeutral,OpenCommLink,"$faction.id == HSI
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","«Приветствую, звездоплаватель. Если больше ничего нет, у меня есть другие задачи.»
",,
relLevelNeutralHSI,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == HSI",,"Aura Dynamics не считает, что у вас есть что-то достойное их внимания.",,
relLevelFavorableHSI,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == HSI",,Корабельная и оружейная промышленность предлагает вам некоторые обычные образцы.,,
relLevelWelcomingHSI,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == HSI",,"Ваше имя появляется в отчете Совета, и корабельная и оружейная промышленность продаст вам часть слегка ограниченного вооружения.",,
relLevelFriendlyHSI,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == HSI",,"Совет предоставил вам статус временного сотрудника, и вы пользуетесь большинством преимуществ работников Halo Dynamics.",,
relLevelCooperativeHSI,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == HSI",,"Вы имеете право встретиться с Директором по предварительной записи. Это означает, что Совет принял вас - в Персейском секторе.",,
relLevelSuspiciousHSI,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == HSI",,Слегка раздражающий наемник еще не повод для Halo Dynamics принимать меры.,,
relLevelInhospitableHSI,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == HSI",,Корабельная и оружейная промышленность отказывается торговать с вами.,,
relLevelHostileHSI,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == HSI",,Совет санкционировал применение против вас смертельной силы. Работать на территории Halo Dynamics будет сложно.,,
relLevelVengefulHSI,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == HSI",,"Совет поручил Военному департаменту внести вас в список разыскиваемых. Похоже, для охоты на вас также выделен особый флот.",,
flavorTextMarketHSINormal,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HSI
$market.id != HSI_SpaceBridge_Market","AddText ""The widespread leisure facilities, unknown energy networks and luxurious interior decor gives this place the ambiance of a vacation resort, but the scurrying starship cadets and captains shatter this facade."" marketFlavorTextColor
AddText ""Heavily armed guards check your identification before escorting you to the market hall."" marketFlavorTextColor",,,
flavorTextMarketHSISpaceBridge,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == HSI
$market.id == HSI_SpaceBridge_Market","AddText ""The facility is almost entirely populated by scientists and guards, with the occasional visitor hoping to find good collaborators."" marketFlavorTextColor
",,,
convCommissionerGreetingRefuse,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
!$global.HSITC0Finished
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowDefaultVisual","Попасть на прием к Директору непросто, и секретарь вежливо отклоняет вашу просьбу.",cutCommLink:Уйти,
convCommissionerGreetingAccept,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
!$faction.HSIisTraitor
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","«Приветствую, капитан $playerName.»",,
convCommissionerGreetingTraitor,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
$faction.HSIisTraitor
!$faction.HSIforgiven
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireBest HSITraitor","«Приветствую, капитан $playerName. После устроенного вами беспорядка я думал, что вы не вернетесь.»",cutCommLink:Уйти,
convCommissionerGreetingTraitor2,PickGreeting,"HSIPersonIdentityCheck PersonIsTheCommissioner
$global.HSITC0Finished
$faction.HSIisTraitor
$faction.HSIforgiven
$isPerson","$contact_printedFirstReturnGreeting = true 0
ShowDefaultVisual","Никто не простит предательство дважды. Лучше уйдите сами, пока не пришли патрули.",cutCommLink:Уйти,
