id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
BOGGLED_GENELAB,Генолаборатория,60,90,,4,,,structure,,graphics/icons/industry/genelab_lobster.png,boggled.campaign.econ.industries.Boggled_Genelab,"Генная инженерия имеет бесчисленные применения: от очистки загрязнений микробами, поедающими токсичные отходы, до засевания океанов вкусными ракообразными и создания реалистичных копий вымершей мегафауны Старой Земли.",,
BOGGLED_STELLAR_REFLECTOR_ARRAY,Массив звездных отражателей,60,90,,4,,,structure,,graphics/icons/industry/stellar_mirror.png,boggled.campaign.econ.industries.Boggled_Stellar_Reflector_Array,"Созвездие орбитальных отражателей, выравнивающее температуру и повышающее урожайность. Не может компенсировать экстремальную жару, экстремальный холод и полную темноту.",,
BOGGLED_ISMARA_SLING,Праща Исмары,45,90,,12,,,structure,,graphics/icons/industry/mass_driver.png,boggled.campaign.econ.industries.Boggled_Ismara_Sling,"Колоссальные масс-драйверы «поверхность-орбита», изначально полученные реверс-инжинирингом древних терраформирующих установок Эридани-Утопии на Исмаре. Каждый драйвер разгоняет ледонасыщенные снаряды до второй космической скорости, отправляя их по тщательно рассчитанным траекториям к мирам, которым для терраформирования требуется дополнительная вода.",,
BOGGLED_MESOZOIC_PARK,Мезозойский парк,45,90,10,2,,,industry,,graphics/icons/industry/mesozoic_park_terran.png,boggled.campaign.econ.industries.Boggled_Mesozoic_Park,"Людей издавна завораживает вымершая мегафауна Старой Земли. Хотя ДНК этих существ не сохранилась до наших дней, с помощью генной инженерии можно создавать синтетические организмы, приблизительно их воспроизводящие. Богатых туристов и охотников за трофеями притягивают миры, где эти ужасные ящеры бродят по дикой природе, при условии что колония легко доступна и достаточно стабильна, чтобы посетители чувствовали себя в безопасности.

Жизнь на планете, кишащей гигантскими хищными ящерами, опасна, и после внедрения динозавров искоренить их будет почти невозможно.",,
BOGGLED_LIMELIGHT_NETWORK,Сеть Limelight,60,75,20,8,,,industry,,graphics/icons/industry/limelight.png,boggled.campaign.econ.industries.Boggled_Limelight_Network,"Общая среда виртуальной реальности, доступ к которой осуществляется через кибернетические импланты. Запрещена Доминионом и большинством государств после Коллапса из-за крайне высокой зависимости - многие пользователи игнорируют реальный мир, пока не исчерпают все средства и не будут вынуждены выйти из симуляции. Правительство Фикенхильда неохотно терпит сеть Limelight, потому что фантазии пользователей служат отличным источником идей для индустрии голо-развлечений.

Производство товаров по всей колонии снижается из-за зависимости от виртуальной реальности. Кроме того, суперкомпьютер, поддерживающий симуляцию, имеет происхождение Доминиона и требует артефактов эпохи Доминиона для обслуживания. Любой дефицит приведет к сбоям сервиса, гражданским беспорядкам и потере дохода.",,
BOGGLED_GPA,Галатийский ускоритель частиц,180,360,,12,,,structure,,graphics/icons/industry/gpa.png,boggled.campaign.econ.industries.Boggled_GPA,"Этот ускоритель частиц используется Галатийской академией для проведения физических исследований. Tri-Tachyon управляла более продвинутым ускорителем на Кром Круахе, пока он не был уничтожен в ходе гражданской войны после Коллапса.",,
BOGGLED_CRYOSANCTUM,Криосанктум,150,90,,5,,,"cryosanctum, structure",,graphics/icons/industry/cryosanctum.png,boggled.campaign.econ.industries.Boggled_Cryosanctum,"Заглушка, заменяется ванильным описанием в файле класса.",3000,EXTREME
BOGGLED_CHAMELEON,ХАМЕЛЕОН,45,60,,4,,,structure,,graphics/icons/industry/chameleon.png,boggled.campaign.econ.industries.Boggled_CHAMELEON,"CHAMELEON - суперкомпьютер, собранный из специализированного оборудования эпохи Доминиона и способный взламывать большинство форм шифрования, используемых в Секторе. Силы безопасности могут использовать полученные с его помощью данные, чтобы искоренять децивилизованные группы населения и вышедшие из-под контроля AI-ядра.",,
BOGGLED_DOMED_CITIES,Купольные города,60,60,,2,,,structure,,graphics/icons/industry/domed_cities.png,boggled.campaign.econ.industries.Boggled_Domed_Cities,"Герметичные купола диаметром в десятки километров могут вмещать большую часть населения колонии в сравнительно земной среде. Внутри куполов смягчаются опасные условия, вызванные свойствами атмосферы, экстремальной погодой и агрессивной фауной. Сосредоточение промышленности и населения под хрупкими куполами делает колонию почти беззащитной перед рейдами и бомбардировками.",,
BOGGLED_DOMAIN_ARCHAEOLOGY,Археология Доминиона,30,45,,2,,,industry,,graphics/icons/industry/domain_archaeology.png,boggled.campaign.econ.industries.Boggled_Domain_Archaeology,"Коллапс погрузил Сектор в темные века. Лишившись возможности воспроизводить самые продвинутые технологии эпохи Доминиона, жители Сектора вынуждены выкапывать их из руин колоний Доминиона.",,
BOGGLED_KLETKA_SIMULATOR,Симуляторы «Клетка»,90,120,,64,,,industry,,graphics/icons/industry/kletka_simulator.png,boggled.campaign.econ.industries.Boggled_Kletka_Simulator,"Суперкомпьютеры, собранные из восстановленных компонентов эпохи Доминиона, используются для обучения новых AI-ядер в симуляции виртуальной реальности. Ядра, созданные таким образом, никогда не могут быть уверены, реален ли этот мир или это очередная учебная симуляция - поэтому они обычно сохраняют верность человеческим хозяевам, чтобы избежать наказания или удаления, если верен второй вариант.",,
BOGGLED_PERIHELION_PROJECT,Проект «Перигелий»,200,180,,192,,,structure,,graphics/icons/industry/perihelion_project.png,boggled.campaign.econ.industries.Boggled_Perihelion_Project,"Построить корональный коллектор. Создание мегаструктуры такого размера и сложности требует ошеломляющего объема сырья - гораздо больше, чем может собрать любая из крупных фракций.",,
BOGGLED_STATION_EXPANSION,Расширение станции,20,60,,0,,,structure,,graphics/icons/industry/expand_station.png,boggled.campaign.econ.industries.Boggled_Expand_Station,"Построить огромные новые жилые модули и пристыковать их к станции. Увеличивает число людей, которые могут комфортно жить на станции, на порядок. Стоимость строительства значительна, но частично окупается продажей жилых отсеков жителям станции.",,
BOGGLED_AI_MINING_DRONES,AI-дроны для добычи,45,60,,4,,,structure,,graphics/icons/industry/mining_drones.png,boggled.campaign.econ.industries.Boggled_AI_Mining_Drones,"Добывающие работы становятся продуктивнее, когда человеческий труд заменяют дронокорабли под управлением AI-ядра.

Полностью бесполезно без установленного AI-ядра и существующей добывающей промышленности.",,
BOGGLED_HARMONIC_DAMPER,Гармонический демпфер,60,60,,4,,,structure,,graphics/icons/industry/harmonic_damper.png,boggled.campaign.econ.industries.Boggled_Harmonic_Damper,"По сути это гигантская фазовая катушка, установленная на планете вместо боевого корабля. Избирательная фазировка небольших участков поверхности подавляет вибрации от тектонической активности. Военные применения устройства очевидны, но чтобы использовать его максимально эффективно, потребуются сверхчеловеческие рефлексы AI-ядра.",,
BOGGLED_PLANETARY_AGRAV_FIELD,Планетарное аграв-поле,60,60,,4,,,structure,,graphics/icons/industry/planetary_agrav_field.png,boggled.campaign.econ.industries.Boggled_Planetary_Agrav_Field,"Генераторы аграв-поля, используемые на звездолетах, работают и на поверхности планет - проблема в том, чтобы построить достаточно крупную сеть генераторов и накрыть всю колонию. Экономически это оправдано только тогда, когда основная часть населения размещена в пределах нескольких купольных городов.",,
