id,type,text1,text2,text3,text4,notes
#Weapons#,,,,,,
HWI_TurbocannonL,WEAPON,"Это энергетическое оружие раскручивает турбину при стрельбе, повышая темп огня. Оно отличается крайне большой дальностью и обычно используется для подавляющего огня.

Турбопушка была разработана на основе чужеродного скорострельного оружия. Несмотря на усилия Оружейной промышленности, полностью воспроизвести оригинальные принципы так и не удалось, но адаптированная версия оказалась достаточно надежной для флотов Halo Dynamics.",,,,
HWI_TurbocannonM,WEAPON,"Это энергетическое оружие раскручивает турбину при стрельбе, повышая темп огня. Оно отличается крайне большой дальностью и обычно используется для подавляющего огня.

Турбопушка была разработана на основе чужеродного скорострельного оружия. Несмотря на усилия Оружейной промышленности, полностью воспроизвести оригинальные принципы так и не удалось, но адаптированная версия оказалась достаточно надежной для флотов Halo Dynamics.",,,,
HWI_TurbocannonS,WEAPON,"Это энергетическое оружие раскручивает турбину при стрельбе, повышая темп огня. Оно отличается крайне большой дальностью и обычно используется для подавляющего огня.

Турбопушка была разработана на основе чужеродного скорострельного оружия. Несмотря на усилия Оружейной промышленности, полностью воспроизвести оригинальные принципы так и не удалось, но адаптированная версия оказалась достаточно надежной для флотов Halo Dynamics.",,,,
HWI_TurbocannonSPD,WEAPON,"Хотя это дешевое оборонительное оружие тоже использует турбинную технологию, в нем нет сложной компрессионной структуры, из-за чего энергетические снаряды быстро теряют стабильность. Обычно применяется как недорогая поддержка основных систем ПКО благодаря очень высокому темпу огня.",,,,
HWI_MassDriverL,WEAPON,"Тяжелая пусковая установка, использующая технологию безынерционного ускорения массы для запуска самых разных боеприпасов под разные задачи. Она дает подходящий ответ почти на любую тактическую ситуацию, хотя далека от совершенства. Широко применяется как баллистическое оружие во флотах Halo Dynamics.",,,,
HWI_MassDriverM,WEAPON,"Средняя пусковая установка, использующая технологию безынерционного ускорения массы для запуска самых разных боеприпасов под разные задачи. Она дает подходящий ответ почти на любую тактическую ситуацию, хотя далека от совершенства. Широко применяется как баллистическое оружие во флотах Halo Dynamics.",,,,
HWI_MassDriverS,WEAPON,"Легкая пусковая установка, использующая технологию безынерционного ускорения массы для запуска самых разных боеприпасов под разные задачи. Она дает подходящий ответ почти на любую тактическую ситуацию, хотя далека от совершенства. Широко применяется как баллистическое оружие во флотах Halo Dynamics.",,,,
HWI_Arbiter,WEAPON,"Тяжелая артиллерия Arbiter оснащена продвинутой системой управления огнем, сокращающей время корректировки после выстрела. Оружие разработано для борьбы с тяжелобронированными целями и компенсации сравнительно слабого фугасного урона mass accelerator.",,,,
HWI_Duality,WEAPON,"Комбинированная система ПКО Duality, объединяющая флак и противоракеты, основана на старой конструкции. Флак-пушки обычно достаточны против большинства угроз, но уступают тяжелым истребителям. Интеграция ракет ПКО расширяет зону защиты Duality, хотя высокая сложность обслуживания ограничивает применение.",,,,
HWI_POS_Pod,WEAPON,"Это оружие неизвестными принципами создает энергетические сгустки, проявляющие признаки простого интеллекта. Сгустки обращаются вокруг точки испускания и атакуют цели, попавшие в радиус действия.","- «По крайней мере, они послушные, правда?»",,,
