id,type,text1,text2,text3,text4,text5,notes
rr_aeith,SHIP,"Легкая и крайне маневренная канонерка, способная калечить изолированные цели, но страдающая в окружении. Поврежденный чертеж был найден Tri-Tachyon R&D при анализе обломков в гиперпространстве.",,,,,
rr_buffaloeq,SHIP,"Когда-то это был Buffalo, пока его не прогнали через нанокузницу боком и не ""починили"" чрезмерно увлеченные пираты. Может угрожать фрегатам, но лучше избавить беднягу от страданий.",,,,,
rr_rednus,SHIP,"Sunder, прошедший через нанокузницу наоборот. Получил более узкий щит и скорость, но обменял крупный энергетический узел на пару малых синергетических.",,,,,
rr_susrat,SHIP,"Tarsus, прошедший через нанокузницу наоборот, каким-то образом получивший ангар. Смутно боеспособен, но далек от настоящего военного корабля.",,,,,
rr_susrat_slv,SHIP,"Susrat с половиной Salvage Rig, прикрученной к корпусу. Еще слабее в бою, зато совмещает грузовой отсек и спасательные возможности.",,,,,
rr_falconet_l,SHIP,"Один Falcon вошел в нанокузницу, а вышла пара Falconet. Эта половина имеет баллистическую турель; довольно маневренна, но хрупка.",,,,,
rr_falconet_r,SHIP,"Один Falcon вошел в нанокузницу, а вышла пара Falconet. Эта половина имеет энергетическую турель; хрупкая, но достаточно маневренная.",,,,,
rr_surebrec,SHIP,"Cerberus, прошедший через нанокузницу наоборот. Вышел легким эсминцем с дополнительным баллистическим узлом и при умелом пилоте может превзойти оригинал.",,,,,
rr_surebrec_p,SHIP,"Пираты заполучили Surebrec и прикрутили крупный ракетный узел к носу вместе с набором ""улучшений"". В выгодной позиции это настоящий кошмар.",,,,,
rr_inimeg,SHIP,"Gemini, прошедший через нанокузницу наоборот. Потерял ангар, но получил улучшенное потоковое ядро, став скорее обычным боевым грузовиком.",,,,,
rr_gryphon_b,SHIP,"Gryphon, переделанный под баллистическое оружие вместо ракет. Увеличенное потоковое ядро и активное охлаждение помогают выдерживать новые нагрузки.",,,,,
rr_ox_2,SHIP,"Пиратская модификация Ox: стабилизатор поля двигателя снят, а корпус превращен во что-то отдаленно похожее на боевой корабль.",,,,,
rr_valkyrie_m2,SHIP,"Ранняя модель транспортника Valkyrie, переделанная в боевой корабль с крупным баллистическим узлом. Дрон Scope дает дальность крейсера, но потоковая система едва справляется.",,,,,
rr_cephalofoil,SHIP,"Hammerhead, прогнанный через нанокузницу наоборот: размеры передних узлов поменялись местами. Система подачи боеприпасов сохранена, что дает сильные, хоть и ограниченные залпы.",,,,,
rr_rumbler,SHIP,"Пиратская попытка обратной разработки Thunder. Оружие, скорость и дальность хуже, зато броня немного лучше.",,,,,
rr_khanda,SHIP,"Khanda - один из самых тяжелых аппаратов, запускаемых из ангара. Впечатляющее вооружение делает его эффективной платформой ПКО, хотя с тяжелыми истребителями бывают проблемы.",,,,,
rr_nemo,SHIP,"Основан на части конструктивных элементов Omen, но вместо ЭМИ-излучателя несет продвинутые сенсоры и связь для поддержки флота.",,,,,
rr_concierge,SHIP,"Легкий и умеренно вооруженный Concierge проиграет почти любому кораблю в прямой дуэли, но он создан как эскорт с выделенным массивом ПКО-сенсоров.",,,,,
rr_pilaster,SHIP,"Pilaster - неловкая попытка сделать уменьшенный Portico. Вооружение скромнее, но уменьшенная версия специального щитового проектора сохранена.",,,,,
rr_portico,SHIP,"Portico создан как линейный корабль с чрезмерно мощным щитовым проектором. Полная активация мешает двигателям, но дает отличную защиту на ограниченное время.",,,,,
rr_pteroma,SHIP,Дальнейшее развитие Portico с тяжелым набором энергетического и ракетного оружия. Потоковое ядро может не выдерживать щит и полное вооружение одновременно.,,,,,
