id,trigger,conditions,script,text,options,notes
#RULESET_NAME NSKR,,,,,,
,,,,,,
# BAR FIXER,,,,,,
BarFixerEntered,AddBarEvents,,nskr_barEventFixer,,,
#END BAR FIXER,,,,,,
,,,,,,
# HEART FIXER,,,,,,
HeartFixer,MarketPostDock,"$hasMarket
$market.id == nskr_heart score:1000","$menuState = main 0
FireAll PopulateOptions
nskr_heartFixer

",,,
HeartFixerReturn,MarketPostOpen,"$hasMarket
$market.id == nskr_heart score:1000","$tradeMode = NONE 0
FireBest MarketPostDock
nskr_heartFixer",,,
#END HEART FIXER,,,,,,
,,,,,,
# RULES BASED SCRIPT DIALOGS,,,,,,
,,,,,,
# kesteven QUEST options,,,,,,
nskr_kestevenQuest,PopulateOptions,"nskr_kestevenQuest hasOption
$tag:k_quest
nskr_isAtmostKStage 19",,,nskr_kestevenQuestContinue:Поговорить об оперативной работе,
nskr_kestevenQuestContinue,DialogOptionSelected,$option == nskr_kestevenQuestContinue,nskr_kestevenQuest getStage,,nskr_kestevenQuestStart:Продолжить,
nskr_kestevenQuestOptions,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_pick_""","nskr_kestevenQuest advanceStage
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""
",,"nskr_kestevenQuestConfirmQuest:Продолжить
nskr_kestevenQuestExit:Назад",
nskr_kestevenQuestOptionsSP,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_story_pick_""","nskr_kestevenQuest advanceStageStory
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""
",,"nskr_kestevenQuestConfirmQuest:Продолжить
nskr_kestevenQuestExit:Назад",
nskr_kestevenQuestExtraDialogueStart,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_extraStart_""","nskr_kestevenQuest extraDialogueStart
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""",«Что вам нужно узнать?»,,
nskr_kestevenQuestExtraDialogue,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuest_extra_""","nskr_kestevenQuest extraDialogue
SetShortcut nskr_kestevenQuestCancel ""ESCAPE""",,,
nskr_kestevenQuestConfirmQuest,DialogOptionSelected,"nskr_optionStartsWith ""nskr_kestevenQuestConfirmQuest""",nskr_kestevenQuest confirmQuest,,nskr_kestevenQuestExit:Уйти,
