id,type,text1,text2,text3,text4,notes
,,,,,,
nskr_prosperity,SHIP,"Линкор класса Prosperity - публичное лицо военно-морской доктрины Kesteven: высокоскоростное и крупнокалиберное сдерживание, отполированное до корпоративного блеска. Проект отстал от графика на десятилетия и финансировался через слои творческой бухгалтерии, но все же выдает подавляющую фронтальную огневую мощь и быстрое захватывание целей, позволяя прорывать боевые линии и с пугающей эффективностью рассеивать более тяжелое сопротивление.

Изначально задуманный до Коллапса как санкционированная Доменом замена Onslaught, проект Prosperity томился в производственном аду, пока руководство Kesteven не возродило его с минимальными изменениями и огромным бюджетом.",,,,
,,,,,,
nskr_nighthawk,SHIP,"Nighthawk выполняет в флотах Kesteven простую роль линейного корабля, сочетая приличную живучесть с сосредоточенной огневой мощью. Он дорог в эксплуатации, нелюбим ремонтными командами и имеет дурную славу сложного в управлении корабля - но фабрики Asteria продолжают выпускать их несмотря ни на что.

Этот крейсер - продукт недолговечной оборонной линейки ""Construction"", амбициозной довоенной попытки создать высокопроизводительный боевой корабль. Сложные системы и высокая стоимость содержания погубили его на гражданском рынке. Повторно введенный в строй почти без изменений, кроме брендинга, он получил вторую жизнь в корпоративных эскадрах.",,,,
,,,,,,
nskr_devilcatcher,SHIP,"Класс Devilcatcher - дорогой быстроходный крейсер Kesteven для агрессивной тактики: гладкий, дорогой и созданный ради скорости. Он несет необычную двигательную систему, позволяющую резкие рывки и маневренность значительно выше стандартной для крейсеров, что идеально подходит для ударов с отходом и быстрых фланговых атак.

Цена безжалостна: привод требует строгого соблюдения регламентов обслуживания, поскольку даже небольшое смещение может вызвать катастрофический P-space каскад при активации. Неудивительно, что за пределами внутренних подразделений Kesteven конструкция так и не стала популярной.",,,,
,,,,,,
nskr_mercenary,SHIP,"Фрегат класса Mercenary, рассчитанный на состоятельных независимых операторов, - отполированное предложение из оборонного каталога Kesteven, созданное демонстрировать компетентность не меньше, чем огневую мощь. Толстая броня, широкие сектора турелей и встроенное поле подавления снарядов делают его пригодным для ближнего эскорта в нестабильных условиях.

Стиль и качество сборки нацелены на богатого владельца - того, кому нужно выглядеть профессионально и при этом остаться в живых. Под глянцем брошюры, однако, скрыт обычный компромисс Kesteven: производительность стоит дорого, а ремонт должен выполняться строго по спецификации.",,,,
,,,,,,
nskr_blackbird,SHIP,"Blackbird служит точным убийцей, созданным для быстрого перехвата и уничтожения ценных целей. Быстрый, с легкой броней и тяжелым вооружением, он превосходен в агрессивных маневрах, где почти нет запаса на ошибку - или выживание.

Изначально это был наполовину завершенный прототип, отложенный в последние годы перед Коллапсом. Во время хаоса его поспешно отправили в производство, и с тех пор оно не прекращалось. Kesteven быстро осознала ценность этой ударной платформы; конструкция постоянно служит доныне - более обтекаемая, но все еще явно рожденная кризисом.",,,,
,,,,,,
nskr_dragontail,SHIP,"По заявлениям собственного маркетинга Kesteven, Dragontail - самый быстрый серийный фрегат из когда-либо построенных. Он создан ради чистой скорости и нестандартной мобильности. Легкая рама и чрезмерно мощные двигатели дают бешеное ускорение, а экспериментальный привод ""отката"" позволяет внезапно менять временное положение прямо в бою.

Задуманный для ударов по медленным целям и разрыва построений, Dragontail процветает, когда он быстрее всего остального на поле боя, и поощряет рискованные атаки. Хрупкая технология плохо понята за пределами лабораторий Kesteven.",,,,
,,,,,,
nskr_kingstork,SHIP,"Первый корпус, выпущенный тогда еще новой оборонной ветвью Kesteven Construction, класс Kingstork остается одной из более удачных разработок компании. Прямолинейный, прочный и простой в обслуживании, он получил редкую степень признания как среди независимых капитанов, так и среди корпоративных экипажей.

Построенный вокруг сильного щита и крепкой геометрии корпуса, Kingstork хорошо показывает себя в эскорте и ближних схватках. Главный недостаток - невпечатляющая максимальная скорость, из-за которой ему трудно менять позицию или отступать при появлении больших угроз. И все же для корабля Kesteven он необычайно здраво спроектирован.",,,,
,,,,,,
nskr_kingslayer,SHIP,"Класс Kingslayer - грубый шедевр: скорость, огневая мощь и презрение. По слухам, это личный проект озлобленного инженера Kesteven, ушедшего в самоволку; корабль впервые появился на закате Коллапса, собранный из переделанных деталей на незарегистрированной верфи. Работа точна, но полностью неортодоксальна - судно создано убивать, а не соответствовать нормам.

Возможности Kingslayer далеко выходят за пределы обычных постколлапсных стандартов, а после него остаются только обломки. Он действует как быстрый штурмовой корабль, оптимизированный для шоковых столкновений и чистого разрушения. Большинство тех, кто утверждает, что видел его, не пережили бы повторной встречи.",,,,
,,,,,,
nskr_stalwart,SHIP,"Крейсер класса Stalwart - модернизированная платформа поддержки, построенная вокруг экспериментальных ракетных систем и предназначенная дополнять передовые части с дистанции. Разрабатывался параллельно с более массовым Champion как бюджетная альтернатива, чтобы выполнять логистически ориентированные роли без полной потери боевой ценности.

Обе конструкции страдали от задержек и технических проблем, сорвавших доменовское развертывание. После Коллапса найденные чертежи позволили возобновить ограниченное производство. Stalwart встречается нечасто, но при правильном включении в боевой порядок доказал свою надежность.",,,,
,,,,,,
nskr_verity,SHIP,"Класс Verity представляет вершину позднедоменовского военного кораблестроения, демонстрируя продвинутые электронные комплексы и интеграцию передового энергетического вооружения. Выпущенный на рынок всего за несколько циклов до Коллапса, он остается одним из наиболее технически совершенных серийных корпусов.

Сложный в пилотировании и обслуживании, Verity меняет прочность на точность. Высокая мобильность и гибкие сектора вооружения позволяют быстро наносить ответные удары на разных дистанциях; в руках умелого пилота он стабильно давит на всю линию. В менее компетентных руках он быстро выгорает.",,,,
,,,,,,
nskr_rhea,SHIP,"Класс Rhea - исключение среди пиратских кораблей: быстрый, агрессивный и спроектированный с уровнем технической компетентности, не вяжущимся с его происхождением. Вооруженный подавляющей огневой мощью и рассчитанный на стремительные столкновения, он превращает самоуверенность противника в обломки за считанные секунды.

Хрупкая рама и ограниченная выносливость делают его плохим выбором для осторожных, но под правильным командиром он процветает в хаосе. К счастью для большинства, Rhea остается редкостью: его конструкция требует куда больше навыков и инфраструктуры, чем может дать средняя подпольная верфь.",,,,
,,,,,,
nskr_borealis,SHIP,"Класс Borealis сочетает высококлассное научное оборудование с военными возможностями и оптимизирован для операций в глубоком космосе в спорных регионах. Оснащенный флотскими сенсорными комплексами, встроенной командной электроникой и несколькими ангарами, он дает любой боевой группе разведывательный охват и умножение силы.

Несмотря на эффективность как судна поддержки, Borealis остается редкостью. Стоимость постройки сопоставима с фронтовыми боевыми кораблями, а гражданская классификация часто заставляет выбирать более боевые альтернативы. Немногие находящиеся в эксплуатации экземпляры ценятся чрезвычайно высоко.",,,,
,,,,,,
