name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Незначительные дефекты печати,IndEvo_print_low,,,,"dmod, codex_unlockable",,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsLow,"Этот корпус несет на себе легкие следы автоматизированного производства: разъемы, намертво спекшиеся с гнездами, мелкие металлические фрагменты, торчащие из переборок из-за ошибок сканирования, и прочие небольшие, но раздражающие проблемы.

Снижает скорость ремонта на %s, увеличивает падение БГ после окончания пикового времени на %s и дает небольшой шанс столкнуться с %s в бою.",,,graphics/hullmods/printing_defects.png
Дефекты печати,IndEvo_print_med,,,,"dmod, codex_unlockable",,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsMed,"Этот корпус несет характерные следы автоматизированного производства: стальные листы там, где им не место, двери, приваренные к рамам, балки, пересекающие коридоры, и постоянные мелкие неисправности, преследующие корабль.

Снижает скорость ремонта на %s, увеличивает содержание на %s, усиливает падение БГ после окончания пикового времени на %s и дает шанс столкнуться с %s в бою.",,,graphics/hullmods/printing_defects.png
Серьезные дефекты печати,IndEvo_print_high,,,,"dmod, codex_unlockable",,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsHigh,"Этот корпус покрыт тяжелыми следами автоматизированного производства: неисправные переборки, утечки атмосферы и целые недоступные секции, возникшие из-за ошибок сканирования и сборки. Это наглядный пример того, почему до Коллапса такую технологию так и не внедрили повсеместно.

Снижает скорость ремонта на %s, увеличивает содержание на %s, уменьшает скорость поворота турелей на %s, усиливает падение БГ после окончания пикового времени на %s и дает высокий шанс столкнуться с %s в бою.",,,graphics/hullmods/printing_defects.png
Автоматизированная сборка,IndEvo_auto,,,,codex_unlockable,,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintingHullMod,"Этот корпус был создан полностью автоматизированными средствами. Полностью стереть следы этого не удастся никогда, даже если они больше не мешают эксплуатации.",,,graphics/hullmods/automated_construction.png
Невидиматор,IndEvo_magicInvisibator,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,indevo.industries.artillery.hullmods.MagicInvisibator,"Я беру кролика, кладу его в шляпу - и пуф, его нет.",,,graphics/hullmods/automated_construction.png
Корабельный питомец,IndEvo_petHullmod,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,На этом корабле живет питомец. Управлять им можно в любом питомнике Персеанского сектора.,,,graphics/hullmods/pet_icon_hullmod.png
Эксперимент кузничного мира,IndEvo_handBuilt,,,,,,,,TRUE,,0,0,0,0,indevo.industries.changeling.hullmods.HandBuiltHullmod,"Корабль, рожденный из горячечного сна ремесленника кузничного мира. Созданный ради исследований, как опытный проект или просто по прихоти, каждый такой корпус уникален и полон странностей - как полезных, так и вредных. В военной службе эти суда встречаются редко; те, что оказываются хотя бы отдаленно рабочими, ценятся как диковинные коллекционные экземпляры или идут на разбор, чтобы их внутренности послужили следующей, потенциально сомнительной затее.",,,graphics/hullmods/forgeworld_experimental.png
Адские капсулы,IndEvo_hellpods,,,,,,,,TRUE,,0,0,0,0,indevo.industries.changeling.hullmods.Hellpods,"Обычные удобства, предоставляемые морпехам, были демонтированы ради размещения системы стремительного атмосферного десантирования, позволяющей наносить чрезвычайно эффективные точечные удары ценой крайне высоких потерь.",,,graphics/hullmods/hellpods.png
Настройка поля привода,IndEvo_augfield,1,,,"req_spaceport, special no_drop, no_drop_salvage, codex_unlockable","Logistics, Requires Dock",8000,,,,4,8,10,15,indevo.dialogue.research.hullmods.FieldModulation,"Оптимизирует параметры двигателей при помощи данных, полученных в ходе исследовательского проекта. Повышает максимальный burn level на %s ценой увеличения расхода припасов и топлива на %s.",Повышает максимальный burn level.,"Полная интеграция протоколов дает заметно лучший результат: полностью устраняет повышенное потребление на %s, улучшает топливную экономичность на %s и уменьшает сенсорный профиль на %s.",graphics/hullmods/indevo_augfield.png
Эмиттер маскировочного поля,IndEvo_CamouflageFieldEmitter,1,,,"req_spaceport, special, no_build_in, no_drop, no_drop_salvage, special, codex_unlockable",Requires Dock,15000,,,,4,8,10,15,indevo.dialogue.research.hullmods.CamouflageFieldEmitter,"Назвать эту спагетти-кучу кабелей, излучателей и высокотехнологичных деталей stealth-полем было бы оскорблением для всех stealth-полей. Но работает она, по большей части.",,,graphics/hullmods/indevo_stealthfield.png
,,,,,,,,,,,,,,,,,,,
#Ghost Ships,,,,,,,,,,,,,,,,,,,
Корабль-призрак,indEvo_ghost_ship_mystery_nothing,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в удаленной системе, этот корабль был потерян при неясных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа пока так и не получили подтверждения. Судно окутано чувством тревоги, которое давит на экипаж, и тот требует постоянно держать на борту отряд морпехов - ""на всякий случай"". На случай чего именно, никто толком не знает. Снижает максимальную боеготовность вплоть до %s, если на борту не размещено как минимум %s морпехов.

Сейчас у вас %s морпехов при общем требовании в %s для надежной охраны всех кораблей флота, нуждающихся в морской охране, что приводит к максимальному штрафу к боеготовности в %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_rogue_ai,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в удаленной системе, этот корабль был потерян при неясных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа пока так и не получили подтверждения. Судно окутано чувством тревоги, которое давит на экипаж, и тот требует постоянно держать на борту отряд морпехов - ""на всякий случай"". На случай чего именно, никто толком не знает. Снижает максимальную боеготовность вплоть до %s, если на борту не размещено как минимум %s морпехов.

Сейчас у вас %s морпехов при общем требовании в %s для надежной охраны всех кораблей флота, нуждающихся в морской охране, что приводит к максимальному штрафу к боеготовности в %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_hyperlost,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в удаленной системе, этот корабль был потерян при неясных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа пока так и не получили подтверждения. Судно окутано чувством тревоги, которое давит на экипаж, и тот требует постоянно держать на борту отряд морпехов - ""на всякий случай"". На случай чего именно, никто толком не знает. Снижает максимальную боеготовность вплоть до %s, если на борту не размещено как минимум %s морпехов.

Сейчас у вас %s морпехов при общем требовании в %s для надежной охраны всех кораблей флота, нуждающихся в морской охране, что приводит к максимальному штрафу к боеготовности в %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_alien,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в удаленной системе, этот корабль был потерян при неясных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа пока так и не получили подтверждения. Судно окутано чувством тревоги, которое давит на экипаж, и тот требует постоянно держать на борту отряд морпехов - ""на всякий случай"". На случай чего именно, никто толком не знает. Снижает максимальную боеготовность вплоть до %s, если на борту не размещено как минимум %s морпехов.

Сейчас у вас %s морпехов при общем требовании в %s для надежной охраны всех кораблей флота, нуждающихся в морской охране, что приводит к максимальному штрафу к боеготовности в %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_plague,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в удаленной системе, этот корабль был потерян при неясных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа пока так и не получили подтверждения. Судно окутано чувством тревоги, которое давит на экипаж, и тот требует постоянно держать на борту отряд морпехов - ""на всякий случай"". На случай чего именно, никто толком не знает. Снижает максимальную боеготовность вплоть до %s, если на борту не размещено как минимум %s морпехов.

Сейчас у вас %s морпехов при общем требовании в %s для надежной охраны всех кораблей флота, нуждающихся в морской охране, что приводит к максимальному штрафу к боеготовности в %s.",,graphics/icons/abilities/distress_call.png,
Корабль-призрак,indEvo_ghost_ship_mystery_nanite,,,,hide_in_codex,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,"Обнаруженный дрейфующим и разбитым в удаленной системе, этот корабль был потерян при неясных обстоятельствах. Разрозненные сообщения об исчезновении членов экипажа пока так и не получили подтверждения. Судно окутано чувством тревоги, которое давит на экипаж, и тот требует постоянно держать на борту отряд морпехов - ""на всякий случай"". На случай чего именно, никто толком не знает. Снижает максимальную боеготовность вплоть до %s, если на борту не размещено как минимум %s морпехов.

Сейчас у вас %s морпехов при общем требовании в %s для надежной охраны всех кораблей флота, нуждающихся в морской охране, что приводит к максимальному штрафу к боеготовности в %s.",,graphics/icons/abilities/distress_call.png,
