id,name,buildTime,shortDesc,icon,cost,plugin
landing_pad,Посадочная площадка,3,,graphics/icons/frontiers/facilities/landing_pad.png,0,assortment_of_things.frontiers.plugins.facilities.SpaceportFacility
refinery,Переработка,60,"Перерабатывает ресурс поселения, повышая экспортную стоимость.",graphics/icons/frontiers/facilities/refinery.png,100000,assortment_of_things.frontiers.plugins.facilities.RefineryFacility
trade_post,Торговый пост,75,"Небольшой рынок, торгующий товарами вашей фракции.",graphics/icons/frontiers/facilities/trade_post.png,90000,assortment_of_things.frontiers.plugins.facilities.TradePostFacility
ship_construction,Верфь,60,Позволяет производить ограниченное количество известных корпусов кораблей.,graphics/icons/frontiers/facilities/ship_construction.png,80000,assortment_of_things.frontiers.plugins.facilities.ShipyardFacility
weapon_construction,Производство вооружения,45,Необходимые производственные цеха для сборки оружия и истребителей.,graphics/icons/frontiers/facilities/weapon_construction.png,75000,assortment_of_things.frontiers.plugins.facilities.ManufacturingFacility
stockpile,Запасник,30,Улучшает складские мощности поселения.,graphics/icons/frontiers/facilities/stockpile.png,50000,assortment_of_things.frontiers.plugins.facilities.StockpileFacility
quality_control,Ремонтные ангары,60,Улучшает состояние вашего флота.,graphics/icons/frontiers/facilities/quality_control.png,100000,assortment_of_things.frontiers.plugins.facilities.QualityControlFacility
specialised_training,Специализированная подготовка,60,Проводит специальную подготовку для вашего экипажа.,graphics/icons/frontiers/facilities/specialised_training.png,100000,assortment_of_things.frontiers.plugins.facilities.SpecialisedTrainingFacility
hyperspace_beacon,Гиперпространственный маяк,60,Снижает расход топлива в гиперпространстве.,graphics/icons/frontiers/facilities/hyperspace_beacon.png,100000,assortment_of_things.frontiers.plugins.facilities.HyperspaceBeaconFacility
logistics_base,Логистическая база,45,Размещает небольшой флот снабжения для помощи в операциях.,graphics/icons/frontiers/facilities/logistics_base.png,75000,assortment_of_things.frontiers.plugins.facilities.LogisticsBaseFacility
gate_beacon,Маяк Врат,90,Позволяет Вратам наводиться на это поселение.,graphics/icons/frontiers/facilities/gate_beacon.png,125000,assortment_of_things.frontiers.plugins.facilities.GateBeaconFacility
headquarters,Штаб-квартира,120,Управляющий центр для колонии планеты.,graphics/icons/frontiers/facilities/headquarters.png,500000,assortment_of_things.frontiers.plugins.facilities.HeadquartersFacility
