name,id,script,desc,icon,order
,,,,,
#Интенсивная добыча полезных ископаемых,SCY_extensiveMining,data.campaign.econ.SCY_extensiveMining,"Наиболее эффективные методы добычи могут значительно повысить производительность месторождения, но они наносят необратимый ущерб окружающей среде. К счастью, это не является проблемой при разработке астероидных поясов или бесплодных лун. Добывает как обычные, так и редкие руды, но увеличивает потребление топлива, летучих веществ и тяжелой техники.",graphics/icons/markets/ore_mining.png,30
,,,,,
#Мини-Автозавод,SCY_autofactory,data.campaign.econ.SCY_autofactory,"Жемчужина криогенной арки Иггдрасиль — этот миниатюрный Автозавод. Поддерживаемый в идеальном рабочем состоянии легионами инженеров, этот небольшой макет не способен производить такое же количество товаров, как его более крупные стандартизированные собратья, но сумел сохранить свою базу данных UAC практически в целости. Производит припасы, ручное оружие, товары для дома и тяжелую технику, потребляет металлы, редкие металлы, летучие вещества и органические соединения. Для работы требует значительного экипажа.",graphics/icons/markets/shipbreaking.png,30
,,,,,
#Плавильный завод по производству летучих веществ,SCY_volatilesMelting,data.campaign.econ.SCY_volatilesMelting,"На планетах, расположенных на значительном расстоянии от звезды, даже самые летучие газы замерзают на поверхности, что значительно упрощает и делает менее опасным их добычу, но для нагрева до жидкого состояния требуется топливо. Производство летучих веществ требует значительного количества топлива, а также некоторого количества органических веществ и тяжелой техники.",graphics/icons/markets/volatiles_mining.png,30
,,,,,
#Подземные теплицы,SCY_greenhouses,data.campaign.econ.SCY_greenhouses,"Эти подземные сооружения используются на планетах, где выращивание сельскохозяйственных культур на открытом воздухе невозможно из-за токсичности, отсутствия атмосферы или радиоактивности. Их производство часто ограничено и требует больших площадей. Для производства больших объемов пищи и органических веществ необходимы летучие вещества и тяжелая техника.",graphics/icons/markets/aquaculture.png,30
,,,,,
#Собиратель Антиматерии,SCY_antimatterCollector,data.campaign.econ.SCY_antimatterCollector,"Эти крупные космические установки собирают антиматерию, захваченную магнитным полем звезд. Хотя их теплозащитный экран требует регулярного ремонта, само производство достаточно автономно и практически ничего больше не требует. Производит огромное количество топлива, но при этом нуждается в некоторых металлах, редких металлах и тяжелой технике.",graphics/icons/markets/am_fuel_facility.png,30
,,,,,
#Космический нефтеперерабатывающий завод,SCY_spaceRefinery,data.campaign.econ.SCY_spaceRefinery,"Современный нефтеперерабатывающий комплекс, использующий множество точно выровненных зеркал для фокусировки инфракрасного излучения звезды и питания высокопроизводительной печи для переработки руды. Эти специализированные станции обычно также имеют большие доки для размещения флота горнодобывающих судов. Производит металлы и редкие металлы, требует руды, летучих веществ и тяжелой техники.",graphics/icons/markets/ore_refining_complex.png,30
,,,,,
#Гильдия Шпионов,SCY_spyGuild,data.campaign.econ.SCY_spyGuild,"Эта станция — центр разветвленной шпионской сети. Будь то агент, санкционированный правительством, или случайный прохожий, желающий подзаработать, каждый «знает» что-то и готов поделиться этим за соответствующую цену.",graphics/icons/markets/pirate_moot.png,60
