id,trigger,conditions,script,text,options,notes
#RULESET_NAME KOL,,,,,,
flavorTextMarketKoL,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == knights_of_selkie","AddText ""Портовый конкорс слабо оживлен горсткой торговцев, обслуживающих Орден. Луддиты-купцы в неброской одежде ждут встреч с капитанами разгружающихся кораблей. Паломников здесь немного; делами ведают писцы с подчеркнутой деловитостью и строгим следованием порядку. Хотя Рыцари меньше зависят от чужаков, они сохраняют терпимость, обычную для рынков Лудда, хотя бы ради спокойствия. Берега торгового района пестрят домоткаными мантиями луддитского зеленого цвета."" marketFlavorTextColor",,,
bar_descKoL,BarPrintDesc,$faction.id == knights_of_selkie,ShowImageVisual teahouse,"Вы обходите объявления о воздержании и умеренности и входите в бар. В нише кто-то играет на струнном инструменте. Ряд ручных самоваров намекает что чай здесь подают не реже слабого зернового пойла которое предпочитают местные экипажи. Многие посетители за столами и в кабинках выглядят как дальнобойщики или немногочисленные расквартированные неверующие, сбившиеся в самый близкий аналог «логова греха» который тут вообще можно найти.",,
,,,,,,
# relationship level descriptions,,,,,,
,,,,,,
# good,,,,,,
relLevelNeutralKol,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == knights_of_selkie score:1000",FireAll RelLevelMoreDescription,"Вы держитесь в стороне от Рыцарей Лудда и они не препятствуют вашему проходу. Хотя их патрули постоянно наблюдают за вами, связь остается четкой и вежливой.",,
relLevelFavorableKol,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == knights_of_selkie score:1000",FireAll RelLevelMoreDescription,"Запросов о вашем пункте назначения и целях заметно меньше, а иногда их нет вовсе. Вы уважаете их местами архаичные протоколы и они порой даже не кривятся при виде вашего образа жизни.",,
relLevelWelcomingKol,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == knights_of_selkie score:1000",FireAll RelLevelMoreDescription,"Рыцари Лудда смотрят на вас с меньшим подозрением чем на большинство скитальцев, а Церковь приветствует вас в контролируемых ими секторах. Вы хорошо освоились в их порядке и оставляете за бортом те технологии, что тревожат самых осторожных рыцарей.",,
relLevelFriendlyKol,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == knights_of_selkie score:1000",FireAll RelLevelMoreDescription,При проверках безопасности вам оказывают предпочтение перед другими скитальцами и позволяют самому сдерживать чрезмерное использование технологий без тяжелой руки Рыцарей Лудда направляющей вас к праведности.,,
relLevelCooperativeKol,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == knights_of_selkie score:1000",FireAll RelLevelMoreDescription,Рыцари Лудда оказывают большое доверие тому как вы обращаетесь с технологиями во имя праведного дела. Ваше присутствие считают вкладом в безопасность а ваши сенсорные пакеты включают в секторные модели. Даже самые радикальные рыцари признают ваш вклад.,,
#END good,,,,,,
,,,,,,
# bad,,,,,,
relLevelSuspiciousKol,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == knights_of_selkie score:2000",FireAll RelLevelMoreDescription,Вас считают типичным скитальцем; пренебрегающим откровением Лудда и презирающим Церковь. Рыцари Лудда при каждом напряженном контакте напоминают вам о нравственной важности технологической праведности.,,
relLevelInhospitableKol,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == knights_of_selkie score:2000",FireAll RelLevelMoreDescription,"Рыцари смотрят на вас настороженно, подвергают лишним задержкам и проверкам. Кураторы Церкви Галактического Искупления приводят вас как пример того, кто далеко ушел от откровения Лудда; кто потерялся в машине; возможно еще не погублен Молохом, но уже невольный слуга зла.",,
relLevelHostileKol,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == knights_of_selkie score:2000",FireAll RelLevelMoreDescription,"Церковь считает вас прислужником Молоха, рабом демонических технологий. Вы бездумный союзник Маммона, и Рыцари относятся к вам как к агенту зла. Убирайтесь, иначе познаете гнев праведников.",,
relLevelVengefulKol,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == knights_of_selkie score:2000",FireAll RelLevelMoreDescription,"Вы объявлены нечестивым врагом. Инквизитору поручено уничтожить вас, и это назовут делом праведным, справедливым и почетным. В учебниках доктринальной школы Рыцарей для оруженосцев вы фигурируете как слюнявый выродок всех известных демонов, от Маммона, Молоха и Белиала до таких, которых, возможно, придумали специально ради вас.",,
#END bad,,,,,,
,,,,,,
# character interactions (VNSectorlol),,,,,,
,,,,,,
# Grandmaster,,,,,,
,,,,,,
# attempt to talk,,,,,,
defaultGrandmasterGreeting,PickGreeting,$id == kol_grandmaster score:100,FireAll PopulateOptions,"После неопределенно долгого ожидания ответа канал связи соединяет вас с тем, кто выглядит как один из оруженосцев Грандмастера. Хотя это явно не рыцарь, в его голосе достаточно власти, чтобы вы слушали внимательно.",,
,,,,,,
,,,,"""Приветствую,"" говорит оруженосец. ""Грандмастер сейчас не принимает посетителей. Если дело срочное, обратитесь к одному из рыцарей.""",,
defaultGrandmasterRequest,PopulateOptions,$id == kol_grandmaster,,,defaultGrandmaster_Request:Попросить аудиенцию у Грандмастера,
,,!$askedToMeet,,,,
defaultGrandmasterDemand,PopulateOptions,$id == kol_grandmaster,FireAll PopulateOptions,,defaultGrandmaster_Demand:Потребовать аудиенцию у Грандмастера,
,,!$askedToMeet,,,,
defaultGrandmasterMeetingResponseA,DialogOptionSelected,$option == defaultGrandmaster_Request,FireBest GrandmasterMeetingResponse,,,
defaultGrandmasterMeetingResponseB,DialogOptionSelected,$option == defaultGrandmaster_Demand,FireBest GrandmasterMeetingResponse,,,
defaultGrandmasterMeetingResponseAnswer,GrandmasterMeetingResponse,,$askedToMeet = true 0,Ваша попытка добиться аудиенции у Грандмастера остается безрезультатной: оруженосец прямо вам отказывает.,,
,,,FireAll PopulateOptions,,,
,,,,"""Грандмастер не желает, чтобы его беспокоили. Сейчас встретиться с ним могут только те, у кого есть постоянное приглашение.""",,
#END attempt to talk,,,,,,
#END Grandmaster,,,,,,
,,,,,,
# Knightmaster,,,,,,
defaultKnightmasterGreeting,PickGreeting,$id == kol_chaptermaster score:100,ShowPersonVisual,"После некоторого ожидания вы выходите на офис Магистра главы. Вас приветствуют для вида и почти сразу отправляют обращаться к подчиненным, если вы ищете вольные поручения. Судя по всему, прежде чем иметь с ней дела, придется заслужить доверие внутри организации. Возможно, у рыцаря-лидера найдется работа.",,
,,,"ShowDefaultVisual
FireAll PopulateOptions",,,
#END Knightmaster,,,,,,
,,,,,,
# Grandmaster Lackey,,,,,,
