id,type,text1,text2,text3,notes
JYD_vicious,SHIP,"Vicious был разработан JYD в самом начале их захвата Dogstar у пиратов. Поначалу он был авангардом решающих флотских сражений, но со временем огромные ресурсы, уходившие на его строительство, стало трудно оправдывать. Несмотря на колоссальную огневую мощь и защиту, таких кораблей осталось немного, поскольку JYD перешли к более авианосной структуре флотов.",Линкор,,
JYD_cute,SHIP,"JYD разработали Cute как эскорт для своих шахтерских флотов. Несколько пушек точечной обороны, три жесткие точки и малая ракетная установка позволяют ему быть застрельщиком и одновременно помогать добыче.",Тяжелый эсминец,,
JYD_short,SHIP,"Short был создан JYD как легко вооруженный утилитарный носитель дронов. Предустановленные спасательный комплект и три дроновых отсека позволяют ему служить и спасателем, и шахтером.",Тендер дронов,,
JYD_lean,SHIP,"Lean - маневренный авианосец, обеспечивающий легкую истребительную поддержку. Его набор вооружения лучше всего раскрывается при работе группами.",Легкий авианосец,,
JYD_obedient,SHIP,"Obedient - боевой грузовик с повышенной огневой мощью, прочной броней и экранированными грузовыми отсеками.",Боевой грузовик,,
JYD_fluffy,SHIP,"Fluffy - авианосец размером с крейсер, созданный JYD для вывода в бой роев истребителей, при этом он сохраняет приличный собственный урон и хорошее покрытие ПКО.",Авианосец,,
JYD_massive,SHIP,"Massive отходит от обычных проектов JYD, поскольку не имеет шахтерских или спасательных функций. Этот тяжелый авианосец на 6 звеньев с несколькими оружейными позициями предназначен для сопровождения флотов в самые опасные системы.",Боевой авианосец,,
JYD_exuberant,SHIP,"Exuberant - танкер размером с эсминец, предназначенный для перевозки топлива и легкой шахтерской поддержки. Такие корабли незаменимы в дальних исследовательских и добывающих миссиях.",Танкер,,
JYD_muscular,SHIP,"JYD спроектировали Muscular как соперника Prometheus, добавив дронов Termite и увеличив грузовую вместимость ценой небольшого снижения запаса топлива, чтобы лучше поддерживать дальние разведывательные и добывающие флоты.",Супертанкер,,
JYD_lively,SHIP,"Lively - безоружный гражданский корабль, повышающий скорость флота ценой дорогого обслуживания. Дроны Borer делают его идеальным для дальних шахтерских экспедиций.",Буксир,,
JYD_trusty,SHIP,"Trusty получил усиленный корпус, чтобы лучше выдерживать нагрузки при защите шахтерских флотов JYD как в бою, так и при планетарной добыче.",Крейсер,,
JYD_empathetic,SHIP,"Empathetic используется для исследования и перевозки грузов по Сектору. Это один из основных кораблей флотов JYD, экономично добывающих астероиды.",Тяжелый грузовик,,
JYD_happy,SHIP,"Быстрый, приспособляемый, мощный и оснащенный для стычек крупных флотов, Happy должен восприниматься как реальная угроза.",Эсминец,,
