id,type,text1,text2,text3,notes
,,,,,
# STATIONS,,,,,
# Removed from Lyra for brevity #  The advanced technologies involved are the source of great grievance among Luddic theologians, but, in practice, it means that the presence of independent traders and visitors is only barely tolerated.,,
kol_lyra_desc,CUSTOM,"Оплот и командный центр Рыцарей Лудда воплощает их убеждения и компромиссы. Тяжелые батареи и обширные садовые отсеки обеспечивают безопасность множеству верных, которые живут и служат среди пышной зелени даже в холодном вакууме космоса. Военные центры координируют флотилии по всей системе, а сами корабли втайне строятся и заправляются здесь, в рамках официально порицаемых, но фактически терпимых практик.",,"Сады станции Лира видны зелеными пятнами под вашей парковочной орбитой: между форумами-метроплексами, башнями связи, солнечными коллекторами и батареями. Под ними скрыты корабельные кузни и конденсаторы антиматерии, питающие Армаду Рыцарей; невооруженным глазом их не увидеть, но их выдают характерные выбросы нейтрино и других заряженных частиц. Тактический оверлей вашего Tri-pad любезно помечает множество декоративных шпилей как вероятные огневые точки.",
# Removed from Cygnus: Etchings of swans, with wings stylized to resemble ancient kite shields, are visible across the outer plating.,,,
kol_cygnus_desc,CUSTOM,"Высшее призвание Рыцарей Лудда - защита Церкви, и боевая станция Cygnus построена как первая линия системной обороны. Логисты, техники и прочий персонал образуют воинственное гражданское население, живущее по девизу станции: 'Единая вера, вечная эгида.'",,"Боевая станция Cygnus непрерывно гудит деятельностью. Персонал расступается, пропуская нарядные экипажи, спешащие по делам, а всем с заметными кибернетическими имплантами достаются тяжелые взгляды и мрачное бормотание в гарнитуры.",
kol_libra_port_desc,CUSTOM,"Линкор-звезда Libra. Станция, превращенная в колониальный корабль, затем в боевой корабль, а затем снова в станцию. Теперь это лишь порт на диких окраинах Сектора, но каждая ее заклепка мечтает снова уйти к звездам - мечта, ныне мучительно далекая. Годы и битвы сильно износили это когда-то гордое судно, но для некоторых оно все еще остается домом.",,,
mga_station_nomios,CUSTOM,"Когда-то ключевой узел промышленной сети Доминиона, Nomios Rapid Autofab был построен корпорацией Mbaye-Gogol для быстрого прототипирования и передового производства. Станция создавалась для быстрого вывода на свет новейших технологических разработок и до Коллапса была чудом автоматизации и эффективности. В ее обширных производственных отсеках кипели бесчисленные экспериментальные проекты - от деталей роскошных лайнеров до прототипов исследовательских дронов Доминиона.

В циклах после Коллапса станция приспособилась к новой реальности Персеанского Сектора. Вместо упадка NRA заняла устойчивую нишу и теперь тесно сотрудничает с Galatia Academy. Пока Академия ведет исследования и теоретические прорывы, NRA превращает идеи в рабочие прототипы, вдыхая жизнь в то, что иначе осталось бы теорией. Autofab известен способностью в сжатые сроки собирать рабочие модели даже самых экзотических технологий, оставаясь важной частью послеколлапсной технологической экосистемы.",,,
,,,,,
# WEAPONS,,,,,
