id,type,text1,text2,text3,notes
# Weapons,,,,,
,,,,,
,,,,,
Occuklop_Decimator,WEAPON,Встроенное оружие Оккуклоп — автозаряжаемая трубчатая батарея крупных осколочно-фугасных снарядов с дистанционным подрывом. Дециматор эффективно срывает броню и способен уничтожать малые суда одним метким залпом. При неудачном применении резкий всплеск потока может поставить неопытного капитана в невыгодное положение.,Против брони,,
,,,,,
Xhan_Agmad,WEAPON,Пугающе эффективное импульсное энергетическое оружие очередями: Агмад выдаёт разрушительные серии выстрелов. Однако даже энергобанки Фаррек не позволяют в полной мере реализовать его потенциальный длительный темп огня.,Против брони,,
,,,,,
Xhan_Ertshan,WEAPON,"Эртшан — массив труб производства ракет, подключенный к центральному энергокору Фаррек. К недоумению лучших инженеров Императора и учёных всего сектора, система будто просто создаёт новые микрорекеты посредством некоего преобразования энергии в материю.",Универсальное,,
,,,,,
Xhan_Pharrekcore,WEAPON,Фаррек может периодически выпускать импульсы накопленной энергии для перехвата ракет и истребителей. Настоящий ночной кошмар пилотов по всему сектору. Существование такой системы постоянно балансирует между мифом и пугающими свидетельствами очевидцев.,ПВО,,
,,,,,
XHAN_Szar_Point_Defense,WEAPON,"Эффективный лазер ПВО, луч которого, по-видимому, фокусируется через полностью непрозрачный металлоидный материал.",ПВО,,
,,,,,
Xhan_ShockTail,WEAPON,"Разряд корабельного темпорального генератора фокусируется в электронный стержень и рассеивается. Однако при наличии в зоне поражения вражеских ракет или малых судов заземление можно отключить, позволяя наносить повторные темпоральные разрядные удары.",ПВО,,
,,,,,
Stolb_Demo_charge,WEAPON,"Столб стреляет тяжёлыми фугасными зарядами, работающими по таймеру, а не от удара или дистанционного взрывателя, как у сопоставимого оружия этого класса.

Изначально систему разработали в КсанТех для тяжёлых подрывных работ, и она даже применялась в добыче на астероидах. Неудивительно, что её легко переоборудовали в противокорабельное оружие. Сама система нередко сбивает с толку неопытных капитанов: медленно летящие заряды совершенно безвредны, пока не детонируют.",Контроль зоны,,
,,,,,
Gorel_Plas_Proj,WEAPON,"Горел стреляет перегретыми сгустками синт-пластоида, способными проплавлять даже исключительно толстую бронеплиту. Локальный плазменный канал, возникающий из-за чудовищной температуры, способен нарушать работу корабельных систем в точке попадания.

Как и у всего оружия третьего поколения, внутренние системы Горел практически непроницаемы даже для опытных инженеров. Лишь истинные саванты Империи Ксан удостаиваются чести обслуживать такое вооружение. По слухам, сам Божественный Император в совершенстве понимает даже самые сложные системы, явленные AGI.",Универсальное,,
,,,,,
Zakrep_Prox_Burst,WEAPON,"Надёжная тяжёлая автопушка, стреляющая осколочно-фугасными снарядами. Хотя Закреп не создавался специально для этого, им можно вручную перехватывать ракеты и истребители.

Закреп задумывался как простая тяжёлая оружейная система, способная закрывать большинство задач. Как продукт КсанТех, он не добился большого успеха на экспортном рынке из-за недостатка специализации.",Против брони,,
,,,,,
Steizok_Autogun,WEAPON,"Стейзок ведёт стабильный и точный огонь очередями осколочно-фугасных снарядов, быстро срывая броню и разрушая корпус при массированном применении.

Мощная автопушка, широко используемая в Империи Ксан. Обычно считается стандартным оружием Ксан из-за распространенности и простоты применения.",Против брони,,
,,,,,
Igol_point_def,WEAPON,"Игол способен быстро насытить любой участок градом осколочных снарядов и крайне эффективен против даже крупных роев малых ракет.

Несмотря на славу отличного «сбивателя» ракет, Игол плохо справляется при вынужденном бою с кораблями и бронированными истребителями. Осколочные снаряды малого калибра малоэффективны даже против умеренной брони.",ПВО,,
,,,,,
Ugol_Plas_Spit,WEAPON,"Выпуская очереди разогретых пластоидных осколков, Угол обеспечивает эффективное дистанционное подавление большинства целей.

Синт-пластоиды для Угол имеют органическую природу. Система оружия способна производить их автоматически, извлекая следы органики из отходов и энергетических систем корабля.",Универсальное,,
,,,,,
Sharik_Demo_Torp,WEAPON,"Шарик — тяжёлая кассетная ракета, изначально созданная для крупномасштабного подрыва и добычи на астероидах. Как выяснилось, кассетные фугасные заряды столь же эффективно вскрывают корабельные корпуса.

Капитаны Империи Ксан часто используют её как оружие последнего удара. Против крупных щитов она не слишком эффективна, но легко калечит и даже уничтожает многие лёгкие корабли.",Добивание,,
,,,,,
Xhan_Yazer,WEAPON,"Язер — чрезвычайно продвинутое энергетическое оружие, наносящее колоссальный урон коротким импульсом. Из-за огромных энергозатрат использует ограниченный запас энерго-зарядов для подпитки главных энергосистем корабля во время выстрела.

Одно из самых совершенных орудий, явленных Империей Ксан. Язер способен атомарно испарять большинство известных элементов способом, который должен быть невозможен по всем законам термодинамики. По сути, каждый выстрел Язер — чудовищный акт энтропии. Если бог существует, человечество нашло способ заставить его истекать кровью.",Ударное,,
,,,,,
