id,type,text1,text2,text3,notes
#Entities,,,,,
IndEvo_JumpRift,CUSTOM,"Гигантский разрыв в ткани пространства, ведущий в гиперпространство. Он был создан выстрелом Генератора разлома, который переместил планету, когда-то находившуюся здесь, в другую звездную систему.",,,
IndEvo_arsenalStation,CUSTOM,"Заброшенная арсенальная станция, построенная так, чтобы пережить любое вооружение давно погибшего врага. Беглое сканирование показывает, что она холодна и мертва как минимум десятки циклов, возможно сотни. Более тщательный осмотр может дать трофеи.",,,
IndEvo_orbitalLaboratory,CUSTOM,"Заброшенная орбитальная лаборатория. Такие станции строили, чтобы держать экспериментальные технологии подальше от посторонних глаз. Беглое сканирование показывает, что она холодна и мертва как минимум десятки циклов, возможно сотни. Более тщательный осмотр может дать трофеи.",,,
IndEvo_Watchtower,CUSTOM,Этот автоматизированный реликт старой системной обороны Доминиона передает данные наведения ближайшей артиллерии. Зашифрованные данные целей недоступны контролирующей фракции и не раскрывают фактическое местоположение наблюдаемого флота.,,,
IndEvo_artilleryStation,CUSTOM,"Огромное стратегическое оружие системной обороны, построенное Доминионом. Этот колосс забытой технологии способен в одиночку удерживать большую зону. Он действует полуавтономно и атакует любые враждебные цели, замеченные в пределах досягаемости.",,,
IndEvo_Artillery_mortar,CUSTOM,"Огромное стратегическое оружие системной обороны, построенное Доминионом. Этот колосс забытой технологии способен в одиночку удерживать большую зону. Он действует полуавтономно и атакует любые враждебные цели, замеченные в пределах досягаемости.

Оборонительная платформа вооружена мортирой и обрушивает на цели огромный объем фугасных боеприпасов с предельной дистанции.

Старые протоколы безопасности запрещают наводиться на обитаемые районы.",,,
IndEvo_Artillery_missile,CUSTOM,"Огромное стратегическое оружие системной обороны, построенное Доминионом. Этот колосс забытой технологии способен в одиночку удерживать большую зону. Он действует полуавтономно и атакует любые враждебные цели, замеченные в пределах досягаемости.

Оборонительная платформа вооружена ракетной установкой и запускает увеличенные дальнобойные самонаводящиеся РЭБ-ракеты, чтобы перехватывать и замедлять противников.

Старые протоколы безопасности запрещают наводиться на обитаемые районы.",,,
IndEvo_Artillery_railgun,CUSTOM,"Огромное стратегическое оружие системной обороны, построенное Доминионом. Этот колосс забытой технологии способен в одиночку удерживать большую зону. Он действует полуавтономно и атакует любые враждебные цели, замеченные в пределах досягаемости.

Оборонительная платформа вооружена рельсотроном и выпускает несколько чрезвычайно быстрых снарядов на большой дальности.

Старые протоколы безопасности запрещают наводиться на обитаемые районы.",,,
IndEvo_GachaStation,CUSTOM,"Безмолвные кольца этой гигантской автофабрики нависают перед буйной звездой; теплозащита почернела от звездных выбросов. Столпы механизмов, почти готические по своим сложным формам и украшениям, показывают, с каким почтением строили и поддерживали эту старую станцию - что, очевидно, не спасло ее от запустения.",,,
IndEvo_SubspaceStation,CUSTOM,Текст-заглушка - вам стоит скачать все мои моды,,,
IndEvo_AnimalCenter,CUSTOM,"Центры животных, которыми управляет Персеанская Инициатива по Сохранению Природы, - один из немногих примеров независимых станций возле планет, принадлежащих фракциям. Мода на питомцев никогда не проходит, и эти оживленные мини-порты тому подтверждение.",,,
IndEvo_abandonedPetCenter,CUSTOM,"Остов давно заброшенного центра питомцев. Когда-то они встречались часто, но после запустения быстро разрушаются и распадаются, поэтому теперь удивительно редки. Беглое сканирование показывает, что он холоден и мертв как минимум десятки циклов, возможно сотни. Более тщательный осмотр может дать трофеи и редких питомцев.",,,
IndEvo_yeetopult,CUSTOM,"Невероятно простая конструкция, но при этом способна разгонять флот в пространстве с немыслимой скоростью благодаря арканным частицам, создаваемым в Тигле.",,,
IndEvo_crucible,CUSTOM,"До развития локальной корональной добычи человечество использовало естественный вакуум космоса, чтобы создавать искусственные солнца масштаба, пригодного для обычной эксплуатации. Эти конструкции, известные как Тигли, служили одновременно центрами населения и электростанциями, снабжая энергией старые механизмы, охватывавшие целые системы.
Колоссальные ресурсы, вложенные в их строительство, привели к тому, что немногие Тигли пережили наступление гипертеха.",,,
,,,,,
#Switchables,,,,,
IndEvo_base_refining,CUSTOM,"Специализированная версия переработки, которую можно перенастроить для повышенного выхода выбранных ресурсов ценой снижения другого производства. Местные плавильни перерабатывают руды и трансплутониевые руды в металлы и трансплутоники соответственно. Для самых опасных работ обычно используют телеуправляемую робототехнику.",Базовая версия переработки с сбалансированным соотношением металлов и трансплутоников.,,
IndEvo_ore_refining,CUSTOM,"Низкотехнологичная плавильная инфраструктура для извлечения ценных металлов из руды. С трансплутониками и другими редкими рудами работает плохо, но базовая эффективность извлечения металлов выше, чем у обычных плавилен. Это жесткая, жаркая и беспощадная среда, пожирающая людей почти с той же скоростью, что и руду.","Суровый низкотехнологичный перерабатывающий комплекс: больше металлов, но меньше трансплутоников.",,
IndEvo_rare_refining,CUSTOM,"Специализированная высокотехнологичная плавильная инфраструктура для извлечения редких трансплутоников из соответствующих руд. Обычная руда здесь почти не плавится, поскольку автоматизированные печи заточены под экзотическое сырье. Большую часть работ выполняют телеуправляемые роботы.","Специализированный высокотехнологичный перерабатывающий комплекс с повышенным выходом трансплутоников, но сниженной выплавкой металлов.",,
IndEvo_base_mining,CUSTOM,"Металлические и металлоидные руды, органика и летучие соединения требуют тяжелой техники, специальной инфраструктуры и квалифицированной рабочей силы. Такая суровая работа привлекает определенный тип людей, и администрация, не готовая иногда закрывать глаза, может быстро столкнуться с нехваткой желающих.","Базовая версия добычи, извлекающая все доступные ресурсы примерно с одинаковой скоростью.",,
IndEvo_ore_mining,CUSTOM,"Карьерные разработки и шахтные стволы, уходящие глубоко в камень, добывают руду в несколько хаотичной, но масштабной операции. Автопоисковики сосредоточены на распространенных металлических жилах, жертвуя сложными следовыми минералами ради крупных и менее редких залежей. Работа здесь сурова и беспощадна, как и шахтеры, что управляют техникой.","Крупномасштабная добыча, нацеленная на обычные металлические жилы и игнорирующая сложные следовые минералы.",,
IndEvo_rare_mining,CUSTOM,"Крупная добывающая операция по извлечению редких минералов из недр. Специализированные процессы, необходимые для разработки следов и малых жил, чувствительны и зачастую слишком опасны, чтобы вести их параллельно с грубым подходом обычной добычи. Несмотря на более высокий технологический уровень, условия труда по-прежнему требуют свою цену.","Добыча, приоритетно извлекающая следовые металлы и редкие руды с использованием высокотехнологичных методов.",,
IndEvo_volatile_mining,CUSTOM,"Захватывать летучие вещества довольно легко. Делать это с высокой эффективностью, однако, сложно: требуется чувствительное к помехам оборудование, из-за чего крупная добыча или фрекинг почти невозможны. Дополнительный выход от этих высокотехнологичных местных перерабатывающих установок обычно считают оправданным, даже если они потребляют человеческий ресурс не меньше, чем любая другая добыча.",Добыча летучих веществ с использованием крайне деликатного оборудования для захвата и высокоэффективной переработки на месте.,,
IndEvo_organics_mining,CUSTOM,"Фазирование якорных насосов, релятивистское бурение, вытеснение жидкостей странной материей и другие агрессивные методы разработки глубоких органических залежей чрезвычайно прибыльны и эффективны, но почти исключают другие виды добычи из-за колоссального воздействия на среду и потребности в рабочей силе. Работа здесь очень неприятная и привлекает контингент, которого обычно стараются избегать.",Сверхглубокие высокообъемные органические скважины для самых удаленных залежей ценой отказа от других извлекаемых ресурсов.,,
IndEvo_pop_default,CUSTOM,"Базовая инфраструктура, необходимая для поддержания населения: от хлипких орбитальных жилых модулей до мегаполисов и всего между ними.","Это стиль управления по умолчанию, поощряющий медленный рост, стабильность и регулируемый экономический профиль.",,
IndEvo_pop_uw,CUSTOM,"Картель безжалостных преступных семей правит этим обществом железной рукой. Мелкие решения местные боссы принимают по прихоти, а личная удача меняется быстрее, чем кред-палки переходят из рук в руки в бесчисленных игорных притонах. Из-за постоянно меняющегося статус-кво возможно почти все - кроме личной безопасности.","Передает власть на планете преступному картелю: доход снижается при высокой стабильности и растет при низкой. Собирает добровольные пожертвования с торговцев, посещающих систему.",,
IndEvo_pop_rural,CUSTOM,"Население этого общества живет в небольших распределенных деревнях, а не в центральных городах. Большинство товаров производится локально, зачастую по необходимости и из-за слабой инфраструктуры. Жизнь здесь проще и менее комфортна, чем на планетах с сопоставимой численностью, но многим она предпочтительнее из-за общего состояния Сектора. Грязная индустрия в такой среде вызывает сильные протесты.","Создает распределенные деревни вместо городов, повышая рост населения и стабильность. Фермерство дает наркотики и органику, а легкая промышленность - припасы и оружие, причем обе отрасли получают повышенный выпуск. Индустриальные здания дороже в содержании и снижают стабильность, сельские - повышают. Использование предметов для индустрии или ИИ-ядер вызывает нестабильность.",,
IndEvo_pop_hidden,CUSTOM,"Глубоко под поверхностью расположена огромная сеть связанных подземных узлов, вмещающая большую часть населения и промышленности планеты. Проблемы, обычно связанные с воздействием атмосферы, здесь отсутствуют: города защищены породой или водой. Немногие хотят жить в настолько искусственной среде, лишенной возможности смотреть на далекие солнца и проводить жизнь в сырой, темной безопасности.","Строит подповерхностную аркологию для размещения населения. Нивелирует большинство поверхностных опасностей, усиливает оборону, снижает рост и доступность, а также уменьшает выпуск промышленности из-за стесненного пространства.",,
IndEvo_pop_monks,CUSTOM,"Города-монастыри усеяли горы и равнины этой планеты; каждым правит секта со своей идеологией и ценностями, создавая подвижный политический ландшафт, обычно свойственный лишь слаборазвитым обществам. Люди здесь выносливы, нередко имеют боевой опыт, быстро адаптируются к переменам и строго следуют своим убеждениям - что делает их отличными морпехами.","Учреждает монашеские секты для управления населением. Вдвое снижает положительный доход и содержание военных зданий, а также предотвращает активность Пути Лудда. Стабильность планеты не может упасть ниже 3 или подняться выше 7, максимальное население ограничено 5-м размером, а морпехи получают опыт во время размещения здесь. Разные секты иногда предоставляют бесплатные корабли в качестве десятины.",,
IndEvo_pop_resort,CUSTOM,"Прекрасные пляжи и роскошные отели тянутся вдоль берегов планеты, а обширные зоны отдыха покрывают внутренние районы континента. Это место не для жизни, а для впечатлений: здесь есть занятия и локации почти на любой бюджет. Чтобы сохранить среду чистой и привлекательной, промышленность строго ограничена, а жилье стоит непомерно дорого.","Объявляет планету глобальным курортом. Это резко увеличивает фиксированный базовый доход, снижает все текущие расходы на 80% и повышает рост и стабильность других планет системы. Однако курортная планета не может вырасти выше 4-го размера, не поддерживает промышленные здания и имеет только один слот промышленности.",,
IndEvo_pop_corpos,CUSTOM,"Гигантские корпоративные аркологии в неоновом свете возвышаются над трущобами более удачливых, ведь любой, кто живет под корпоративным контрактом, считается немногим лучше раба. Руководство утопает в блеске и роскоши, ховер-кары проносятся над серыми рабочими кварталами, словно напоминая, что возможно все - если работать достаточно усердно. Нет места лучше, чтобы зарабатывать деньги, и нет места лучше, чтобы потерять все, чем ты был.","Передает управление планетой местным мегакорпорациям. Стабильность начинает зависеть от дохода: чем выше доход, тем выше стабильность. Также повышается прибыль, ограничивается длительность сбоев в работе зданий и открываются все промышленные слоты. Однако военные объекты становятся значительно дороже, условия труда дают отрицательный базовый рост, и колония может уменьшаться в размере.",,
IndEvo_pop_helldivers,CUSTOM,"Все будут процветать под бдительным надзором Супер-Администратора, избранного тщательно направляемой волей граждан. Население организовано в пригородные государства, культурные тренды аккуратно курируются, бюрократические процессы отлажены, а обязательная военная служба длительностью шесть циклов обеспечивает устойчивую стабильность, безопасность и гражданское счастье - сейчас и для будущих поколений.","Назначает Супер-Администратора на эту планету. Снижает положительный доход и содержание военных зданий, а также предотвращает активность Пути Лудда. Стабильность планеты не может опускаться ниже 3 или подниматься выше 7. Максимальный размер населения ограничен 5, а морпехи получают опыт во время службы здесь. Эсминцы на хранении переоснащаются модификацией корпуса, повышающей эффективность рейдов, но увеличивающей потери. Доход можно увеличить военными действиями.",,
IndEvo_pop_warhammer,CUSTOM,"Огонь и металл текут по венам огромных ульев-городов, возвышающихся над перерабатывающими комплексами размером со страны. Люди здесь движутся в ритме исполинских молотов, формирующих металл и мечты; они идут вдоль шипящих труб к фабрикам, трудятся, чтобы лить, собирать и выпускать арканные машины, бороздящие звезды - волей артефакторов кузни никогда не остынут.","Устанавливает кабал артефакторов для управления ульями-городами этой планеты. Пока спрос на товары удовлетворен, промышленные здания игнорируют уровень опасности. Экспорт корпусов кораблей дает фиксированный доход и повышенный производственный бюджет за единицу, а время от времени вы получаете экспериментальные корабли. Но учтите: на этом мире не растут культуры, сельские отрасли не процветают, а дефицит снабжения вызывает бунты.",,
IndEvo_pop_outpost,CUSTOM,"Простая архитектура и сборные жилые модули доминируют в главном узле этого малонаселенного форпоста. Иммиграция закрыта, что делает рост невозможным, но позволяет использовать немасштабируемую гражданскую инфраструктуру, которую намного проще обслуживать, чем обычные аналоги. Шаттлы постоянно курсируют, доставляя работников туда, где они нужны, и не задерживаются дольше необходимого.","Анкоридж не может расти и не имеет промышленного потенциала, но отличается более низкими общими затратами на содержание. Анкоридж можно в любой момент перевести на другой тип управления.",,
,,,,,
#Commodities,,,,,
IndEvo_parts,RESOURCE,"Старые детали кораблей, которые деградирующая инфраструктура Сектора уже не способна полноценно производить. Их единственный надежный источник - разборка существующих кораблей. Дефицит этих деталей слабо ограничит строительство новых судов, но серьезно ударит по их качеству.",,,
IndEvo_rare_parts,RESOURCE,"Древние или крайне продвинутые технологии, которые больше нельзя производить в Персеанском Секторе. Эти компоненты необходимы для постройки новых первоклассных кораблей; на открытом рынке ими не торгуют, и именно поэтому верфи-разборки обычно охраняются с особой жестокостью.",,,
IndEvo_pet_food,RESOURCE,"Обычный корм для питомцев самых разных видов: от переработанного синтетического мяса, зерна и фруктов до специализированных сплавов для экзотических экземпляров. Наличие его на борту не строго обязательно, поскольку его часто можно заменить другими товарами, но удобство универсального решения обычно того стоит.",,,
,,,,,
#Weapons,,,,,
IndEvo_cryoartillery,WEAPON,"""Нам удалось воспроизвести ядро этого оружия по молекулярному скану, и оно, похоже, работает, хотя мы по-прежнему не понимаем, как именно. Вполне возможно, что оно в любой момент схлопнется с разрушением, но пока мы подключили его к паре ускоряющих рельс, и первые тесты показывают производительность чуть выше 2/3 от измеренного у оригинала.""","- Выдержка из инженерного журнала, проект «Сноублайнд»",,
IndEvo_degrader,WEAPON,"""Хотя оружие оказалось работоспособным, фактическая эффективность сильно не дотянула до ожидаемой. По какой-то причине оно отказывается накапливать достаточно энергии перед выстрелом, и руководитель проекта решил оставить все как есть после того, как одного технаря дезинтегрировало при попытке найти причину. Новый план - уменьшить раму до размеров, необходимых для достижения наблюдаемого лимита потребления.""","- Выдержка из инженерного журнала, проект «Спитфайр»",,
IndEvo_causalitygun,WEAPON,"""Похоже, каскадные колебания энергии, которые мучили нас всю неделю, исчезли сами по себе без нашего вмешательства. Энергетики сказали, что собирались внести корректировки позже сегодня, так что это были не они. Учитывая, как мало мы знаем о компонентах, с которыми работаем, я бы не удивился, если дело просто в странных фазах луны.""","- Выдержка из инженерного журнала, проект «Эврика»",,
IndEvo_pulsedcarbine,WEAPON,"""Учитывая катастрофические побочные эффекты процессов зарядки конденсаторов рядом с центральным блоком, мы решили перейти на совершенно другую схему: подавать в оружие новые конденсаторные блоки через податчики боеприпасов. Пока это полностью устраняет проблему, но так мы никогда не сможем выйти на пиковые требования системы.""","- Выдержка из инженерного журнала, проект «Параллакс»",,
IndEvo_riftgun,WEAPON,"""Работа с устройством-черным ящиком оказалась опасной, мягко говоря. До установки регулятора у нас было несколько случаев, когда странные разломы возникали из ниоткуда, пока устройство находилось под питанием, и один человек лишился пальца. Еще легко отделался, если спросите меня. Завтра попробуем установить фокусирующий блок: теперь, когда измеряемая мощность стабилизировалась в пригодном для вооружения диапазоне, надеюсь на хороший результат, пока руководитель проекта снова не начал задавать вопросы.""","- Выдержка из инженерного журнала, проект «Кихоул»",,
IndEvo_artillery_missile,WEAPON,"Огромный ракетный массив размером с эсминец, запускающий РЭБ-торпеды, которые рассеивают в большой зоне шрапнель, нарушающую поле привода. Эти ракеты смертельно опасны для кораблей, полагающихся на скорость для уклонения, и стали причиной тысяч медленных смертей в холодных объятиях космоса, когда приводы выходили из строя из-за постоянных помех. Их взрыв перехватывает и перегружает все ближайшие корабли.",,,
IndEvo_artillery_mortar,WEAPON,"Пушка размером с эсминец, осыпающая поле боя дестабилизированной антиматерией. Примитивные или деградировавшие общества в системах с мортирной артиллерией часто используют символику с сияющими красными снарядами как предвестниками смерти, поскольку из-за огромного числа залпов они нередко попадают по планетам. Дальнобойные боеприпасы мощнее тактического вооружения ближнего боя, хотя и оно остается смертельным.",,,
IndEvo_artillery_railgun,WEAPON,"Если бы звук распространялся в космосе, вой этих гигантских катушек был бы слышен даже на орбитируемых ими планетах. Снаряды из металла, превращенного в плазму, летят с немыслимой скоростью и требуют предварительно ионизированных коридоров, чтобы не прорываться в гиперпространство. Стандартный протокол вольных пилотов при встрече с рельсотронной артиллерией - полный форсаж к ближайшей точке прыжка, хотя это еще никого не спасло.",,,
hartpulse,WEAPON,"""Бесконечное нытье по поводу внешнего вида автопульс-лазера подтолкнуло меня переработать его с нуля, сохранив ту же эффективность. Возможно, назвать его в честь парня, который не затыкался о его внешке, было ошибкой.""","- Пайро Фейдж, стажер Галатийской Академии",,
,,,,,
#Terrain,,,,,
IndEvo_mine_belt,TERRAIN,"Полуавтономное самовоспроизводящееся минное поле, распределенное в богатом ресурсами астероидном поясе. Израсходованные мины автоматически заменяются, поэтому поле может сохранять эффективность сотни лет.",,,
IndEvo_mine_field,TERRAIN,"Полуавтономное самовоспроизводящееся минное поле. Израсходованные мины автоматически заменяются, поэтому поле может сохранять эффективность сотни лет.",,,
IndEvo_slowfield,TERRAIN,"Поле из заряженной шрапнели и частиц странной материи, нарушающих стабильность поля привода и вызывающих замедление. Такие поля недолговечны и обычно использовались в качестве боевой части стратегических ракет системной обороны Доминиона.",,,
IndEvo_SmokeCloud,TERRAIN,"Плотное облако из шрапнели, ухудшающей работу сенсоров. Такие облака обычно быстро рассеиваются, поскольку остаточный импульс их создания раздвигает их в стороны, но они все равно полезны для маскировки или как импровизированное препятствие.",,,
,,,,,
#Ships,,,,,
IndEvo_artilleryStation_base,SHIP,"Гигантская многоуровневая тактическая установка, обычно служившая главным якорем общесистемной обороны; артиллерийские станции - настоящий кошмар любого исследователя Сектора. Сооружения эпохи экспансии часто оснащались резервными блоками принятия решений для продолжения работы в случае внезапного отсутствия людей, из-за чего удивительно много таких станций не только пережили Коллапс, но и с беспощадной эффективностью продолжают устраивать засады и нейтрализовать нарушителей на своей территории.

Тысячи старых паукообразных ремонтных дронов ползают по всей поверхности конструкции, чинят, заменяют и охраняют ее под управлением центрального блока решений. Захватить артиллерийскую станцию не так уж сложно после прорыва узла, но, кому бы ни принадлежал машинный разум, без действительных учетных данных Доминиона она никогда не будет полностью под контролем. Риск обычно считают оправданным: владеть артиллерийской станцией - значит владеть звездной системой. Пока машина подчиняется.",,,
IndEvo_artilleryStation_gunModule,SHIP,"Стандартная орудийная платформа с довольно легким контингентом обороны для столь важного объекта, поскольку артиллерийские станции никогда не предполагалось эксплуатировать без эскорта.",,,
IndEvo_artilleryStation_hangarModule,SHIP,"Невероятно крупные, сложные и странно продвинутые встроенные нанокузницы штампуют истребитель за истребителем, бесконечный поток металла из недр станции. Многоногие ремонтные дроны, ползающие и извивающиеся по механизмам, яростно охраняют их, делая любую попытку вмешательства или демонтажа невозможной без риска для жизни всех на станции.",,,
IndEvo_artilleryStation_mortarModule,SHIP,"Это стрелятельное, пиу-пиу",,,
IndEvo_MissileDecoModule,SHIP,"Огромный ракетный массив размером с эсминец, запускающий РЭБ-торпеды, которые рассеивают в большой зоне шрапнель, нарушающую поле привода. Эти ракеты смертельно опасны для кораблей, полагающихся на скорость для уклонения, и стали причиной тысяч медленных смертей в холодных объятиях космоса, когда приводы выходили из строя из-за постоянных помех. Их взрыв перехватывает и перегружает все ближайшие корабли.",,,
IndEvo_MortarDecoModule,SHIP,"Пушка размером с эсминец, осыпающая поле боя дестабилизированной антиматерией. Примитивные или деградировавшие общества в системах с мортирной артиллерией часто используют символику с сияющими красными снарядами как предвестниками смерти, поскольку из-за огромного числа залпов они нередко попадают по планетам. Дальнобойные боеприпасы мощнее тактического вооружения ближнего боя, хотя и оно остается смертельным.",,,
IndEvo_RailgunDecoModule,SHIP,"Если бы звук распространялся в космосе, вой этих гигантских катушек был бы слышен даже на орбитируемых ими планетах. Снаряды из металла, превращенного в плазму, летят с немыслимой скоростью и требуют предварительно ионизированных коридоров, чтобы не прорываться в гиперпространство. Стандартный протокол вольных пилотов при встрече с рельсотронной артиллерией - полный форсаж к ближайшей точке прыжка, хотя это еще никого не спасло.",,,
