id,type,text1,text2,text3,notes
# faction descriptions,,,,,
sindrian_diktat,FACTION,"Sindrian Fuel Company, чаще называемая просто Sindrian Fuel, — компания по производству антиматерийного топлива, основанная после относительно недавней военной интервенции Гегемонии в системе Askonia под командованием бывшего адмирала флота Гегемонии Филлипа Андрады. После блестящей карьеры длиной в несколько циклов Андрада решил наконец исполнить детскую мечту: стать лучшим, черт побери, менеджером заправочной станции по эту сторону Персеанского сектора. К сожалению, Гегемония не слишком обрадовалась потере одного из своих лучших адмиралов (и весьма крупной части сил флота, которыми он тогда командовал) и сделала все, чтобы распространять слухи, будто Sindrian Fuel Company — не более чем прикрытие жесткой военной диктатуры.

Несмотря на постоянные кампании по очернению и попытки дискредитации, Sindrian Fuel уже больше двадцати циклов продолжает обслуживать Персеанский сектор. Конкуренты пытаются это оспорить, но исследования (оплаченные Sindrian Fuel Company) раз за разом доказывают, что синдрианское антиматерийное топливо — лучшее в секторе. А с любимым маскотом семей по всей системе и за ее пределами, Волтёрн-и, волтёрнский лобстер, Sindrian Fuel Company остается триумфом человеческого желания быть собой и следовать своей мечте.",,,
,,,,,
planet_sindria,CUSTOM,"Штаб-квартира и тезка Sindrian Fuel Company, Sindria — сияющая жемчужина топливного производства в системе Askonia и, по сути, во всем Персеанском секторе. Миллионы называют планету домом, живя в подземных ульях-городах. Века добычи изрыли кору Синдрии, а недавние программы «самосовершенствования» помогли сформировать местную базу ремесленной тяжелой промышленности. Колоссальная энергия, собираемая сетью солнечных массивов, запускаемых из-под поверхности масс-драйверами, питает один из лучших в секторе (по заявлению Sindrian Fuel Company) комплексов производства AM-топлива, где синдрианская антиматерия создается по секретному процессу и дистиллируется в фуллереновые оболочки, тщательно смешанные с тяжелым трудом и честной работой (по заявлению Sindrian Fuel Company), превращаясь в стабильные топливные пеллеты, которыми пользуется весь сектор. Настолько хорошо это топливо, что флоты летят за ним с самых дальних уголков Персеанского сектора, чтобы заправить корабли лучшим, черт возьми, топливом по эту сторону миров Ядра (по заявлению Sindrian Fuel Company).",,"Избитая кора этого мира из циклопических обломков, изрезанная каньонами и разломами глубиной в километры, на дневной стороне подвергается мощному облучению, поэтому жилые и промышленные комплексы строятся глубоко под поверхностью. Население Синдрии сосредоточено в нескольких ульях-городах, и Совет по рекламе и маркетингу не устает напоминать всем, насколько хорош бренд Sindrian AM-топливо. Гегемония может изображать Синдрию как мир с отчаявшимся низшим классом под пятой счастливчиков из госбюрократии и спецслужб, но это лишь злобная клевета. Богатство Sindrian Fuel всегда позволяло компании заботиться о жителях Синдрии, создавая бесчисленные рабочие места и возможности карьерного роста.",
planet_cruor,CUSTOM,"Одна из топливных франшиз Sindrian Fuel Company, Cruor всегда имела несчастье конкурировать с собственными «сестринскими» станциями внутри системы. Не будучи ни штаб-квартирой компании, ни домом Волтёрн-и, волтёрнский лобстер, местные заправочные узлы Cruor все равно остаются загруженными, когда очереди на Sindria становятся слишком длинными даже для самых терпеливых клиентов.",,"Кора этого мира сжата и растрескана мощными приливными силами Salus, что вызывает регулярные землетрясения и извержения. Обильные гейзеры летучих газов поддерживают тонкую токсичную атмосферу и в сочетании с железистыми соединениями придают Cruor кровавый оттенок. Гусеничные буровые платформы кочуют по более стабильным провинциям поверхности, выдирая редкие и просто удобные руды на экспорт, а среди шрамов открытых разработок порой видны ржавеющие останки машин. Хотя ходят слухи об условиях в мобильных трудовых лагерях, управляемых верхушкой компании, на деле о всех работниках заботятся и даже выдают бесплатные отпускные дни на Volturn. Рабочим также предоставляется шанс поучаствовать в корпоративной лотерее и лично встретиться с Волтёрн-и, волтёрнский лобстер!",
planet_volturn,CUSTOM,"Хотя Sindrian Fuel Company прежде всего известна антиматерийным топливом, не меньшую славу ей принесли лобстеры. Volturn, родина маскота компании Волтёрн-и, волтёрнский лобстер, — курортный мир, куда весь сектор приезжает попробовать лучших (и заметьте — юридически единственных!) волтёрнский лобстер по эту сторону миров Ядра. Добываемые из сокрушительных глубин мирового океана Volturn, эти лобстеры считаются деликатесом и заполняют плавучие рынки и рестораны по всей планете. В легендарный Сад волтёрнского лобстера, где живет Волтёрн-и, волтёрнский лобстер, очередь расписана более чем на десять циклов вперед: миллионы мечтают встретить маскота Sindrian лично.",,"Volturn задумывался как мир сельского хозяйства и досуга для обслуживания ныне уничтоженного столичного города-луны Opis. Благородно приняв бесчисленных беженцев из Асконианского кризиса, Volturn пережил демографический взрыв, а возможности от Sindrian Fuel Company обеспечили средствами к жизни бесчисленные семьи. На родине (на 100% защищенного авторским правом Sindrian Fuel Company) волтёрнский лобстер работают гигантские рыболовные комплексы, поддерживающие стабильные поставки как на местные рынки и в рестораны, так и на удаленные станции по всей Askonia и дальше. Пожалуйста, не позволяйте слухам о движениях сопротивления, культах и криминальных синдикатах на поверхности Volturn вас отпугнуть. От этого Волтёрн-и, волтёрнский лобстер, любимый маскот Sindrian Fuel Company, грустит.",
planet_umbra,CUSTOM,"Штаб Асконианский заправочный консорциум, местной фракции Antis. Условия труда здесь беспощадны: жесткие дедлайны нужны, чтобы конкурировать со знаменитым на весь сектор синдрианским брендом антиматерийного топлива. Ради скорости срезаются углы, летучие вещества с планеты добываются и отправляются на производство посредственного (по заявлению Sindrian Fuel Company) AM-топлива. ARC также позволил тому, что некоторые назвали бы «пиратами», действовать с Umbra, пытаясь нарушить поставки Sindrian по сети заправочных франшиз.",,"Далеко от звезды Askonia, Umbra — замерзший мир метана и аммиака, где водяной лед подобен камню и встречается в виде горных выступов и валунов. Тонкая атмосфера летучих веществ формируется только на освещенной стороне планеты и снова замерзает на темной; со временем большинство кратеров заполняется таким «снегом». Идет также добыча более тяжелых материалов из бедной каменистой мантии, скрытой под километрами ледяной коры. Жилые зоны прорыты глубоко под землей: жизнь на Umbra сурова, и мало кто выбрал бы ее добровольно. Редкий поток конкурентов Sindrian Fuel из других систем все же привозит столь необходимые припасы и надежду однажды затмить синдрианское антиматерийное топливо.",
planet_nachiketa,CUSTOM,"Этот мир был выбран бюрократами Домена для размещения одного из AM-топливных комплексов сектора, потому что не имел особой ценности кроме выгодного положения на оси дальней экспансии. За ростом трафика от топливного узла подтянулись промышленность и портовые мощности, облепившие массивный бронированный, наполовину заглубленный завод, словно ракушки. Крупное столкновение в Первой войне ИИ привело к опустошению этих портов из-за тактической детонации запасов AM: Гегемония одержала победу, но инфраструктура Nachiketa была искалечена. После катастрофы Первой войны ИИ консорциум военных офицеров и промышленных магнатов приобрел контрольный пакет AM-комплекса. Этот консорциум, названный Nachiketa Fuel Traders Incorporated, ныне обладает полной монополией на производство AM-топлива в пределах Гегемонии и остается одним из ключевых производителей жизненно важного звёздное топливо в секторе, уступая только Sindrian Fuel Company — факт, который безмерно раздражает совет директоров.",,"Nachiketa Fuel Traders Incorporated, сокращенно NFT, Inc, была создана для укрепления местных поставок AM-топлива для флотов Гегемонии. То, что начиналось с одного завода на Nachiketa, со временем превратилось в обширную сеть цепочек и логистических линий по всему пространству Гегемонии. Скупая конкурирующие сети и корпорации, NFT, Inc. взяла под контроль почти все, что связано с AM-топливом в Гегемонии, обеспечивая флотам Гегемонии достаточные объемы топлива для работы звездных кораблей.",
station_sindria_sindrian_fuel,CUSTOM,"Главная франшизная станция Sindrian Fuel Company: бесчисленные флоты ежедневно прибывают сюда на дозаправку. Корабли идут со всех концов миров Ядра и даже дальше, поэтому очереди, по сообщениям, действительно огромны.",,,
,,,,,
