id,type,text1,text2,text3,text4,text5,notes
,,,,,,,
,,,,,,,
,,,,,,,
###Abyss,,,,,,,
,,,,,,,
##Rework,,,,,,,
,,,,,,,
rat_abyss_sensor,CUSTOM,"Высокоточный наблюдательный массив эпохи Домена, способный видеть даже в глубочайших слоях Бездны гораздо дальше, чем любой отдельный флот. Его сенсоры освещают то, что иначе казалось бы почти полностью радиомолчаливым.",,,,,
rat_decaying_abyss_sensor,CUSTOM,"Высокоточный наблюдательный массив эпохи Домена, способный видеть даже в глубочайших слоях Бездны гораздо дальше, чем любой отдельный флот. Похоже, он находится в радиомолчании.",,,,,
rat_abyss_photosphere,CUSTOM,"Этот аномальный объект, похоже, выполняет активный синтез с бездновой материей, собираемой вокруг себя. Он почти не выделяет тепла или радиации, но излучает стабильный свет.",,,,,
rat_abyss_decaying_photosphere,CUSTOM,Угасающий свет в огромном море пустоты; даже высокоточные сенсоры почти не способны его зафиксировать. Разложение может быть связано с низкой плотностью бездновой материи в этом регионе.,,,,,
rat_abyss_photosphere_sierra,CUSTOM,"Этот аномальный объект, похоже, выполняет активный синтез с бездновой материей, собираемой вокруг себя. Он почти не выделяет тепла или радиации, но излучает стабильный свет.",,,,,
rat_abyss_colossal_photosphere,CUSTOM,"Огромная фотосфера, возможная лишь из-за местной концентрации бездновой материи, излучает колоссальный объем света в окружающий регион Бездны. Несмотря на возросшую мощность, интенсивная радиация, похоже, не оказывает на флот негативного влияния.",,,,,
,,,,,,,
,,,,,,,
#Boss Locations,,,,,,,
rat_abyssal_shipyard,CUSTOM,"Громадный комплекс с сотнями отдельных секций для постройки и модификации кораблей, однако сейчас он кажется неактивным.",,,,,
rat_abyss_research_complex,CUSTOM,"Мегаструктура, объединяющая сотни научных приборов, исследовательских площадок и центров связи для изучения местной среды и координации исследований Бездны.",,,,,
,,,,,,,
#Primordial,,,,,,,
rat_abyss_primordial_activator,CUSTOM,"Станция неизвестного назначения; похоже, через равные интервалы она испускает незначительные импульсы энергии.",,,,,
rat_abyss_primordial_fabricator,CUSTOM,"Бездновый фабрикатор; первичное сканирование подтверждает, что его состояние заметно лучше, чем у аналогов, разбросанных по глубинам.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
#Items,,,,,,,
rat_abyssal_matter,RESOURCE,"Чистая и рафинированная форма бездновой материи, значительно более насыщенная энергией, чем образцы из окружающей среды. Вряд ли в глубинах остались мощности, позволяющие создать новые партии этого материала. При контакте с веществом и радиацией он демонстрирует разнообразные реакции.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
rat_fracture,CUSTOM,"Разлом пространства-времени, будто прорывающий путь из гиперпространства в иное измерение. Сенсоры фиксируют длины волн ранее не зарегистрированных типов материи.",,,,,
rat_abyss_fracture_small,CUSTOM,"Область схлопнувшегося пространства, возникшая из-за принудительного выхода из глубин Бездны и образовавшая временный проход туда, откуда прибыл флот.",,,,,
