id,trigger,conditions,script,text,options,notes
#RULESET_NAME IndEvo,,,,,,
,,,,,,
#Roider Tutorial,,,,,,
,,,,,,
IndEvo_roiderTutorial_begin,BeginFleetEncounter,"$IndEvo_roider_tutorial score:10000
!$IndEvo_roider_tutorial_complete","AddText ""You're being hailed."" highlight
$hailing = true 0",,,
IndEvo_roiderTutorial_intro,OpenCommLink,"$entity.IndEvo_roider_tutorial score:1000
!$entity.IndEvo_roider_tutorial_complete","SetTextHighlights ""five Gravburst missiles""
","Потрепанный флот входит в зону связи, корпуса обожжены и усеяны кратерами. Голос в эфире сухой и надломленный, будто недели лишений выжгли из него весь комфорт.

""Имя - $personName. Независимый ройдер. Слушай, не буду тратить твое время, какие-то пиратские ублюдки прыгнули на нас за кольцом. Утащили все съедобное. А пусковые трубы проверить не додумались.""

""У нас осталось пять ракет Gravburst, еще в боеготовности. Стоят кучу кредитов, но есть их нельзя. Мы сдохнем от голода.""","0:IndEvo_roiderTutorial_listenOffer:Ракеты в обмен на припасы - так?
1:IndEvo_roiderTutorial_listenOfferDick:И почему это моя проблема?
2:IndEvo_roiderTutorial_ignoreOffer1:Потянуться к разрыву связи",
IndEvo_roiderTutorial_listenOffer,DialogOptionSelected,$option == IndEvo_roiderTutorial_listenOffer,"SetTextHighlights ""$entity.IndEvo_supplyTradeAmt units""
AddTextSmall ""You have $player.supplies supplies available"" highlight","$personName кашляет. Тихое шипение намекает, что часть системы жизнеобеспечения доживает последние часы.

""Отдам все за $IndEvo_supplyTradeAmt единиц ваших припасов. Эти ракеты стоят в разы больше, но наши жизни тоже чего-то стоят.""

""И еще. На систему идет астероидный рой. Крупный. Накроет через пару дней, один из типов с ядрами-фрагментами. На них налипли сокровища. Стреляй ракетами по толстым блестящим глыбам и вернешься домой с королевской добычей.""","0:IndEvo_roiderTutorial_acceptOffer:Звучит честно - договорились.
1:IndEvo_roiderTutorial_rejectOfferFinal:Разорвать связь",
IndEvo_roiderTutorial_listenOfferDick,DialogOptionSelected,$option == IndEvo_roiderTutorial_listenOfferDick,,"""На систему идет огромный метеорный шторм. На этих ракетах ты отобьешь то, что отдашь нам, тысячекратно, мое предложение реально выгодное.""",0:IndEvo_roiderTutorial_listenOfferAfterRejectingOnce:Ладно - что именно?,
,,,,,,
IndEvo_roiderTutorial_ignoreOffer1,DialogOptionSelected,$option == IndEvo_roiderTutorial_ignoreOffer1,,"Вы тянетесь отключить связь.

""Погоди. Пожалуйста, просто выслушай,"" выпаливает $personName, чуть слишком быстро.

""Идет огромный метеорный шторм, на этих ракетах ты отобьешь отданное нам тысячекратно, просто дослушай.""",0:IndEvo_roiderTutorial_listenOfferAfterRejectingOnce:Говори.,
IndEvo_roiderTutorial_listenOfferAfterRejectingOnce,DialogOptionSelected,$option == IndEvo_roiderTutorial_listenOfferAfterRejectingOnce,"SetTextHighlights ""$entity.IndEvo_supplyTradeAmt units""
AddTextSmall ""You have $player.supplies supplies available"" highlight","$personName кашляет. Тихое шипение намекает, что часть системы жизнеобеспечения доживает последние часы.

""Отдам все за $IndEvo_supplyTradeAmt единиц ваших припасов. Эти ракеты стоят в разы больше, но наши жизни тоже чего-то стоят.""

""Тот астероидный рой? Крупный. Ударит через пару дней, тип с ядрами-фрагментами. На них полно добычи. Стреляй ракетами по жирным блестящим кускам и вернешься домой с королевским кушем.""","0:IndEvo_roiderTutorial_acceptOffer:Звучит честно.
1:IndEvo_roiderTutorial_rejectOfferFinal:Нет - не думаю.",
,,,,,,
IndEvo_roiderTutorial_acceptOffer,DialogOptionSelected,$option == IndEvo_roiderTutorial_acceptOffer,"AddRemoveAnyItem SPECIAL IndEvo_consumable_missile_concussive 5
RemoveCommodity supplies $entity.IndEvo_supplyTradeAmt
$entity.IndEvo_roider_tutorial_complete = true
IndEvo_RegisterTutorialMeteorIntel
","$personName заметно выдыхает. ""Спасибо. С этим мы дотянем до дома.""

""Насчет роя. Не лезь ему на траекторию. Двигайся быстро и держи экраны востро. Жирные цели светятся на радаре, их легко узнать.""

Вы оформляете обмен. Ройдеры передают целеуказание и коды авторизации. Ракеты перегружают через боевую баржу.",0:cutCommLinkNoText:Разорвать связь,
IndEvo_roiderTutorial_rejectOfferFinal,DialogOptionSelected,$option == IndEvo_roiderTutorial_rejectOfferFinal,"$entity.IndEvo_roider_tutorial_complete = true
$entity.IndEvo_roider_tutorial_rejected = true","$personName смотрит на вас с презрением.
""Значит, оставляешь нас умирать. Чего и ожидал.""

""Надеюсь, ты сам сдохнешь от голода в холодной пустоте.""
$heOrShe разрывает связь.",0:cutCommLinkNoText:Продолжить,
,,,,,,
IndEvo_roiderTutorial_repeat_accept,OpenCommLink,$entity.IndEvo_roider_tutorial_complete score:1000,"SetShortcut cutCommLink ""ESCAPE""","На экранах появляется знакомое лицо $personName.

""Мы уже идем домой. Удачи с тем астероидным роем. Помни, блестящие глыбы лучше сбивать ракетами, но можешь и просто влетать в них, тоже вариант.""",0:cutCommLinkNoText:Разорвать связь,
IndEvo_roiderTutorial_repeat_reject,OpenCommLink,"$entity.IndEvo_roider_tutorial_complete score:1000
$entity.IndEvo_roider_tutorial_rejected","SetShortcut cutCommLinkNoText ""ESCAPE""
$entity.ignorePlayerCommRequests = true","На экранах появляется знакомое лицо $personName.

""Пришел позлорадствовать? Сдохни в канаве.""
Связь обрывается.",0:cutCommLinkNoText:Продолжить,
,,,,,,
#missiles,,,,,,"2 Stages: Transponder and Confiscation. Run in order, and skippable in order for 1 sp each"
#Caught after use without transponder,,,,,,
IndEvo_missile_caughtAfterUseBegin,BeginFleetEncounter,"$missile_chasingPlayerMissileUse score:1000
$missile_didAlready","$missile_didAlready = true 0
MakeOtherFleetAggressive missileUse false
unset $ignorePlayerCommRequests
$missile_confirmedOffenseCount++ 14
$missileUseCaughtConv = true 0
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
OpenComms",,,
IndEvo_missile_openComm_knowsPlayer,OpenCommLink,$entity.missileUseCaughtConv score:100,"AddText ""\""Deplyoying long-range strategic munitions in civilized $faction volumes is against the law. You're hereby ordered to submit the entirety of your arsenal for confiscation!\""""",,"0:tOff_comply:Подчиниться и подготовиться к досмотру
1:IndEvo_missile_attemptSPTalk:Попробовать отговориться
2:tOff_refuse:Отказаться и разорвать связь",
IndEvo_missile_openComm_doesNotKnowPlayer,OpenCommLink,"!$entity.patrolAllowTOff
$entity.missileUseCaughtConv score:100
!$entity.knowsWhoPlayerIs","AddText ""\""Unknown $shipOrFleet, identify yourself! Deplyoying long-range strategic munitions in civilized $faction volumes is against the law. You're hereby ordered to turn your transponder on and submit the entirety of your arsenal for confiscation!\""""
AdjustRep $faction.id TRANSPONDER_OFF
AdjustRepActivePerson TRANSPONDER_OFF
SetStoryOption avoid_scan 1 avoidCargoScan ui_char_spent_story_point ""Talked your way out of a confiscation order""",,"0:tOff_comply:Включить транспондер и подчиниться
1:IndEvo_missile_attemptSPTalk:Попробовать отговориться
2:tOff_refuse:Отказаться и разорвать связь",
,,,,,,
IndEvo_missile_openComm_refuseConfiscation,DialogOptionSelected,$option == missile_refuse,"$entity.ignorePlayerCommRequests = true 0
unset $entity.transponderOffConv
AdjustRep $faction.id TRANSPONDER_OFF_REFUSE
AdjustRepActivePerson TRANSPONDER_OFF_REFUSE
MakeHostileWhileTOff tOff true 7
ShowDefaultVisual
EndConversation
$sourceMarket.smugglingScanTimeout = true 30",,,
,,,,,,
#Crucible with colony,,,,,,
IndEvo_crucible_market_open,OpenInteractionDialog,"$hasMarket
$IndEvo_crucible score:100","ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen","Недавно восстановленные огни мерцают так, будто уже состарились, освещая облака пыли, пока ваш шаттл идет по индустриальным воздушным коридорам. За порогом темных, тесных проходов открывается жилой ангар, а механизмы наведения, похожие на горгулий, наблюдают почти с презрением, пока вы направляетесь к оживленным посадочным площадкам.

Персонал службы управления полетами звучит бодро, но сама архитектура превращает их дружелюбие во что-то почти зловещее.",,
#IndEvo_crucible_market_flavourTextEnabled,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
!$crucible_introTextShown",$crucible_introTextShown = true 0,"Recently restored lights flicker on as if already ancient, illuminating clouds of dust as your ship traverses the industrial flightways. Crossing the threshold of the dark, claustrophobic corridors, a residential hangar opens up, the gargoyle-like guidance mechanism watching in contempt as you make your way towards the busy landing pads. 

While the personnel manning flight control sounds chipper, the architecture turns their friendly speech into something almost foreboding.",,
IndEvo_crucible_market_activate,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
!$tag:crucible_enabled",,,0:IndEvo_crucible_startActivate:Посетить сердце Горнила,
IndEvo_crucible_market_addTravelOptionPoint,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
$tag:crucible_enabled",,,IndEvo_crucible_addTravelOptions:Посетить Центральный пульт,travel options 
