id,type,text1,text2,text3,notes,
dpl_phase_lab,FACTION,"Фазовая лаборатория — фракция, сформированная военным НИИ, работавшим на флот Доминиона и занимавшимся исследованиями фазового пространства (Фазовая лаборатория Домена). Во время Коллапса институт потерялся в абиссали Орион–Персей. Из-за природы абиссали и нехватки топлива им потребовалось два столетия, чтобы выбраться и добраться до центральных миров. В пути они столкнулись с флотами дрон-кораблей, потеряли множество людей, что стало причиной их десятилетней вражды с корпорацией Три-Тахион. Население Фазовая лаборатория — десятки миллионов, в основном учёные, экипажи флота и персонал снабжения. Офицерские звания сохранены по образцу флота Доминиона, но новорожденные граждане могут поступать только во флот Фазовая лаборатория, а не во флот Доминиона. Как фракция Фазовая лаборатория заботится о гражданских и продолжает исследования фазового пространства.

Фазовая лаборатория — мирная фракция, склонная решать вопросы дипломатией; она официально признаёт право других фракций на саморегуляцию. Гражданская структура довольно свободна: при отсутствии грубых нарушений доминионных регламентов жители могут действовать по своей воле. Однако флот Фазовая лаборатория полностью следует Военным статьям флота Доминиона, которые значительно строже. В принятии решений сохраняется демократический порядок: все важные решения проходят проверку комитета и только после этого вводятся директором Лаборатории (лидером Фазовая лаборатория). В чрезвычайные времена применяются чрезвычайные меры, поэтому Фазовая лаборатория также участвует в торговле, чтобы финансировать исследовательские проекты.",,,,
dpl_fluxdisruptor,SHIP_SYSTEM,"На короткое время перегружает вражеский корабль в непосредственной близости.

Система Разрушитель, разработанная Фазовая лаборатория. Она формирует очень узкий фазовый всплеск с помощью специальной независимой фазовой катушки — фазовый резонатор. Принцип сложен, но упрощённо так: при активации система рекурсивно заряжает катушку до резонанса с фазовым пространством, затем вбрасывает резкий энергетический импульс, дестабилизируя состояние резонанса. Это вызывает сильную флуктуацию в фазовом пространстве (фазовый всплеск) и генерирует большой поток в резонаторе. Получившийся всплеск имеет очень малую дальность и может воздействовать только на одну выбранную цель. Но если он попадает в корабль, то, независимо от того, находится цель в фазе или в физическом пространстве, все её системы гарантированно перегружаются на минуту.",Наступательное,На короткое время перегружает очень близкий вражеский корабль.,,
dpl_phase_lightning,SHIP_SYSTEM,"Выпускает фазовую молнию, наносящую энергетический и ЭМИ-урон ближайшим вражеским кораблям.

Система фазовая молния — ЭМИ-ударный комплекс разработки Фазовая лаборатория. Она создаёт мощные разряды, формируя в фазовом пузыре крупные скопления заряда и выводя из пузыря энергетические дуги для выстрела. Фазовые молнии несут больше энергии, чем обычные ЭМИ-дуги, поэтому бьют чуть дальше и наносят больший урон.",Особое,"Выпускает фазовую молнию, наносящую энергетический и ЭМИ-урон ближайшим вражеским кораблям.",,
dpl_energyfeed,SHIP_SYSTEM,"Включает продвинутую и сложную систему, ускоряющую процесс зарядки энергетического оружия. Упрощённо: набор малых фазовых катушек ускоряет локальный ход времени возле энергетических орудий в 2 раза, в результате то же количество потока даёт примерно 1.5-кратный прирост наносимого урона. После использования системе требуется охлаждение и калибровка.",Наступательное,Снижает стоимость по потоку и ненадолго повышает скорострельность всего энергетического оружия.,,
dpl_phase_enhanced_shield,SHIP_SYSTEM,"Включает продвинутую систему, перенаправляющую поток от генераторов щита в тороидальные массивы фазовых катушек. Для её работы необходимо отключить вооружение, чтобы высвободить энергию. Это резко повышает эффективность щита, но массив со временем генерирует жёсткую нагрузку.",Оборонительное,"Сводит урон по щитам к минимуму, но во время работы генерирует жёсткую нагрузку.",,
dpl_mote_strike,SHIP_SYSTEM,"Индуцирует крупные высокочастотные моты, наносящие вражеским кораблям энергетический и ЭМИ-урон. Для прохода таких крупных мотов в наше пространство используется фазовая молния, создающая пространственный разрыв. Можно применять в фазе. Моты автоматически притягиваются к целям.",Наступательное,Телепортирует крупный высокочастотный мот в выбранную область. Можно использовать в фазе.,,
dpl_eternal_instant,SHIP_SYSTEM,Сильно ускоряет ход времени на борту корабля. При использовании генерирует значительный поток. Для работы системы вооружение корабля должно быть отключено ради выделения энергии. Остальная информация по системе засекречена.,Особое,"Ускоряет ход времени на корабле в 10 раз, но отключает вооружение.",,
dpl_relativity_targeting,SHIP_SYSTEM,"система наведения ОТО — специальная активная система наведения, увеличивающая дальность всего неракетного оружия на 80% и генерирующая мягкую нагрузку во время работы. GR означает общая теория относительности: система использует данные тензорного гравитационного поля для улучшения наведения. Однако при её работе корабль может идти только на 20% максимальной скорости, иначе собственная скорость даёт большие погрешности измерений. После выключения требуется 5 секунд калибровки перед повторным включением.",Наступательное,"Увеличивает дальность неракетного оружия, но снижает максимальную скорость корабля.",,
dpl_mote_device,SHIP_SYSTEM,Высокочастотные энергетические моты наносят кораблям тяжёлый ЭМИ-урон и уничтожают истребители и ракеты. Активация системы создаёт временную точку-приманку для мотов. Без приманки моты автоматически атакуют ближайшие ракеты и истребители; при установке приманки на вражеский корабль переключаются на него.,Особое,Энергетические моты наносят тяжёлый ЭМИ-урон кораблям и уничтожают истребители и ракеты.,,
dpl_missileflux,SHIP_SYSTEM,"Снижая мощность двигателей и отключая защитную систему, специальные потоководы этого корабля резко уменьшают поток, генерируемый ракетным вооружением, и повышают урон ракет.",Наступательное,"Отключает защиту и снижает скорость, чтобы уменьшить поток от ракетного оружия, затем повышает урон ракет.",,
