name,id,planetary,decivRemove,script,desc,icon,order
,,,,,,,
Контроллер спрайтов станции (скрыто),sprite_controller,,FALSE,boggled.campaign.econ.conditions.Sprite_Controller,Скрытое состояние для управления сменой спрайтов станции при изменении размера населения. Значок не требуется.,graphics/icons/conditions/blank_img.png,5000
Контроллер терраформирования (скрыто),terraforming_controller,,FALSE,boggled.campaign.econ.conditions.Terraforming_Controller,Скрытое состояние для управления проектами терраформирования. Значок не требуется.,graphics/icons/conditions/blank_img.png,5000
Тесные отсеки,cramped_quarters,,FALSE,boggled.campaign.econ.conditions.Cramped_Quarters,"Космические станции могут с комфортом размещать лишь население умеренного размера. По мере роста населения условия жизни ухудшаются из-за нехватки пространства, что сдерживает дальнейший рост.",graphics/icons/conditions/cramped_quarters.png,5000
,,,,,,,
Нет атмосферы,no_atmosphere,TRUE,,boggled.campaign.econ.conditions.Boggled_No_Atmosphere_Overwrite,"На $marketName отсутствует заметная атмосфера. Его поверхность подвергается жесткому воздействию космоса, постоянному потоку радиации и микрометеоритов.",graphics/icons/markets/atmosphere_none.png,27
,,,,,,,
Разрозненные руины,ruins_scattered,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"До Коллапса этот мир был лишь слегка затронут великим проектом Доминиона. От него остались только разрозненные разбитые купола, возможно скрывающие забытые запасы ценных материалов.",graphics/icons/markets/ruins_scattered.png,100
Обширные руины,ruins_widespread,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"По всему $marketName встречаются руины, всплески радиационных источников и характерный приглушенный радарный отклик вспененного керамметалла - свидетельства небольшого, но целенаправленного колонизационного проекта позднего периода экспансии Доминиона.",graphics/icons/markets/ruins_widespread.png,100
Крупные руины,ruins_extensive,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"По поверхности $marketName разбросаны руины городов: из их разрушенных центров тянутся разбитые дороги и крошащиеся линии маглева к остовам фабрик, аквапонических куполов и башен связи.",graphics/icons/markets/ruins_extensive.png,100
Гигантские руины,ruins_vast,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$marketName покрыт гигантскими руинами: города, фабрики, шахты, фермы, дома. Мертвые здесь в ужасающем изобилии, переплетенные с пригодными для спасения материалами, товарами, инструментами и оружием. Этот мир - гробница гордыни проекта Доминиона по галактической колонизации и гегемонии.",graphics/icons/markets/ruins_vast.png,100
,,,,,,,
Орбитальный массив отражателей,solar_array,TRUE,,boggled.campaign.econ.conditions.Boggled_Solar_Array_Overwrite,"У этой планеты на орбите размещен массив солнечных экранов или зеркал, тщательно настроенный так, чтобы приблизить условия на поверхности к терранской норме.",graphics/icons/markets/solar_shade.png,101
