id,type,text1,text2,text3,text4,text5,notes
uw_tpc,WEAPON,"В отличие от Thermal Pulse Cannon, облегчённый вариант имеет куда меньший блок конденсаторов. За компактность приходится платить: лёгкая версия не может накапливать столько заряда, сколько её более крупный собрат. И всё же Light TPC остаётся на редкость мощной оружейной системой.",Штурмовое,,,,
uw_hellfire,WEAPON,"Это гигантское орудие, само по себе размером с эсминец, содержит три модифицированные Thermal Pulse Cannon. Несмотря на свои размеры, Hellfire способен выдавать колоссальный поток энергетических снарядов.

Hellfire Cannon — детище главного инженера Fabrique Orbitale, впоследствии ставшего предателем. Будучи одним из конструкторов, отвечавших за класс Infernus, он внёс свой вклад именно этим впечатляющим линкороубийцей. Для питания орудию требуется выделенный канал, идущий напрямую к капитальному флюкс-ядру; даже в таком случае оно способно вести огонь лишь полторы секунды, прежде чем достигает критической температуры.",Штурмовое,,,,
uw_diablo,WEAPON,"Эта модифицированная Hellfire Cannon содержит три Thermal Pulse Cannon полной мощности. Несмотря на свои размеры, Diablo способен выдавать сокрушительный поток энергетических снарядов.",Штурмовое,,,,
uw_prototype_gauss,WEAPON,"Редкий и мощный, этот прототип варианта gauss cannon оптимизирован под короткие всплески огневой мощи. Более поздняя и куда более распространённая серийная модель имеет большую дальность и более высокий урон за выстрел, однако этот ранний прототип в конечном счёте оказывается разрушительнее в бою.

Немногим техникам выпадал шанс осмотреть это редкое оружие: оно слишком нестабильно и не работает ни на каких кораблях, кроме неуловимого Shadowclaw. Время от времени на техфорумах голосети вспыхивают споры о принципах его работы, но к единому мнению никто так и не пришёл.",Ближняя поддержка,,,,
uw_shredder,WEAPON,"Роторная пушка, встроенная в корпус Revolver и перепрошитая для поражения ракет, а также малых кораблей и крупных боевых судов. Крайне эффективна против небольших целей и оголённого корпуса.",,,,,
uw_needler_f,WEAPON,Выпускает очереди мелких стрелок с высокой скорострельностью. Облегчённая версия корабельного Light Needler.,,,,,
,,,,,,,
uw_sidecar,SHIP,"Странная конструкция: Sidecar откровенно плох почти во всём и нередко становится смертельной ловушкой для бедолаг, набитых в его тесное нутро как сельди в банке. Дёшево и одноразово.",,,,,
uw_infernus,SHIP,"Infernus — высший символ неповиновения в Персеанском секторе, предвестник анархии и вестник грядущей расплаты. Когда-то безобидный харвестер, баржа для утиля и перерабатывающий корабль, Infernus превратился в величественный боевой вагон, способный поддерживать целый флот. Оснащён Hellfire Cannon — огромной оружейной системой, способной сравниться с первым залпом TPC у Onslaught.",,,,,
uw_barbarian,SHIP,"Barbarian, полностью оправдывая своё имя, представляет собой по большей части неудачную баллистическую переделку Aurora-класса. Он увешан оружием и хорошо бронирован, но страдает от слабого флюкса и по-настоящему неудобной схемы вооружения. Настоящее уродство.",,,,,
