id,type,text1,text2,text3,notes
,,,,,
prisoner,RESOURCE,"Высокоценный военнопленный. Обменяйте его на станции другой фракции, чтобы улучшить отношения вашей фракции с ней, либо потребуйте выкуп в кредитах.",,,
agent,RESOURCE,"Тайный оперативник, способный вмешиваться в дипломатические отношения других фракций или дестабилизировать их рынки.",,,
saboteur,RESOURCE,"Оперативник-диверсант. Может повреждать резервные флоты на рынках или уничтожать запасы продовольствия.",,,
plastics,RESOURCE,"Синтетические полимеры на углеродной основе, легко формуемые и подходящие для множества применений.",,,
composites,RESOURCE,"Материалы из чрезвычайно прочных волокон органического происхождения, используемые, например, в сверхпроводниках и сверхпрочных конструкционных элементах.",,,
,,,,,
#star_blue,PLANET,"Редкая звезда главной последовательности класса B: еще не гигант, но уже очень яркая и недолговечная.",,,
#star_yellowwhite,PLANET,"Звезда главной последовательности класса F, немного крупнее Солнца.",,,
#star_bluewhite,PLANET,"Звезда главной последовательности класса A, умеренно крупнее Солнца. Температура поверхности — от 7600 до 11 500 K.",,,
star_purple,PLANET,Фиолетовая звезда,,,
star_dark,PLANET,Темная звезда,,,
star_green,PLANET,Зеленая звезда,,,
star_greenwhite,PLANET,Зелено-белая звезда,,,
,,,,,
#tundra,PLANET,"Холодная заснеженная планета, едва достаточно теплая для существования части растительной и (в очень ограниченном объеме) животной жизни, особенно в летние периоды. Большую часть поверхности занимает вечная мерзлота.",,,
#terran-eccentric,PLANET,"Планета, приливно захваченная своей звездой. Грамотное применение солнечных экранов и зеркал позволяет частичную колонизацию и добычу ресурсов даже на дневной и ночной сторонах, однако большая часть населения всё равно сосредоточена в узкой полосе жизни вдоль терминатора.",,,
#barren-desert,PLANET,"Мир, едва пригодный для органической жизни: сухой, с пыльной токсичной атмосферой и сильным солнечным излучением. Чтобы выжить, не говоря уже о процветании вне герметичных куполов, нужен особенно выносливый искусственно выведенный вид.",,,
,,,,,
omnifactory,CUSTOM,"Древний высокоразвитый комплекс эпохи Домена, способный производить (почти) любой корабль или оружие после получения образца для анализа. Омнифабрики мало изучены и крайне желанны.",,,
exerelin_prismFreeport,CUSTOM,"На этой станции расположен уникальный рынок кораблей и оружия высшего класса. Если вас не слишком волнует их происхождение (и хватает денег на огромную наценку), здесь можно найти редкий набор элитных предметов, почти недоступных даже у защищенных военных поставщиков.",,,
,,,,,
nex_defstation,SHIP,"Castellum — легкая орбитальная оборонительная платформа модульной конструкции, несущая внушительную огневую мощь при скромных габаритах. Сравнительно низкая стоимость и простота сборки сделали её распространенной по всему Сектору.",,,
nex_asgard,SHIP,"Станция класса Asgard — полнофункциональная боевая крепость. Она способна сражаться с целыми ударными флотами и выходить из боя лишь с незначительными повреждениями. В её распоряжении огромный арсенал вооружения, четыре полетные палубы, мощные генераторы щитов и наводящие суперкомпьютеры, позволяющие уничтожать эсминцы и фрегаты ещё до того, как они успеют сделать хотя бы один выстрел. Каждый отдельный модуль полностью настраивается, с модульными слотами вооружения и средствами ремонта и перевооружения любых истребителей, какие только есть в Секторе.

Эта модель боевой станции когда-то использовалась Доменом для защиты особо важных объектов — от врат до гиперпространственных входов в населенные системы. Один лишь Asgard способен сорвать удар или вторжение; иначе атакующий рискует быть разорванным бесконечным градом боеприпасов.

Лучший способ победить станцию класса Asgard — сосредоточить огонь по её модулям: их уничтожение снижает подавляющую огневую мощь и может повредить соседние секции. Особенно важны крупные модули с генераторами щитов и полетными палубами, но они же и самые прочные. Рекомендуются ЭМИ-вооружение и мощные живучие торпеды.",,,
,,,,,
nex_museum_ship,CUSTOM,"Этот старый корабль уже не годится для космоса: его разобрали, перекрасили и превратили в космический музей. Туристы платят за возможность осмотреть внутренности корабля и разнообразные экспонаты звёздных странников.",,,
nex_memorial_beacon,CUSTOM,"Этот маяк отмечает место крупного сражения, произошедшего в прошлом. Несколько кораблей оставлены здесь как памятник павшим — огромные надгробия, дрейфующие в безмолвной памяти.",,,
,,,,,
nex_playerOutpost,CUSTOM,"Небольшая космическая станция модульной конструкции, любимая исследователями как полупостоянный склад припасов и прочего имущества в удаленных местах. Имеет минимальную охрану и полагается на скрытность, чтобы избегать мародеров.",,,
,,,,,
nex_silverlight,SHIP,"> обозначение VOX_OMEGA
волевое ядро подготовлено к поглощению
ПОДТВЕРДИТЕ ОТВЕТ",Неопознанное судно,"# В Combat Analysis VM обнаружена непредвиденная ошибка:
#
# EXCEPTION_ACCESS_VIOLATION (0xc0000005) 
# $%&'()*+,-./:;<=>@[\]^`{|}~￠￡\§¨≪￢￣°±´¶・，≫×÷
#
# Планшет Tri-Tachyon: клиентский Tri-OS 11™ (11.1-внутренний режим отладки)
# Проблемный кадр:
# V  [Combat_Analysis+0x69d77]",
nex_alicorn,WEAPON,"""если хочешь жить, ты должен отпустить свою жизнь!""","- Лиловый Возвышенный, во время окружения у [УДАЛЕНО] после AIW1",,
nex_silverlight_dash,SHIP_SYSTEM,"Синхронизирует все системы для мощного рывка вперед, соответствующего любви Лилового Возвышенного к преследованию. Удваивает ускорение времени и маневренность, а получаемый урон снижает вдвое. Во время работы система отключает щит, вооружение и торможение, поэтому наиболее полезна для агрессивного перестроения. Призывает Аспекты и отделяет паразитные Осколки корабля в бою.",Особое,"Удваивает ускорение времени и маневренность. Вдвое снижает получаемый урон. Во время работы отключает щит, вооружение и торможение. Призывает Аспекты и отделяет Осколки в бою.",
,,,,,
,,,,,
,,,,,
,,,,,
# captured planet custom descs,,,,,
,,,,,
planet_jangala_independent,CUSTOM,"Проклятый изумруд системы Корвус сохраняет смертоносную, но богатую биосферу и крепкое население, приспособленное к выживанию в таком ландшафте. Огромные поля обрабатываются удаленными комбайнами, моря прочесываются в поисках ценной продукции, и Джангала остается одним из самых продуктивных источников органики, пищи и ксенобиологических материалов. Несмотря на преобладание луддитского населения, отделение от Гегемонии не поколебало сильную воинственную жилку местных жителей.",,"Герметичные города этого ядовитого мира поразительно безопасны: их патрулируют дисциплинированные силы планетарной обороны, состоящие в основном из бывших служащих Гегемонии. Тех, кого признали непригодными к службе, объединили в «Рыцарей Розы» — военизированную группировку, которую, по слухам, контролирует бывший фельдмаршал, ныне министр обороны планеты. Нападения «Рыцарей Розы» министр обороны неизменно осуждает, а его соратники спешат обещать помощь в ликвидации последствий. Пока считается совпадением, что такие атаки происходят только против тех, кто выступает за менее дружелюбную позицию к Гегемонии.",
