name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
# CONCORDS,,,,,,,,,,,,,,,,,,,
Конкорд Сьерры,sotf_sierrasconcord,,,Anomalous Phase-Tech,"sotf_concord, codex_require_related",,,,TRUE,,0,0,0,0,data.hullmods.SotfSierrasConcord,"Благословлённое космосом и звёздами, это судно наделено проходом между измерениями, чтобы согласовать истинную судьбу Сектора с его реальностью. Проще говоря, оно оснащено экзотической фазовой системой «Конкорд», которой может управлять только Сьерра — его специализированная ИИ-персона.

Это судно переживает время со скоростью %s от нормальной. Бонус скорости при нулевой нагрузке увеличен на %s. Продвинутый эмиттер улучшает скорость развёртывания щита на %s. Рефлексивные взрывозащитные переборки полностью исключают потери экипажа.","Множитель времени, улучшенный бонус нулевой нагрузки и отзывчивые щиты.",,graphics/hullmods/sotf_sierrasconcord.png
Конкорд Эйдолона,sotf_eidolonsconcord,,,Anomalous Phase-Tech,"sotf_concord, hide_in_codex",,,,TRUE,,0,0,0,0,data.hullmods.SotfEidolonsConcord,"Модифицированное для межпространственных стычек и пилотируемое специализированным ИИ с необычной связью с фазовым пространством, это судно имеет мн :::: ::::

{шёпоты поют мне, пока я танцую в складках межд:::
:::у измерениями и говорю с теми, кто за гранью. 
       Ла-ла л
                 а-ла-ла! 
потанцуешь со мной?}

:::: ого преимуществ над обычн:::::
{поток данных повреждён!}
{упс}","ТАНЦУЙ СО МНОЙ, ПОЙ СО МНОЙ",,graphics/hullmods/sotf_sierrasconcord.png
Конкорд Сирены,sotf_sirensconcord,,,Anomalous Phase-Tech,"sotf_concord, hide_in_codex",,,,TRUE,,0,0,0,0,data.hullmods.SotfSirensConcord,"Модифицированное для межпространственных стычек и пилотируемое специализированным ИИ с необычной связью с фазовым пространством, это судно имеет множество преимуществ перед традиционными боевыми кораблями.

Это судно переживает время со скоростью %s от нормальной. Бонус скорости при нулевой нагрузке увеличен на %s. Продвинутый эмиттер улучшает скорость развёртывания щита на %s.","Множитель времени, улучшенный бонус нулевой нагрузки и отзывчивые щиты.",,graphics/hullmods/sotf_sierrasconcord.png
,,,,,,,,,,,,,,,,,,,
# CONCORD AUGMENTS,,,,,,,,,,,,,,,,,,,
Конкорд - Безмятежность,sotf_serenity,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, codex_unlockable",Special,10000,,,,5,10,15,25,data.hullmods.SotfSerenity,"Фазовый «Конкорд» этого корабля подвержен похожим помехам от жёсткой нагрузки, как и стандартные фазовые катушки. Дополнительная защита и изоляция вокруг кабелей позволяют ему удерживать большую тягу во время работы.

Это усиление позволяет «Конкорду» работать при более высоком уровне жёсткой нагрузки, увеличивая порог, на котором скорость падает до минимума, на %s. Базовый порог равен %s, а усиленная изоляция повышает его до %s, не давая стрессу от жёсткой нагрузки достигать самых изнуряющих значений.",Снижает влияние уровня жёсткой нагрузки на максимальную скорость в фазе.,,graphics/hullmods/sotf_serenity.png
Конкорд - Рвение,sotf_fervor,3,0,Anomalous Phase-Tech,"special, no_build_in, no_drop, no_drop_salvage, phase_brawler, codex_unlockable",Special,10000,,,,10,20,30,50,data.hullmods.SotfFervor,"Усиливает фазовый «Конкорд» корабля, оснащая центральную камеру и фазосеть конденсаторами, которые сбрасывают накопленный поток в фазовое пространство, создавая темпоральные искажения.

Снижает стоимость активации фазового плаща до %s. Увеличивает рассеивание мягкой нагрузки и скорость перезарядки оружия на %s в фазе.

При критических повреждениях, которые иначе уничтожили бы или вывели корабль из строя, он может выполнить аварийное погружение глубоко в фазовое пространство: немедленно выйти из боя, но получить дополнительный штраф к боеготовности, равный %s от стоимости развёртывания. Для запуска погружения у корабля должно хватать боеготовности, чтобы покрыть эту цену.

Фазовое погружение этого корабля не мешает кораблям с %s также выполнять фазовые погружения из-за необычных частот создаваемых возмущений.","Повышает рассеивание нагрузки и перезарядку оружия в фазе, аварийный маневр погружения.",,graphics/hullmods/sotf_fervor.png
Конкорд - Песнь шепота,sotf_wispersong,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, restricted, codex_unlockable",Special,100000,,,,5,12,18,24,data.hullmods.SotfWispersong,"Специально настроенный энергетический эмиттер, установленный по спецификациям Сьерры. Срабатывает в ответ на кратковременные пространственные помехи, вызванные детонацией реакторов ближайших кораблей, усиливая нестабильность и порождая недолговечные частицы, притягивающиеся к вражеским судам.

Когда вражеский корабль выводится из строя в пределах %s единиц, создаётся %s/%s/%s/%s огоньков в зависимости от размера корпуса. Огоньки детонируют через %s секунд или при преждевременном уничтожении. Каждый огонёк разряжает энергию, нанося %s энергетического урона и %s ЭМИ каждые полсекунды, ценой одной секунды собственной жизни.",Создает огоньки при уничтожении ближайших кораблей.,,graphics/hullmods/sotf_wispersong.png
Конкорд - Союз душ,sotf_soulbond,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, restricted, codex_unlockable",Special,100000,,,,5,12,18,25,data.hullmods.SotfSoulbond,<Описание задаётся в скрипте>,Позволяет этому кораблю и флагману перемещаться друг к другу.,,graphics/hullmods/sotf_soulbond.png
Конкорд - Жнец жизни,sotf_lifedrinker,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, restricted, hide_in_codex",Special,100000,,,,5,12,18,30,data.hullmods.SotfLifedrinker,"Обширный пакет переоборудования корпуса, заменяющий внешнюю броню и эмиттеры щита маловолевой наномеханической оболочкой, выстланной эзотерическими «узлами энтропийной инверсии», которые постепенно обращают состояние разрушения брони. Инвертированную энтропию можно выбросить в окружающее пространство как защитный импульс.

Удаляет генератор щита корабля. Корабль пассивно восстанавливает %s брони в секунду, в первую очередь на самых повреждённых секциях. Увеличивает максимум брони на %s. Отражающие свойства снижают входящий лучевой урон и ЭМИ-урон на %s.

Незавершённый контент. Вы не должны это видеть!",Без щита. Броня регенерирует и имеет повышенную стойкость.,,graphics/hullmods/sotf_lifedrinker.png
,,,,,,,,,,,,,,,,,,,
# DUSTKEEPERS,,,,,,,,,,,,,,,,,,,
Прокси Dustkeeper (Штурм),sotf_aux_assault,,,Dustkeeper Proxies,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.SotfAuxAssault,"Этот дрон прошёл масштабный пакет модернизации от Контингента Пылехранителей, чтобы соответствовать их строгим требованиям и устранить серьёзные конструктивные недостатки доменионных дронов.

В комплект входят %s или %s, а также улучшенный %s. Индивидуальные пакеты модернизации для каждого класса могут включать усиление целостности корпуса и брони, параметров реактора и характеристик двигателей.

В отличие от некоторых других классов, проходящих это улучшение, этот дрон сохраняет бесстрашное поведение и вступает в бой, почти не заботясь о собственной безопасности.",Добавлена защитная система и улучшены общие характеристики.,,graphics/hullmods/sotf_proxy.png
Прокси Dustkeeper (Эскорт),sotf_aux_escort,,,Dustkeeper Proxies,codex_unlockable,,,,TRUE,,0,0,0,0,data.hullmods.SotfAuxEscort,"Этот дрон прошёл масштабный пакет модернизации от Контингента Пылехранителей, чтобы соответствовать их строгим требованиям и устранить серьёзные конструктивные недостатки доменионных дронов.

В комплект входят %s или %s, а также улучшенный %s. Индивидуальные пакеты модернизации для каждого класса могут включать усиление целостности корпуса и брони, параметров реактора и характеристик двигателей.

Этот дрон также получил переписанную программу, что даёт %s в бою.",Добавлена защитная система и улучшены общие характеристики. Меньше агрессии в бою.,,graphics/hullmods/sotf_proxy.png
