id,type,text1,text2,text3,notes
,,,,,
,,,,,
,,,,,
,,,,,
####################,,,,,
##                ##,,,,,
##     SHIPS      ##,,,,,
##                ##,,,,,
####################,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
,,,,,
,,,,,
# SHEAR,,,,,
,,,,,
,,,,,
diableavionics_shear,SHIP,"Модифицированный буксир в цветах Diable Avionics, оснащенный небольшой турелью для самообороны. Кроме того, умеренное бронирование помогает ему расчищать обломки во время спасательных и разборочных работ, повышая потенциальную добычу.

По сути это строительная техника с небольшим налетом шика, поэтому большинство экипажей буксиров Shear — обычные мобилизованные рабочие, которых редко учат пользоваться единственной корабельной турелью. К неудовольствию людей на борту, управление оружием обычно передают простому ИИ управления огнем. Экипажи таких буксиров часто называют себя ""рисовщиками"" из-за старой традиции выдавать перед вылетами дополнительную рисовую пайку; отсюда же пошло их прозвище для собственных машин — ""рисовые ракеты"".",,,
,,,,,
,,,,,
# LAMINAR,,,,,
,,,,,
,,,,,
diableavionics_laminar,SHIP,"Горнодобывающий фрегат Laminar построен на том же шасси, что и Shear. Он рассчитан на суровые условия: раскалывает крупные рудные астероиды и буксирует самые богатые фрагменты к ближайшей плавильной станции.",,,
,,,,,
,,,,,
# DRAFT,,,,,
,,,,,
,,,,,
diableavionics_draft,SHIP,"Фрегат с крепким лобовым профилем, способный поглотить очень много урона для своего класса. Бортовые ракетные крепления, смотрящие в стороны, немного ограничивают варианты оснащения.

Фрегат класса Draft часто используют как учебную машину для молодых офицеров, проваливших оценку агрессивности. Он не создавался строго для прямолинейных штурмовых ролей, но способен применять носовую абляционную броню Arcus, установленную на форштевне, чтобы выдерживать огромное наказание во время захода в атаку. Командиры надеются, что через жесткие тренировки в позиционировании и развороте корабля — так, чтобы максимизировать урон по цели и принимать ответные попадания именно корпусом, — начинающие офицеры научатся принимать правильную наступательную доктрину.",,,
,,,,,
,,,,,
# VAPOR,,,,,
,,,,,
,,,,,
diableavionics_vapor,SHIP,"Маневренное сверхлегкое шасси фрегата с тяжелым фронтальным вооружением. Способен легко срывать работу вражеского флота, несмотря на слабые крепления для оружия ПВО.

Это сравнительно недавняя разработка, появившаяся всего за несколько десятилетий до Великого Коллапса. В модель втиснули продвинутые технологии на максимально облегченной нео-титановой раме. Шестнадцать напорных плазменных сопел, разбросанных по корпусу, обеспечивают резкие уклонения и ускорения, но сверхлегкая рама едва выдерживает боевые нагрузки и требует тщательного осмотра после каждого вылета.

Поскольку это перехватчик первого реагирования, к выбору конструкторов трудно придраться, если не считать отсутствия настоящих креплений ПВО. Даже с этим недостатком Vapor остается одним из более способных фрегатских проектов для блокирования беглецов и противников до подхода подкреплений.",,,
,,,,,
,,,,,
# SLEET,,,,,
,,,,,
,,,,,
