id,type,text1,text2,text3,text4,text5,notes
A_S-F_gemogee,SHIP,"Модификация Apogee: ради установки пары контейнеров типа Gemini корабль жертвует основным вооружением. Вместимость грузового отсека немного увеличена, но куда важнее возможность нести две авиагруппы.",,,,,
A_S-F_auditor,SHIP,"Попытка объединить сильные стороны Monitor и Brawler: связка урезанной системы ПРО Paladin и одной средней турели дает впечатляющую гибкость в бою.

Несмотря на потенциал, Auditor занимает довольно странную нишу: ему не хватает живучести Monitor и грубой огневой мощи Brawler, поэтому он лучше всего проявляет себя как универсальный фрегат сопровождения с упором на дальнобойное оружие поддержки.",,,,,
A_S-F_peryton,SHIP,"Легкий ракетный крейсер, построенный по принципу «количество тоже качество». Уникальная схема ракетных стеллажей позволяет хранить заметно больше боеприпасов и быстрее подавать их в пусковые, но ценой меньшей мощности боевых частей.

Как и у более распространенного Gryphon, у Peryton сравнительно слабое для своего размера флюкс-ядро. Но если он держится позади основных сил и ведет непрерывный ракетный обстрел, этот недостаток обычно не становится критичным.",,,,,
A_S-F_gaoler,SHIP,"Gaoler - корпус, спроектированный как относительно легкая истребительная платформа. Он слабо вооружен и лишен специализированных систем поддержки авиакрыла, характерных для более тяжелых авианосцев, зато несет группу дронов класса Shackle.

Дроны Shackle вооружены уникальной дизрапторной мортирой, созданной на базе обычной лёгкой мортиры. Вместо стандартных фугасных снарядов он использует специализированную боевую часть, высвобождающую при детонации всплеск широкополосного излучения; при достаточной плотности повторного огня это способно перегружать и выводить из строя даже защищенные системы.",,,,,
A_S-F_bathory,SHIP,"Один из первых кораблей, способных надежно обнаруживать фазовые цели. Bathory многократно модернизировали, оснащая все более продвинутыми сенсорными системами, благодаря чему он остается практичным боевым кораблем даже спустя многие годы после начала производства.",,,,,
A_S-F_gleam,SHIP,"Реликт автономных ИИ-флотов, разработанных корпорацией Tri-Tachyon. Незаконные по законам Доминиона (и Гегемонии) и считающиеся мерзостью Церковью Галактического Искупления, эти создания были уничтожены в ходе Первой войны ИИ. По крайней мере, так утверждает официальная история.

Gleam - продвинутый испытательный стенд для экзотических технологий, несущий прототип системы Temporal Shell, в более отработанном виде установленной на Scarab. Тревожная деталь: кормовой модуль ""Formia Emitter"" отсутствует в официально зафиксированных чертежах Gleam у Tri-Tachyon.",,,,,
A_S-F_glitter,SHIP,"Автономный тяжелый ИИ-истребитель. Несмотря на малую дальность, модифицированное лучевое вооружение Glitter позволяет ему умеренно давить щиты и наносить серьезный ЭМИ-урон. Установленные в Glitter ИИ-ядра отличаются садистскими паттернами: они намеренно избегают узлов связи, позволяя сигналам бедствия уходить наружу, пока методично разрывают беспомощные суда.",,,,,
A_S-F_lanner,SHIP,"Lanner происходит из ответвления «крейсерской школы» проектирования: вместо всеракурсной сбалансированной огневой мощи он построен вокруг одного крупного фиксированного носового тяжелого слота, которому подчинена вся компоновка корабля. Щедрое число ракетных точек помогает компенсировать возможный недостаток изящества грубой добивающей мощью.",,,,,
A_S-F_lustre,SHIP,"Автономные ИИ-флоты были разработаны корпорацией Tri-Tachyon. Незаконные по законам Доминиона (и Гегемонии) и считающиеся мерзостью Церковью Галактического Искупления, эти создания были уничтожены в ходе Первой войны ИИ. Однако это не реликт тех флотов.

Lustre - загадка: первые зафиксированные наблюдения относятся ко Второй войне ИИ. Скудные и фрагментарные записи не содержали признаков связи с известными проектами Tri-Tachyon, поэтому поначалу сообщения списывали на сбои сенсоров или откровенные выдумки. Но последующие, лучше задокументированные встречи показали, что угроза вполне реальна. Анализ немногих частично уцелевших образцов выявил отклонение от доминионских инженерных стандартов: базовые системы еще можно понять, но адаптивные компоненты остаются по большей части непостижимыми даже для лучших техников.",,,,,
A_S-F_glister,SHIP,"Автономный ИИ-истребитель: Glister оснащен фазовым скиммером, который в сочетании с мощными двигателями позволяет ему маневрировать лучше почти любого другого штурмовика. Хотя ЛПК выпускает только один аппарат, один Glister вполне способен держаться даже против значительно превосходящих сил.",,,,,
A_S-F_lanner_p,SHIP,"Единичная пиратская модификация крейсера класса Lanner.

Lanner происходит из ответвления «крейсерской школы» проектирования: вместо всеракурсной сбалансированной огневой мощи он построен вокруг одного крупного фиксированного носового тяжелого слота, которому подчинена вся компоновка корабля. Эта пиратская переделка дает выбор: либо крайне тяжелый ракетный залп, либо более умеренную ракетную нагрузку в обмен на то, что кормовой сектор не останется полностью беззащитным.",,,,,
A_S-F_phantasmagoria,SHIP,"""Я бываю доволен лишь тогда, когда зрители, дрожа и содрогаясь, поднимают руки или закрывают глаза от страха перед призраками и демонами, что несутся на них.""
- Найдено выгравированным на основном интерфейсе управления полетом.",,,,,
A_S-F_mancatcher,SHIP,"Глубоко модифицированный Gaoler: получил более тяжелые оружейные слоты и встроенный ЛПК для кастомного крыла истребителей Gladius.

Gaoler - корпус, спроектированный как относительно легкая истребительная платформа. Этот вариант исправляет проблему слабого вооружения, но по-прежнему лишен специализированных систем поддержки авиакрыла, характерных для более тяжелых авианосцев, и вместо этого несет группу дронов класса Manacle.

Дроны Manacle вооружены уникальной дизрапторной автопушкой, созданной на базе обычной лёгкой автопушки, однако значительная часть массы стандартного кинетического снаряда заменена специализированной боевой частью, высвобождающей при попадании всплеск широкополосного излучения; при достаточной плотности повторного огня это способно перегружать и выводить из строя даже защищенные системы.",,,,,
A_S-F_gladius_hajod,SHIP,"Этот модифицированный ЛПК Gladius был взломан так, чтобы одновременно производить сразу три истребителя; сами машины получили усиленную броню и измененный набор вооружения с упором на выведение целей из строя.",,,,,
