id,type,text1,text2,text3,notes
TTE_gurgeh,SHIP,"Крейсер среднего класса, рассчитанный на сближение, разгрузку боекомплекта и отход для перезарядки конденсаторов. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Крейсер,,
TTE_hofoen,SHIP,"Вариант высокотехнологичного линейного крейсера с усиленной броней, способный пережить противника и служить флагманом адмиралам, предпочитающим вести флот капитальным кораблем. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Линейный крейсер,,
TTE_jernau,SHIP,"Быстрый и смертоносный фрегат, полагающийся на маневренность, чтобы лавировать по полю боя и оставаться в схватке. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Фрегат,,
TTE_morat,SHIP,"Этот эсминец создан для капитанов, предпочитающих высокотехнологичные корпуса, но желающих более крепкий флагман для волчьей стаи, чем Shrike. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Эсминец,,
TTE_azadian,SHIP,"Полный пересмотр высокотехнологичной фронтовой доктрины: этот линкор лучше приспособлен к жестким боям, чем Paragon. Больше брони и прочности корпуса требуют большего экипажа, но Tri-Tachyon сочла такой обмен разумным на фоне растущей напряженности в Секторе. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Линкор,,
TTE_genar,SHIP,"Тактический корабль для капитанов, любящих входить в бой и выходить из него. Он способен доставить приличный удар, но слаб в защите и выживает за счет скорости и маневренности. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Легкий крейсер,,
TTE_atlastral,SHIP,"С сенсорным профилем Atlas этот корабль станет сюрпризом для невнимательных врагов, решивших атаковать. Он меняет грузовую и топливную вместимость на броню и оружейные крепления и может участвовать в бою, хотя эскорт рекомендуется. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Боевой грузовик,,
TTE_jandraligeli,SHIP,"Адмиралам, полагающимся на высокотехнологичные флоты, не хватало варианта, который должен закрыть этот корабль. Он несет приличный запас топлива, но жертвует вместимостью ради лучших оружейных креплений и брони. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Боевой танкер,,
TTE_chamlis,SHIP,"Адмиралам волчьих стай требовался высокотехнологичный вариант для поддержки дальних исследований. Этот корабль надежно закрывает эту роль и выдерживает опасности малоизученного пространства благодаря большей броне и лучшим креплениям. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Боевой танкер,,
TTE_gelian,SHIP,"Корабль создан для дальних экспедиционных адмиралов, которым не хватало высокотехнологичной логистической опции. Он выдерживает суровые условия опасной добычи и угрозы неизведанного пространства, справляясь почти со всем, что встретит. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Логистическая поддержка,,
TTE_esperi,SHIP,"Созданный с учетом тайных операций на фронтире, этот корабль хорошо вооружен, быстр и проворен. Он способен уйти от большинства кораблей своего класса, уклониться от патрулей, а при поимке его экранированный грузовой отсек выдерживает большинство сканирований. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Боевой грузовик,,
TTE_quietus,SHIP,"Хороший компромисс между боевым кораблем и грузовиком, способный выполнять обе роли. Но использование его как боевого корабля ставит грузовую вместимость под угрозу. Он лучше подходит для дальних или рискованных районов, защищен лучше стандартного грузовика и может постоять за себя. Часто используется дальними спецоператорами за прочность и экранированные трюмы. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Боевой грузовик,,
TTE_caconym,SHIP,"Отказ Tri-Tachyon от авианосцев оставил корпоративных адмиралов, зависящих от высокотехнологичных проектов, без достаточной поддержки крыльев, поэтому TTE переоборудовала этот прототип боевого корабля. Caconym - хрупкий, но элегантный фрегат с одной палубой, быстрый авианосец для оперативной огневой поддержки союзников. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Гибридный фрегат,,
TTE_gestra,SHIP,"Отказ Tri-Tachyon от авианосцев оставил корпоративных адмиралов без достаточной поддержки крыльев, поэтому TTE переоборудовала этот прототип. Gestra должен подавлять врага двумя истребительными палубами и резервными крыльями; он сильно бьет, но слабо бронирован для эсминца и полагается на ударные корабли, отвлекающие преследователей. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Гибридный эсминец,,
TTE_amorphia,SHIP,"Отказ Tri-Tachyon от авианосцев заставил TTE адаптировать этот прототип боевого корабля под поддержку крыльев. Жертвуя скоростью и потоковой емкостью относительно других крейсеров, Amorphia все же держится за счет существенной брони и непревзойденной поддержки наведения для своего авиакрыла. Как и все корабли разработки TTE, он оснащен модификациями, повышающими урон энергетического оружия ценой эффективности щитов.",Гибридный крейсер,,
TTE_vavatch,SHIP,"Капитаны Tri-Tachyon запросили высокотехнологичный легкий танкер с достаточным запасом топлива для сопровождения малой оперативной группы или конвоя, и этот корабль стал ответом компании.",Танкер,,
TTE_lamm,SHIP,"Корпорация разработала этот высокотехнологичный средний танкер с запасом топлива для поддержки среднего или крупного флота. Работа танкера часто считается рутиной и достается новым капитанам, поэтому конструкторы добавили дополнительные удобства, включая больше кают экипажа для четвертой вахты.",Танкер,,
TTE_olmedreca,SHIP,"С появлением новых станций корпорация разработала высокотехнологичный танкер повышенной вместимости, чтобы эффективно и экономично покрывать потребности дополнительных маршрутов снабжения. Адмиралы исследовательских флотов также используют его в поисках новых возможностей в глубинах Сектора.",Танкер,,
TTE_rabaroansa,SHIP,"Корпоративные адмиралы-руководители устали полагаться на стареющий Colossus и решили, что им нужен современный тяжелый грузовик для сопровождения флотов. С роскошными помещениями и большим трюмом он создан для капитана, ценящего комфорт. Дополнительный форсаж позволяет ему держаться с другими высокотехнологичными кораблями, но ради удобств броня и корпус сильно уменьшены.",Тяжелый грузовик,,
TTE_involucra,SHIP,Отказ Tri-Tachyon от авианосцев оставил корпоративных адмиралов без поддержки крыльев. Из-за избытка низкотехнологичных корпусов Mora на рынке находчивый инженер дешево купил крупную партию списанных кораблей и с помощью компьютерного перепроектирования заказал Involucra. Замена тяжелой брони легкими высокотехнологичными полимерами и разворот ангаров вперед повысили скорость и маневренность ценой дополнительного экипажа для систем полностью энергетического вооружения.,Гибридный крейсер,,
TTE_braijsa,SHIP,"Braijsa - ответ корпорации на Dominator Гегемонии. Хорошо сделанный высокотехнологичный корабль для обороны систем вокруг миров и аванпостов Tri-Tachyon. Он не так бронирован, как низкотехнологичный аналог, но остается гладким и смертоносным хищником, способным быть фронтовым якорем любого флота.",Тяжелый крейсер,,
TTE_lupum,SHIP,"Обратно разработав найденные технологии остатков, Tri-Tachyon смогла встроить фазовый скачковый двигатель, достаточно мощный для этого технологически продвинутого крейсера. Эффективный щит и впечатляющий набор вооружения позволяют ему бить выше своего веса, но эти же качества требуют осторожного управления потоком.",Крейсер,,
TTE_chiark,SHIP,"Chiark сочетает продвинутые технологии научного обследования и спасательных работ, идеально подходя для дальних экспедиций: команда обследования, дальние техносканеры, спасательный комплект и стабилизатор поля движения повышают уровень маршевой скорости флота. Как экспериментальный корабль, он содержит очень чувствительную электронику и требует дополнительного места для инженеров. Высокие эксплуатационные расходы обычно позволяют содержать больше одного только богатым технологическим добывающим консорциумам, но в долгосрочной перспективе выгоды перевешивают затраты.",Исследовательский буксир,,
TTE_meristinoux,SHIP,"Tri-Tachyon требовался более крепкий транспорт войск, чем скрытный, но хрупкий Phantom, для развертывания в суровом климате. Поскольку бюрократы Гегемонии пометили Valkyrie как ограниченную для продажи третьим сторонам, Meristinoux стал их высокотехнологичным ответом.",Транспорт войск,,
TTE_liseiden,SHIP,"Liseiden был разработан в ответ на запросы адмиралов Tri-Tachyon о легком и маневренном авианосце для сопровождения волчьих стай. Он выводит два крыла, защищен четырьмя малыми турелями и благодаря скорости легко уходит от агрессоров, при этом способен ненадолго выпускать резервные крылья.",Легкий авианосец,,
,,,,,
TTE_dajeil,SHIP,"Автоматизированный щитовой шахтерский дрон с импульсным лазером ПКО, который держится рядом с кораблем-носителем, обеспечивая легкое отвлечение и противоистребительную поддержку.",Дрон,,
TTE_grumman,SHIP,"Задача Grumann - выпускать торпеды с дистанции и поддерживать боевую нагрузку благодаря регенеративной природе энергетических торпед, которым нужно возвращаться к носителю только при повреждении. Сильный щит и хорошая броня позволяют ему сохранять урон, пока другие крылья возвращаются на перевооружение.",Бомбардировщик,,
TTE_wingclipper,SHIP,Wingclipper способен быстро перехватывать вражеские истребители и наносить заметный урон быстрыми парными импульсными лазерами ПКО.,Перехватчик,,
TTE_frightspear,SHIP,"Frightspear с омни-щитом, хорошей броней и легкой энергетической флешеттой готов стать предпочтительным крылом, когда целью является отключение корабельных систем противника.",Истребитель,,
,,,,,
TTE_pdirpulse,WEAPON,"Потоково эффективный инфракрасный импульсный лазер, стреляющий энергетическими зарядами на средней дальности и эффективно нейтрализующий ракеты и истребители.",,,
TTE_pdpulselaser,WEAPON,С ростом распространенности авианосной войны в Секторе Tri-Tachyon разработала этот вариант Pulse Laser с более быстрым поворотом и пакетом наведения для лучшей защиты кораблей от ударов тяжелых бомбардировщиков.,,,
TTE_pdpulse,WEAPON,"Этот гибридный проект создан на базе Minipulsar, переоснащенной меньшими конденсаторами, более быстрыми гироскопами турели и пакетом наведения от шахтерского лазера, жестко настроенным на защиту от ракет и истребителей. Для капитанов, предпочитающих импульсное оружие, это дешевый и дальнобойный вариант ПКО, ограниченный низкой мощностью.",,,
TTE_pb,WEAPON,"Столкнувшись со склонностью врагов полагаться на низкотехнологичные корабли, Tri-Tachyon разработала оружие, выпускающее повторяющиеся заряды взрывной плазмы на большой дальности. Из-за высокого потока за выстрел оно предпочитает стрелять по целям с опущенными щитами. Сильный удар каждого снаряда вызывает ударные волны, способные срывать бронеплиты.",,,
TTE_ionburst,WEAPON,"Дальнобойное энергетическое импульсное оружие для истощения щитов. Каждый импульс наносит часть урона как ЭМИ, способную отключать наружные системы корабля, включая оружие и двигатели. Оно заметно потоково эффективно, но дороже других средних энергетических орудий. При попадании в корпус или броню дополнительно возникает ЭМИ-дуга, способная ударить по оружию или двигателям вдали от точки попадания.",,,
TTE_lplasma,WEAPON,"Уменьшенная версия Plasma Cannon для кораблей с более тесным бюджетом оснащения. Снаряд представляет собой микротермоядерную бомбу, использующую гравитационные и барионные линзы для фокусировки энергии внутрь. Взрыв создает плазму, удерживаемую временной аномалией мини-вселенной, а магнитные ускорители на передних пилонах разгоняют ее к цели. Интенсивность поля удержания повышена, чтобы снаряд достигал цели на увеличенной дальности.",,,
TTE_lef,WEAPON,"Light Energy Flechette - ионный энергетический заряд, во многом похожий на классическую Ion Cannon, но стреляющий куда менее мощными болтами и лишенный многих продвинутых функций. В отличие от Ion Cannon, заряд разгоняется вдоль рельса ствола, передающего сильный электромагнитный импульс; при ударе болт раскалывается, фрагментирует энергию и создает ЭМИ-дуги, отключающие оборудование.",,,
TTE_ef,WEAPON,"Energy Flechette - ионный энергетический заряд, во многом похожий на классическую Ion Cannon, но стреляющий менее мощными болтами и лишенный многих продвинутых функций. Заряд проходит вдоль рельса ствола, несущего сильный ЭМИ; при ударе он раскалывается, фрагментирует энергию и создает ЭМИ-дуги, отключающие оборудование.",,,
TTE_hef,WEAPON,"Heavy Energy Flechette - ионный энергетический заряд, похожий на классическую Ion Cannon, но с рядом упрощений. В отличие от нее, болт заряжается вдоль рельса ствола, передающего сильный электромагнитный импульс; при попадании болт дробится, рассеивает энергию и создает ЭМИ-дуги, способные отключать оборудование.",,,
