id,trigger,conditions,script,text,options,notes
swpEncounterFamous,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100","unset $entity.ignorePlayerCommRequests
AddText ""С вами пытается связаться $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms",,,
swpEncounterFamousSporeship,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100
$stageName == STAGE_SPORESHIP","unset $entity.ignorePlayerCommRequests
AddText ""С вами пытается связаться $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms","Экран обзора полностью заполняет огромная туша спорового корабля Доминиона, неуклонно приближающегося к вашему флоту. Вахтенный офицер несколько раз меняет масштаб тактического дисплея, пока вся его масса не помещается на экране.

Древняя машина из Эксплорариума Доминиона полностью вооружена и боеготова. Ваш тактический советник молчит, помрачнев.",,
swpEncounterFamousTitanX,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100
$stageName == STAGE_TITAN_X","unset $entity.ignorePlayerCommRequests
AddText ""С вами пытается связаться $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms","Ваш офицер на мостике ошеломленно таращится, отшатывается от поста и указывает на голодисплей в явном шоке. ""Во имя святого Лудда, что это такое?""

В центре вражеского флота отчетливо виден корабль, который можно описать только как планетолом класса Титан, но увеличенный настолько, что превосходит размерами некоторые линкоры. Вы сразу понимаете, почему ни один другой охотник за IBB не вернулся живым.",,
swpGreetingFamous,OpenCommLink,$faction.id == famous_bounty score:100,$entity.ignorePlayerCommRequests = true 1,"""$banterText""",cutCommLink:Прервать связь,
swpIBBAwardStoryPoint,swpIBBAwardStoryPoint,,"AddStoryPoints 1
AddText ""Вы чувствуете прилив вдохновения после победы над $personName.""",,,
,,,,,,
swpMarketAddOptionRestore1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
SWP_RestoreAvailable
SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Удаление $global.swpRestoreModsStr d-mod с $global.swpRestoreShip требует $global.swpRestoreCostStr кредитов. Доступно кредитов: $player.creditsStr.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SWP_AddConfirmation swpMarketRestore ""Удаление $global.swpRestoreModsStr d-mod с $global.swpRestoreShip требует $global.swpRestoreCostStr кредитов. Доступно кредитов: $player.creditsStr. Вы хотите продолжить?""",,16:swpMarketRestore:Восстановить $global.swpRestoreShip,
swpMarketAddOptionRestore2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
SWP_RestoreAvailable
!SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Удаление $global.swpRestoreModsStr d-mod с $global.swpRestoreShip требует $global.swpRestoreCostStr кредитов. Доступно только $player.creditsStr кредитов.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut bad
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SetEnabled swpMarketRestore false",,16:swpMarketRestore:Восстановить $global.swpRestoreShip,
swpMarketOptionRestoreShip,DialogOptionSelected,$option == swpMarketRestore,"SWP_RestoreShip
AddText ""$global.swpRestoreShip теперь $global.swpRestoreAfterStr после удаления $global.swpRestoreRemovedDMod из корпуса за $global.swpRestoreCostStr кредитов. $global.swpRestoreNumDModsStr""
SetTextHighlightColors hColor bad hColor hColor
SetTextHighlights $global.swpRestoreShip $global.swpRestoreRemovedDMod $global.swpRestoreCostStr $global.swpRestoreNumDModsStrHighlight
FireBest SWPPostRestore",,,
swpMarketAddOptionPostRestore1,SWPPostRestore,"SWP_RestoreAvailable
SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Удаление $global.swpRestoreModsStr d-mod с $global.swpRestoreShip требует $global.swpRestoreCostStr кредитов. Доступно кредитов: $player.creditsStr.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SWP_AddConfirmation swpMarketRestore ""Удаление $global.swpRestoreModsStr d-mod с $global.swpRestoreShip требует $global.swpRestoreCostStr кредитов. Доступно кредитов: $player.creditsStr. Вы хотите продолжить?""",,,
swpMarketAddOptionPostRestore2,SWPPostRestore,"SWP_RestoreAvailable
!SWP_RestoreEnoughCredits","SetTooltip swpMarketRestore ""Удаление $global.swpRestoreModsStr d-mod с $global.swpRestoreShip требует $global.swpRestoreCostStr кредитов. Доступно только $player.creditsStr кредитов.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut buttonShortcut bad
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip $global.swpRestoreCostStr $player.creditsStr
SetEnabled swpMarketRestore false",,,
swpMarketAddOptionPostRestore3,SWPPostRestore,!SWP_RestoreAvailable,"SetTooltip swpMarketRestore ""$global.swpRestoreShip полностью восстановлен.""
SetTooltipHighlightColors swpMarketRestore buttonShortcut
SetTooltipHighlights swpMarketRestore $global.swpRestoreShip
SetEnabled swpMarketRestore false",,,
,,,,,,
### BURIED TREASURE,,,,,,
# DEBUG,,,,,,
SWP_BTCallDialog,SWP_BTCallDialog,,SWP_BTCall updateData,,swpBT_callDialogEnd:Продолжить,
SWP_BTCallDialogEnd,DialogOptionSelected,$option == swpBT_callDialogEnd,DismissDialog,,,
,,,,,,
# INITIAL BAR ENCOUNTER,,,,,,
swpBTBlurbBar,swpBT_blurbBar,!$global.swpBT_knowCaptainTannen,,"Эксцентричный на вид капитан корабля, с сигарой в зубах, громко кутит с группой посетителей; большинство из них выглядят так, будто предпочли бы быть где угодно, только не здесь. Отфильтровав браваду, вы замечаете упоминание о ""зарытом сокровище"", которое ждет, чтобы его нашли.",,
swpBTBlurbBarKnowCaptainTannen,swpBT_blurbBar,$global.swpBT_knowCaptainTannen,,"Эксцентричный капитан Таннен все так же держит сигару в зубах и громко кутит с группой посетителей. Снова, между длинными тирадами пустой бравады, вы слышите упоминание о ""зарытом сокровище"".",,
swpBTOptionBar,swpBT_optionBar,!$global.swpBT_knowCaptainTannen,,,swpBT_startBar:Спросить эксцентричного капитана о зарытом сокровище,
swpBTOptionBarKnowCaptainTannen,swpBT_optionBar,$global.swpBT_knowCaptainTannen,,,swpBT_startBar:Спросить капитана Таннена о зарытом сокровище,
swpBTTextBar,DialogOptionSelected,"$option == swpBT_startBar
!$global.swpBT_knowCaptainTannen","$missionId = swpBT
$global.swpBT_knowCaptainTannen = true","Когда вы подходите, капитан на мгновение окидывает вас взглядом, и вы замечаете блеск в его остром глазу. Во время паузы в повествовании он затягивается сигарой, а затем продолжает свою почти автобиографию прошлых подвигов - явно матерый хвастун.

""Я гнал этих ублюдков прямиком в океаны Волтурна! Никогда не забуду столб пара и воды, на километры ввысь, что поднял их Onslaught. Пусть все помнят: капитан Таннен отправил их на дно моря!""",swpBT_startBarB:Продолжить,
