id,trigger,conditions,script,text,options,notes
#RULESET_NAME ORA,,,,,,
,,,,,,
# ora fleet greeting lines,,,,,,
greetingORAFriendly,OpenCommLink,"$faction.id == ORA
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Приветствую, друг. Что Альянс может сделать для вас в этих краях?""
OR
""O.R.A. приветствует вас. Можем ли мы чем-то помочь?""
OR
""Всегда приятно встретить друга O.R.A. Вам нужна помощь?""",,
greetingORAHostileWeaker,OpenCommLink,"$faction.id == ORA
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Альянс заботится о своих. Уничтожьте меня и мой экипаж, и тысяча других будет искать мести.""
OR
""Эти корабли и их экипажи работают ради восстановления Сектора! В вас совсем не осталось порядочности?""",cutCommLink:Разорвать связь,
greetingORAHostileWeakerDefiant,OpenCommLink,"$faction.id == ORA
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Я сда... *нервный тик* НИКОГДА НЕ СДАМСЯ! Альянс выстоит!""
OR
""Вы угроза выживанию Сектора, и я исполню свой долг, чтобы убрать вас, даже если это означает гибель моего корабля.""",cutCommLink:Разорвать связь,
greetingORAHostileStronger,OpenCommLink,"$faction.id == ORA
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Альянс надеялся, что вы выберете более мудрый путь, но теперь я ничем не могу вас спасти.""
OR
""Ни одна душа не потеряна навсегда; вы еще можете искать Искупление в Новом Собрании Toban.""
OR
""O.R.A. не пожалеет усилий, чтобы устранить даже малейшие угрозы восстановлению Сектора.""",cutCommLink:Разорвать связь,
greetingORANeutral,OpenCommLink,"$faction.id == ORA
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Добрый день, капитан. Могу я узнать цель этого запроса связи?""
OR
""Офицер связи $shipOrFleet, могу я вам сегодня чем-то помочь?""
OR
""Всегда приятно встретить новых потенциальных партнеров. Вы знакомы с миссией O.R.A.? Я могу передать вам наш брифинг!""",,
#END ora fleet greeting lines,,,,,,
,,,,,,
"# default commission conversation strings, copy and adjust this section for faction-specific conversation flavor",,,,,,
CMSNTextRejectHostile_ora,CMSNTextRejectHostile,$faction.id == ora,,"""Мы прекрасно осведомлены о вашей репутации в отношении $TheFaction. Эта провокация будет добавлена в ваше досье.""",,
CMSNTextHasOther_ora,CMSNTextHasOther,$faction.id == ora,,"""К сожалению, ваша лояльность, похоже, скомпрометирована. Однако если вы прекратите текущую связь с $theOtherCommissionFaction, мы будем рады принять вас в нашу партнерскую программу.""",,
CMSNTextUnsuited_ora,CMSNTextUnsuited,$faction.id == ora,,"""$TheFaction принимает помощь только способных и надежных кандидатов. Если же вы хотите подать заявку в нашу программу для беженцев, я могу перенаправить ваш вызов в соответствующую службу.""",,
CMSNTextSuitedPart1_ora,CMSNTextSuitedPart1,$faction.id == ora,,"""Такие люди, как вы, действительно могут многое дать усилиям по Восстановлению. $theFaction с радостью примет вас в свои ряды.\n\nХотя наша главная миссия мирная, учтите, что она также включает искоренение пиратской угрозы во всем Секторе, и ваша помощь может быть запрошена для этой цели.\n\nРазумеется, никто не обязан навечно связывать себя с делом Восстановления, но мы просим вас учитывать последствия возможного отказа от обязанностей в будущем.""",,
CMSNTextSuitedPart2_ora,CMSNTextSuitedPart2,$faction.id == ora,,"""Вся бумажная работа автоматизирована и займет лишь мгновение. Нам нужно только ваше устное согласие, чтобы подтвердить процедуру.""",,
CMSNTextWelcomePart1_ora,CMSNTextWelcomePart1,$faction.id == ora,,"""Отлично! Позвольте официально приветствовать вас как почетного члена $theFaction. Ваше дело будет обработано в ближайшее время, а ваш офицер связи уже должен получать полный брифинг по нашим текущим операциям.""",,
CMSNTextWelcomePart2_ora,CMSNTextWelcomePart2,$faction.id == ora,,"""Могу ли я сделать для вас что-нибудь еще?""",,
