id,trigger,conditions,script,text,options,notes
#Opening Intro in the Nex,,,,,,
dpl_nex_NGCPickStartingShips,ExerelinNGCStep3,"$playerFaction == dpl_phase_lab
!$dpl_ChangeMind
$corvusMode","AddText ""Domain Phase Lab - фракция, образованная остатками военного исследовательского института, работавшего на флот Домина. До Коллапса их исследования были сосредоточены на тонкостях фазового пространства, хотя многие записи были потеряны в Бездне Орион-Персей во время Коллапса. Из-за нехватки топлива люди Phase Lab два столетия блуждали в бездне, прежде чем достигли центральных миров. В пути они потеряли много жизней из-за атак флотов дронов, что породило глубокую враждебность к корпорации Tri-Tachyon.""
SetTextHighlightColors hColor
SetTextHighlights Domain Phase Lab
$dpl_ChangeMind = true 0",,,
dpl_nex_NGCPickStartingShips2,ExerelinNGCStep3,"$playerFaction == dpl_phase_lab
dpl_CheckCCEnabled EnabledCC
!$dpl_ChangeMind","AddText ""Бонус Commissioned Crews: увеличивает урон оружия и время перезарядки; бонус урона оружия усилен для фазовых кораблей.""
SetTextHighlights Commissioned Crews Bonus
$dpl_ChangeMind = true 0",,,
,,,,,,
#Meme binary message,,,,"""01001001 01101110 01110000 01110101 01110100 00111010 00001010 01001111 01100010 01101010 01100101 01100011 01110100 00100000 01001111 01110100 01101000 01100101 01110010 00100000 00111101 00100000 01001001 01101110 01101001 01110100 01001111 01100010 01101010 01100101 01100011 01110100 00101000 00101001 00111011 00001010 01010011 01110100 01110010 01101001 01101110 01100111 00100000 01101001 01100100 00100000 00111101 00100000 00100111 01010010 01101111 01110011 01110011 00100000 01001000 01101001 01100111 01100111 01110011 00100111 00111011 00001010 01010011 01110100 01110010 01101001 01101110 01100111 00100000 01101101 01100101 01110011 01110011 01100001 01100111 01100101 00100000 00111101 00100000 00100111 01001000 01101111 01110111 00100000 01100001 01110010 01100101 00100000 01111001 01101111 01110101 00111111 00100000 01001001 00100111 01101101 00100000 01110011 01101111 00100000 01101000 01100001 01110000 01110000 01111001 00100000 01110100 01101111 00100000 01101101 01100101 01100101 01110100 00100000 01111001 01101111 01110101 00101110 00100111 00001010 01010011 01100101 01110100 01001111 01100010 01101010 01100101 01100011 01110100 01001001 01100100 00101000 01001111 01110100 01101000 01100101 01110010 00101100 01101001 01100100 00101001 00111011 00001010 01010011 01100101 01101110 01100100 01001101 01100101 01110011 01110011 01100001 01100111 01100101 00101000 01101001 01100100 00101100 01110011 01100101 01101100 01100110 00101100 01101101 01100101 01110011 01110011 01100001 01100111 01100101 00101001 00111011 00001010 01000110 01101001 01101110 01100001 01101100 01101001 01111010 01100101 00101000 00101001 00111011""",,
,,,,,,
#Additional Warning Before Sat Bomb,,,,,,
dpl_marketHostileBombardSaturationWarn,DialogOptionSelected,"$option == mktBombardSaturation
dpl_officer_CMD CheckOfficers score:1000",,"Некоторые офицеры вашего флота никогда не примут такое преступление против человечности. Если вы продолжите бомбардировку, они несомненно уйдут.

Вы можете сначала уволить их, чтобы попытаться нанять позже, в надежде, что они так и не узнают правду.","mktBombardNeverMind:Неважно.
dpl_mktBombardYes:Все равно продолжить.",
dpl_marketHostileBombardSaturationYes,DialogOptionSelected,$option == dpl_mktBombardYes,MarketCMD bombardSaturation,,,
dpl_mktSatBombConsStart,dpl_mktSatBombCons,,"ShowImageVisual dpl_fly_away
FireAll dpl_AdditionalCons",,defaultLeave:Уйти.,
dpl_mktSatBombEllyLeaves,dpl_AdditionalCons,dpl_officer_CMD CheckElly,"dpl_officer_CMD EllyLeaves
AdjustRepPerson elly_lovelace VENGEFUL -110
$global.dpl_EllySawSatBomb = true","Элли покидает свой корабль, оставив записку:

""Инициализация связи.
Вызов: Communication Module
Вывод: 'За время, что капитан $playerName провел вместе с Self, спасибо. Однако Self больше не может вас поддерживать.'
Связь завершена.""",,
dpl_mktSatBombGKLeaves,dpl_AdditionalCons,dpl_officer_CMD CheckGK,"dpl_officer_CMD GKLeaves
AdjustRepPerson kapteyn_greater VENGEFUL -110
$global.dpl_GKSawSatBomb = true","Грэйтер Каптейн покидает свой корабль с запиской:

""Похоже, ты все же оказался не более чем маньяком. За все, что ты сделал для нас, я просто оставлю тебя делать то, что ты хочешь. Но в следующий раз, когда мы встретимся, я сдержу свою клятву.""",,
,,,,,,
# DPL merc raider (independent flagged),,,,,,
dpl_MysteriousRaiderComms,OpenCommLink,"$entity.dpl_crisis_merc score:1000
$entity.relativeStrength >= 0","Highlight ""Lab Security Department"" ""Muspelheim""
$entity.ignorePlayerCommRequests = true 7","""Цель идентифицирована."" Наемник смотрит на вас без эмоций.

""По условиям нашей мис... нет, нашего контракта я должен сообщить вам, что один человек хочет встретиться с вами в Lab Security Department, в системе Muspelheim. Отсоединяюсь от вашего $shipOrFleet через три, два...""",cutCommLink:Оборвать связь,
dpl_MysteriousRaiderCommsWeaker,OpenCommLink,"$entity.dpl_crisis_merc score:1000
$entity.relativeStrength < 0","Highlight ""Lab Security Department"" ""Muspelheim""
$entity.ignorePlayerCommRequests = true 7","""Цель идентифицирована."" Наемник смотрит на вас без эмоций.

""Мы наемное оружие, а не трусы. Однако по условиям контракта я должен сообщить вам, что один человек хочет встретиться с вами в Lab Security Department, в системе Muspelheim. Отсоединяюсь от вашего $shipOrFleet через три, два...""",cutCommLink:Оборвать связь,
