id,type,text1,text2,text3,notes
TTSC_ablation,SHIP,"Медленный, но маневренный и способный принимать удары носом, одновременно прикрывая другие корабли широкими кормовыми турелями, Ablation хорошо подходит для средней линии флота.",Крейсер,,
TTSC_arbitrary,SHIP,"Special Circumstances посмотрели на Apogee и подумали: ""Apogee, но высокотехнологичный"". Так появился Arbitrary. Усиленный более мощными щитами и большей емкостью, он стал большим нарядным братом Apogee.",Боевой авианосец,,
TTSC_azad,SHIP,"Special Circumstances разработали Azad как развертываемую платформу ПКО, которая обеспечивает снабжение основных кораблей в спасательных и шахтерских патрульных флотах.",Тяжелый спасательный грузовик,,
TTSC_bora,SHIP,"Bora - хорошо защищенный легкий авианосец, окруженный малыми турелями. Его можно настроить для поддержки флота как платформу точечной обороны или как корабль дальней лучевой поддержки.",Легкий авианосец,,
TTSC_caconyml,SHIP,"Caconyml - вершина фазовых технологий. С множеством оружейных креплений он может нырять в реальность и выходить из нее, нанося сокрушительный урон, прежде чем снова исчезнуть в n-измерении. Широкое покрытие малыми турелями хорошо защищает его от ракет и истребителей, пока он причиняет боль.",Фазовый капитал,,
TTSC_cantankerous,SHIP,"Способный наносить больше урона, чем другие крейсеры флота SC, Cantankerous является основным кораблем сопровождения капиталов при сближении с линией противника.",Крейсер,,
TTSC_determinist,SHIP,"Благодаря множеству оружейных креплений Determinist легко настраивается как тяжелый ударный корабль, способный самостоятельно связать боем несколько меньших кораблей, пока остальной флот занимается более крупной добычей.",Линейный крейсер,,
TTSC_empiricist,SHIP,Empiricist используется адмиралами волчьих стай как основной корабль для захвата точек и преследования беглецов; с двумя средними креплениями он при необходимости способен бить выше своего класса.,Фрегат,,
TTSC_escarpment,SHIP,"Escarpment - универсальный корабль SC. Не будучи особенно силен ни как авианосец, ни как крейсер, он тем не менее способен при необходимости выполнять обе роли, и именно эта гибкость является его главной силой.",Легкий крейсер-авианосец,,
TTSC_eschatologist,SHIP,"Tri-Tachyon использует Odyssey как основной фронтовой корабль своих флотов. Special Circumstances, нуждаясь в более крепкой машине, взяли этот проект, модифицировали его, и результатом стал Eschatologist.",Линейный крейсер,,
TTSC_excession,SHIP,"Excession - быстрый ударный высокотехнологичный легкий крейсер, созданный для преследования беглецов ценой обмена брони на скорость. Встроенная плазменная система микрорывка позволяет ему совершать короткие скоростные броски, делая его отличным застрельщиком.",Легкий крейсер,,
